##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@용구비어
용구비어|고대점|||용구비어|02-921-8970|서울특별시 성북구 인촌로 28길 5||||||||용구비어 고대점||||80218
용구비어|인천청라점|||용구비어|032-566-6909||인천광역시 서구 경서동 967-5|||||||용구비어 인천청라점|(청라루비로 42번길 14)|||80218
용구비어|봉천점|||용구비어|02-873-0925|서울특별시 관악구 은천로 61||||||||용구비어 봉천점|103 (봉천동 1층)|||80218
용구비어|약수역점|||용구비어|02-2231-9555|서울특별시 중구 동호로 193-12||||||||용구비어 약수역점|1층 (신당동)|||80218
용구비어|숭실대점|||용구비어|02-815-2552|서울특별시 동작구 사당로 20||||||||용구비어 숭실대점|(상도동 102호)|||80218
용구비어|이천창전점|||용구비어|031-634-8886|경기도 이천시 이섭대천로 1217번길 15||||||||용구비어 이천창전점|(창전동 1층)|||80218
용구비어|한성대점|||용구비어|02-3673-0909|서울특별시 성북구 삼선교로 10길 471층 (삼성동 2가) ||||||||용구비어 한성대점||||80218
용구비어|장호원점|||용구비어|031-643-0990|경기도 이천시 장호원리 장감로 87번길 12||||||||용구비어 장호원점||||80218
용구비어|첨단도시점|||용구비어|043-848-7476|충청북도 충주시 대소원면 첨단산업4로 25||||||||용구비어 첨단도시점|102호 (본리 스타오피스)|||80218
용구비어|원흥점|||용구비어|031-965-0925|경기도 고양시 덕양구 서삼릉길 359||||||||용구비어 원흥점|(원흥동)1층|||80218
용구비어|공항신도시점|||용구비어|032-747-0925|인천광역시 중구 영종대로 114||||||||용구비어 공항신도시점|(운서동 공항그린파크) 103,104호|||80218
용구비어|계원예대점|||용구비어|031-426-1174||경기도 의왕시 내손동 751|||||||용구비어 계원예대점|메트로빌딩 1층 105호|||80218
용구비어|삼척도계점|||용구비어|033-541-3288|강원도 삼척시 도계읍 도계로 322||||||||용구비어 삼척도계점||||80218
용구비어|원주무실본점|||용구비어|033-733-1193|강원도 원주시 봉바위길 2-1||||||||용구비어 원주무실본점|101호 (무실동 엘린빌)|||80218
용구비어|경기/신천점|||용구비어|031-311-2783|경기도 시흥시 시흥대로 1075-1||||||||용구비어 경기/신천점|(신천동 2층)|||80218
용구비어|서울대입구점|||용구비어|02-877-9997|서울특별시 관악구 남부순환로 1827||||||||용구비어 서울대입구점|3층 (봉천동)|||80218
용구비어|송도캠퍼스타운점|||용구비어|032-812-5024|인천광역시 연수구 송도과학로 27번길 55||||||||용구비어 송도캠퍼스타운점|상가a동 213호|||80218
용구비어|서산테크노밸리점|||용구비어|041-666-0988|충청남도 서산시 성연면 성연3로 36||||||||용구비어 서산테크노밸리점|상가동 201,202호 (이안테크노밸리)|||80218
용구비어|연신내점|||용구비어|02-351-4249|서울특별시 은평구 연서로 29길 7-2||||||||용구비어 연신내점|(갈현동 2층)|||80218
용구비어|성남단대동점|||용구비어|031-742-2413||경기도 성남시 수정구 단대동 178-1|||||||용구비어 성남단대동점|1층|||80218
용구비어|청주수곡점|||용구비어|043-286-3857|충청북도 청주시 서원구 구룡산로 245||||||||용구비어 청주수곡점|1층|||80218
용구비어|충북혁신점|||용구비어|043-877-9206||충청북도 음성군 맹동면 두성리 1372|||||||용구비어 충북혁신점|대하빌딩 101호|||80218
용구비어|경산사동점|||용구비어|053-811-7798||경상북도 경산시 사동 666-4|||||||용구비어 경산사동점||||80218
용구비어|안동송현점|||용구비어|054-858-0902|경상북도 안동시 경동로 291||||||||용구비어 안동송현점|(송현동)|||80218
용구비어|김포구래점|||용구비어|031-996-5915|경기도 김포시 김포한강9로 76번길 11||||||||용구비어 김포구래점|1층 107호 (구래동 프라임씨티)|||80218
용구비어|안동당북점|||용구비어|054-859-0959||경상북도 안동시 당북동 333-32|||||||용구비어 안동당북점|(배움실 54)|||80218
용구비어|충북대중문점|||용구비어|043-263-0939|충청북도 청주시 서원구 1순환로 704번길 78||||||||용구비어 충북대중문점|1층 (사창동)|||80218
용구비어|문경점|||용구비어|054-553-0908||경상북도 문경시 모전동 882-8|||||||용구비어 문경점||||80218
용구비어|동서대점|||용구비어|051-316-7909||부산광역시 사상구 주례동 74-25|||||||용구비어 동서대점||||80218
용구비어|진주본점|||용구비어|070-8286-2445||경상남도 진주시 가좌동 480-3|||||||용구비어 진주본점||||80218
용구비어|양정점|||용구비어|051-643-3093||부산광역시 부산진구 양정동 393-17|||||||용구비어 양정점||||80218
용구비어|전주본점|||용구비어|063-275-7209||전라북도 전주시 덕진구 덕진동 1가 1312-29|||||||용구비어 전주본점||||80218
용구비어|부산신평점|||용구비어|051-292-1258||부산광역시 사하구 신평동 614-4|||||||용구비어 부산신평점||||80218
용구비어|구미봉곡점|||용구비어|054-455-7031||경상북도 구미시 봉곡동 226-7|||||||용구비어 구미봉곡점||||80218
용구비어|부산외대점|||용구비어|051-988-0566||부산광역시 금정구 남산동 99-13|||||||용구비어 부산외대점||||80218
용구비어|부산대점|||용구비어|051-514-0958||부산광역시 금정구 장전동 135-25|||||||용구비어 부산대점||||80218
용구비어|광주운암점|||용구비어|062-513-4861||광주광역시 북구 운암동 944-1|||||||용구비어 광주운암점||||80218
용구비어|진주하대점|||용구비어|055-921-7261||경상남도 진주시 하대동 337-3|||||||용구비어 진주하대점||||80218
용구비어|대구장기본점|||용구비어|053-267-4155||대구광역시 장기동 816-8|||||||용구비어 대구장기본점||||80218
용구비어|대구칠곡동천점|||용구비어|053-323-0666||대구광역시 북구 동천동 899-4|||||||용구비어 대구칠곡동천점||||80218
용구비어|광주전대예대점|||용구비어|062-514-0900||광주광역시 북구 용봉동 1468|||||||용구비어 광주전대예대점|한화꿈에그린A 109호|||80218
용구비어|포항본점|||용구비어|054-277-5622||경상북도 포항시 남구 상도동 595-9|||||||용구비어 포항본점||||80218
용구비어|여수무선점|||용구비어|061-692-4407||전라남도 여수시 화장동 797-1|||||||용구비어 여수무선점||||80218
용구비어|전주송천점|||용구비어|063-255-0519||전라북도 전주시 덕진구 송천동 2가 523-14|||||||용구비어 전주송천점||||80218
용구비어|광주수완장덕점|||용구비어|062-955-1909||광주광역시 광산구 장덕동 1669|||||||용구비어 광주수완장덕점|선호빌딩|||80218
용구비어|나주동신대점|||용구비어|062-332-0933||전라남도 나주시 대호동 1029-5|||||||용구비어 나주동신대점||||80218
용구비어|광양중동점|||용구비어|061-793-0078||전라남도 광양시 중동 1414-4|||||||용구비어 광양중동점||||80218
용구비어|제주연동본점|||용구비어|064-747-0953||제주특별자치도 연동 255-3|||||||용구비어 제주연동본점||||80218
용구비어|울산본점|||용구비어|052-267-0929||울산광역시 남구 달동 133-12|||||||용구비어 울산본점||||80218
용구비어|김해삼방점|||용구비어|055-337-8741||경상남도 김해시 삼방동 159-7|||||||용구비어 김해삼방점||||80218
용구비어|전북장수점|||용구비어|063-352-0270||전라북도 장수군 장계면 장계리 462|||||||용구비어 전북장수점||||80218
용구비어|부산개금점|||용구비어|051-879-0121||부산광역시 진구 개금 1동 산43-70|||||||용구비어 부산개금점||||80218
용구비어|대구용산점|||용구비어|053-566-0898||대구광역시 달서구 용산동 930-10|||||||용구비어 대구용산점||||80218
용구비어|안동본점|||용구비어|054-859-0925||경상북도 안동시 옥동 787-4|||||||용구비어 안동본점||||80218
용구비어|광주신창점|||용구비어|062-962-0448||광주광역시 광산구 신창동 1129-2|||||||용구비어 광주신창점|1층 102호|||80218
용구비어|대구율하점|||용구비어|053-963-0903||대구광역시 동구 율하동 1423|||||||용구비어 대구율하점||||80218
용구비어|대구안지랑점|||용구비어|053-634-6233||대구광역시 남구 대명 9동 901-2|||||||용구비어 대구안지랑점||||80218
용구비어|대구오페라점|||용구비어|053-351-0990||대구광역시 북구 칠성동 2가 127|||||||용구비어 대구오페라점|성광우방타운 125-109,110호|||80218
용구비어|진주판문점|||용구비어|055-745-0962||경상남도 진주시 평거동 861|||||||용구비어 진주판문점|코앞상가 107호|||80218
용구비어|사천점|||용구비어|055-853-0505||경상남도 사천시 정동면 고읍리 591|||||||용구비어 사천점||||80218
용구비어|광주운천역점|||용구비어|062-375-0770||광주광역시 서구 쌍촌동 981-103|||||||용구비어 광주운천역점||||80218
용구비어|대구보건대점|||용구비어|053-326-6988||대구광역시 북구 태전동 220-1|||||||용구비어 대구보건대점||||80218
용구비어|여수죽림점|||용구비어|061-691-5503||전라남도 여수시 소라면 죽림리 1198-4|||||||용구비어 여수죽림점||||80218
용구비어|대구신암점|||용구비어|053-942-1770||대구광역시 동구 신암동 480|||||||용구비어 대구신암점|청아람상가 106동 101호|||80218
용구비어|경남내서본점|||용구비어|055-222-0982||경상남도 마산시 회원구 내서읍 호계리 790-124|||||||용구비어 경남내서본점|그랜드상가|||80218
용구비어|부산만덕점|||용구비어|051-338-1339||부산광역시 북구 만덕동 912-8|||||||용구비어 부산만덕점||||80218
용구비어|경남남지점|||용구비어|055-521-1259||경상남도 창녕군 남지읍 남지리 994-7|||||||용구비어 경남남지점|(533-19번지)|||80218
용구비어|전주덕진하가점|||용구비어|063-274-5361||전라북도 전주시 덕진구 덕진동 2가 671-13|||||||용구비어 전주덕진하가점||||80218
용구비어|안동정하점|||용구비어|054-854-0988||경상북도 안동시 정하동 280-3|||||||용구비어 안동정하점||||80218
용구비어|대구다사점|||용구비어|053-582-0992||대구광역시 달성군 다사읍 매곡리 1547-11|||||||용구비어 대구다사점||||80218
용구비어|밀양삼문점|||용구비어|055-354-2898||경상남도 밀양시 삼문동 736-8|||||||용구비어 밀양삼문점||||80218
용구비어|김해율하점|||용구비어|055-329-1555||경상남도 김해시 율하동 1320-3|||||||용구비어 김해율하점||||80218
용구비어|경북대상주캠퍼스점|||용구비어|054-531-2800||경상북도 상주시 가장동 742|||||||용구비어 경북대상주캠퍼스점|캠퍼스빌딩 103|||80218
용구비어|울산일산점|||용구비어|052-252-0991||울산광역시 동구 일산동 580-27|||||||용구비어 울산일산점||||80218
용구비어|광주선운점|||용구비어|062-953-5592||광주광역시 광산구 선암동 767|||||||용구비어 광주선운점|102호|||80218
용구비어|경산옥산점|||용구비어|053-816-9992||경산북도 경산시 옥산동 746-4|||||||용구비어 경산옥산점||||80218
용구비어|진해자은점|||용구비어|055-541-3377||경상남도 창원시 진해구 자은동 657-62|||||||용구비어 진해자은점||||80218
용구비어|대구동성로점|||용구비어|053-295-0909|대구광역시 중구 동성로 3길 20||||||||용구비어 대구동성로점|디-스퀘어 106호|||80218
용구비어|부산화명점|||용구비어|051-361-1816||부산광역시 북구 화명동 2271-1|||||||용구비어 부산화명점|에이스타운 105호|||80218
용구비어|진해석동점|||용구비어|055-552-0925||경상남도 창원시 진해구 이동 505-5|||||||용구비어 진해석동점|103호|||80218
용구비어|양산덕계점|||용구비어|055-364-4499|경상남도 양산시 평산 5길 5||||||||용구비어 양산덕계점||||80218
용구비어|군산수송점|||용구비어|063-462-1209||전라북도 군산시 수송동 836-4|||||||용구비어 군산수송점||||80218
용구비어|경남창녕점|||용구비어|055-533-5509|경상남도 창녕군 창녕읍 교상길 7||||||||용구비어 경남창녕점||||80218
용구비어|대구신월성점|||용구비어|053-635-0919|대구광역시 달서구 조암로 33||||||||용구비어 대구신월성점|한성빌딩 108호|||80218
