##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@관광공사맛집
백년가게/진해제과||128.6590629669|35.1482663664|관광공사맛집|055-546-3131|경상남도 창원시 진해구 중원로43번길 4||음식|08:30 ~ 22:30||| 진해제과||[백년가게]진해제과||||kto
백년가게|미진과자점|128.6660817024|35.1518549808|관광공사맛집|055-545-3133|경상남도 창원시 진해구 충장로130번길 4||음식|07:00 ~ 22:00||| 미진과자점||[백년가게]미진과자점||||kto
백년가게/중앙집||128.0856369738|35.1917400689|관광공사맛집|055-741-5496|경상남도 진주시 남강로673번길 6||음식|11:00 ~ 21:00 (브레이크타임 15:00 ~ 17:00)||| 중앙집||[백년가게]중앙집||||kto
백년가게/단골집||127.5175961840|36.8132315862|관광공사맛집|043-532-6171|충청북도 진천군 초평면 초평로 1053||음식|10:00 ~ 22:00||| 단골집||[백년가게]단골집||||kto
백년가게/송애집||127.5178378226|36.8134565651|관광공사맛집|043-532-6228|충청북도 진천군 초평면 초평로 1051-5||음식|11:00 ~ 20:00 (가게사정에 따라 영업시간이 변경될 수 있으므로 전화문의 필수)||| 송애집||[백년가게]송애집||||kto
백년가게/금수장장어구이||127.4286000864|36.4580540810|관광공사맛집|042-932-5454|충청북도 청주시 서원구 현도면 청남로 16||음식|09:30~20:30||| 금수장장어구이||[백년가게]금수장장어구이||||kto
백년가게/계화회관||126.7107084939|35.7291164747|관광공사맛집|063-584-3075|전라북도 부안군 행안면 변산로 95||음식|||| 계화회관||[백년가게]계화회관||||kto
백년가게/진미식당||126.9448582161|36.0059389404|관광공사맛집|063-856-4422|전라북도 익산시 황등면 황등로 158||음식|10:30~19:00 (11월~2월) / 11:00~19:00 (3월~10월) 재료소진시 마감||| 진미식당||[백년가게]진미식당||||kto
백년가게/풍미통닭||127.4909899530|34.9464739023|관광공사맛집|061-744-7041|전라남도 순천시 성남뒷길 3||음식|11:30~24:00||| 풍미통닭||[백년가게]풍미통닭||||kto
백년가게/금메달식당||126.4622950332|34.8103774519|관광공사맛집|061-272-2697<br />061-272-0606|전라남도 무안군 삼향읍 대죽서로 20||음식|11:00~22:00 (예약시 시간 변경가능)||| 금메달식당||[백년가게]금메달식당||||kto
백년가게/더리미집||126.5131896884|37.7232055056|관광공사맛집|032-932-0787|인천광역시 강화군 선원면 해안동로 1219||음식|10:00~21:00||| 더리미집||[백년가게]더리미집||||kto
석남동함흥냉면||126.6714564148|37.5010980510|관광공사맛집|032-583-8445|인천광역시 서구 석남로 87||맛집;음식|00:00 ~ 24:00 (일요일 00:00 ~ 21:30)|||||석남동함흥냉면||||kto
갈비곳간||129.0563669161|35.1599862176|관광공사맛집|051-714-4457|부산광역시 부산진구 서면문화로 32||부산맛집;음식|11:30 ~ 24:00 / (11:30 ~ 22:00 일요일, 공휴일)|||||갈비곳간||||kto
묵은지||126.2596485379|34.4811500534|관광공사맛집|061-543-2242|전라남도 진도군 진도읍 남동1길 12-5||맛집;묵은지;음식;진도맛집;한우|10:00 ~ 21:00|||||묵은지||||kto
하늘가든||126.4847912526|37.2577313693|관광공사맛집|032-886-3916|인천광역시 옹진군 영흥면 영흥로251번길 24||맛집;음식|07:00 ~ 22:00|||||하늘가든||||kto
장수촌||126.3949983025|37.7031029927|관광공사맛집|032-932-8544|인천광역시 강화군 내가면 중앙로 1162||맛집;음식|11:00 ~ 20:00|||||장수촌||||kto
고송||126.4157846637|37.7254757481|관광공사맛집|032-932-5991|인천광역시 강화군 내가면 고비고개로 681||맛집;음식|10:00 ~ 21:00|||||고송||||kto
큰나루밴댕이회무침||126.6983666130|37.4456994095|관광공사맛집|032-421-3643|인천광역시 남동구 문화서로4번길 61-23||맛집;음식|10:00 ~ 23:30 (주문마감 22:30)|||||큰나루밴댕이회무침||||kto
금강산추어탕||126.6744326853|37.5454068397|관광공사맛집|032-565-9929|인천광역시 서구 탁옥로51번길 13-8||맛집;음식|09:00 ~ 21:00|||||금강산추어탕||||kto
춘희네맛있는약속/장충동왕족발||126.7127870164|37.4638281140|관광공사맛집|032-439-2442|인천광역시 남동구 용천로153번길 31||맛집;음식|12:30 ~ 01:00|||||춘희네맛있는약속 장충동왕족발||||kto
옥천관||126.7102411576|37.5228712060|관광공사맛집|032-502-2623|인천광역시 부평구 안남로 447-2||맛집;음식|09:00 ~ 21:00|||||옥천관||||kto
허벌난횟집||126.7268192992|37.4556182047|관광공사맛집|032-467-2858|인천광역시 남동구 구월로 323||맛집;음식|11:00 ~ 22:30|||||허벌난횟집||||kto
평양옥||126.6736334806|37.5195015053|관광공사맛집|032-582-5959|인천광역시 서구 석곶로 23||맛집;음식|12:00 ~ 22:00|||||평양옥||||kto
포청천부||126.7335522537|37.4471637508|관광공사맛집|032-472-3467|인천광역시 남동구 소래로 644-1||맛집;음식|09:00 ~ 21:00|||||포청천부||||kto
바다해물탕||126.7335187640|37.4528880850|관광공사맛집|032-464-4944|인천광역시 남동구 하촌로 58||맛집;음식|10:00 ~ 23:30|||||바다해물탕||||kto
육교추어탕||126.7656716498|37.4435397405|관광공사맛집|032-466-3337|인천광역시 남동구 수인로 3548||맛집;음식|09:30 ~ 21:30|||||육교추어탕||||kto
명동보리밥||126.7019216279|37.4534819013|관광공사맛집|032-435-3392|인천광역시 남동구 예술로 220||맛집;음식|08:00 ~ 22:00|||||명동보리밥||||kto
이가네찹쌀순대||126.7019216279|37.4534819013|관광공사맛집|032-431-4381|인천광역시 남동구 예술로 220||맛집;음식|00:00 ~ 24:00|||||이가네찹쌀순대||||kto
이조보쌈||126.7327634196|37.4477803312|관광공사맛집|032-468-4456|인천광역시 남동구 인주대로850번길 31-17||맛집;음식|11:00 ~ 22:00|||||이조보쌈||||kto
오거리삼계탕||126.7061875323|37.4668915298|관광공사맛집|032-437-9270|인천광역시 남동구 경인로613번길 40||맛집;음식||||||오거리삼계탕||||kto
두향||127.1229748575|37.3589114915|관광공사맛집|031-718-3344|경기도 성남시 분당구 불곡남로 5||맛집;음식|10:00 ~ 22:00 (일요일 08:00 ~ 22:00)|||||두향||||kto
한양정||126.6548380276|37.4176157919|관광공사맛집|032-833-5665|인천광역시 연수구 청량로113번길 1||맛집;음식|11:00 ~ 24:00|||||한양정||||kto
옛집||126.9318469851|37.3872131219|관광공사맛집|031-442-4886|경기도 안양시 만안구 만안로55번길 40||맛집;음식|11:00 ~ 21:00|||||옛집||||kto
백년가게/불로식당||128.5765436359|35.2053640171|관광공사맛집|055-246-6260|경상남도 창원시 마산합포구 남성로 137||음식|12:00 ~ 21:30||| 불로식당||[백년가게]불로식당||||kto
백년가게/알미골||126.4929215500|37.7429111827|관광공사맛집|032-934-3962|인천광역시 강화군 강화읍 강화대로 334||음식|10:00~21:00||| 알미골||[백년가게]알미골||||kto
백년가게/부영선지국||126.6473570172|37.4586247843|관광공사맛집|032-884-5981|인천광역시 미추홀구 장천로14번길 20||음식|09:00~19:00||| 부영선지국||[백년가게]부영선지국||||kto
백년가게/안일옥||127.2729016890|37.0077158975|관광공사맛집|031-675-2486<br />031-675-9479|경기도 안성시 중앙로411번길 20||음식|08:00~21:00||| 안일옥||[백년가게]안일옥||||kto
백년가게/지동관||127.0482652745|37.7399297771|관광공사맛집|031-846-2047|경기도 의정부시 호국로1298번길 78||음식|11:00~21:30 (주중 브레이크타임 15:00 ~ 17:00)||| 지동관||[백년가게]지동관||||kto
백년가게/유일관||127.3488855489|37.8193148957|관광공사맛집|031-585-2543|경기도 가평군 조종면 현창로38번길 11-1||음식|08:00~21:00||| 유일관||[백년가게]유일관||||kto
백년가게(신)/대원옥||127.0172644633|37.2794188071|관광공사맛집|031-255-7493|경기도 수원시 팔달구 정조로800번길 6-3||음식|11:30~20:30||| (신)대원옥||[백년가게](신)대원옥||||kto
백년가게/진주회관본관||127.1296254723|36.9169710238|관광공사맛집|041-581-2065|충청남도 천안시 서북구 성환읍 성환11길 15||음식|09:00 ~ 21:00 (매주 일요일 09:00 ~ 16:00)||| 진주회관본관||[백년가게]진주회관본관||||kto
백년가게/신화당분식||127.4937423756|36.6273497289|관광공사맛집|043-256-5463|충청북도 청주시 상당구 대성로22번길 5-1||음식|10:30~18:30||| 신화당분식||[백년가게]신화당분식||||kto
백년가게/동승춘||129.1635384244|37.4422179396|관광공사맛집|033-574-2082|강원도 삼척시 대학로 12||음식|11:00 ~ 21:00 (주문마감 20:30)||| 동승춘||[백년가게]동승춘||||kto
백년가게/딴뚝통나무집식당||126.3509817071|36.5094766140|관광공사맛집|041-673-1645|충청남도 태안군 안면읍 조운막터길 23-22||음식|08:30 ~ 20:30||| 딴뚝통나무집식당||[백년가게]딴뚝통나무집식당||||kto
백년가게/민들레||126.8533132424|35.1500400975|관광공사맛집|062-374-8760|광주광역시 서구 상무평화로 137||음식|10:00 ~ 22:00||| 민들레||[백년가게]민들레||||kto
백년가게/남주동해장국||127.4851958660|36.6293160171|관광공사맛집|043-256-8575|충청북도 청주시 상당구 무심동로304번길 10||음식|06:00 ~ 20:00||| 남주동해장국||[백년가게]남주동해장국||||kto
백년가게/나드리||128.6248717652|36.8234147510|관광공사맛집|054-633-5482|경상북도 영주시 중앙로 89||음식|11:30 ~ 20:30||| 나드리||[백년가게]나드리||||kto
백년가게/큰댁||127.1362634686|36.8267843109|관광공사맛집|041-555-8107|충청남도 천안시 서북구 성정중4길 30||음식|11:30 ~ 21:30 (브레이크타임 14:30 ~ 17:00)||| 큰댁||[백년가게]큰댁||||kto
인디커피(카페드220볼트)||127.7838087130|37.8570713293|관광공사맛집|033-263-0220|강원도 춘천시 동내면 금촌로 107-27||음식;춘천카페||||||주식회사 인디커피 (카페드220볼트)||||kto
일미정||126.8146072205|37.6009306492|관광공사맛집|031-974-0123|경기도 고양시 덕양구 행주산성로 168||맛집;음식||||||일미정||||kto
통영자연회타운||128.4322051289|34.8287897220|관광공사맛집|055-646-3553|경상남도 통영시 도남로 257-7||맛집;음식||||||통영자연회타운||||kto
십오야숯불장어구이||128.4044852093|34.8330304198|관광공사맛집|055-649-9292|경상남도 통영시 통영해안로 45||맛집;음식||||||십오야숯불장어구이||||kto
뽕나무골||126.9320102808|37.1084093019|관광공사맛집|031-353-6220|경기도 화성시 향남읍 은행나무로 591||맛집;음식||||||뽕나무골||||kto
락원||127.0893946180|37.1590395814|관광공사맛집|031-374-6117|경기도 오산시 경기동로 159||맛집;음식||||||락원||||kto
머슴과마님||126.8395037633|37.6429012101|관광공사맛집|031-967-4700|경기도 고양시 덕양구 충장로 344||맛집;음식||||||머슴과마님||||kto
경마장/오리집||127.0104161011|37.4411499351|관광공사맛집|02-502-7500|경기도 과천시 궁말로 20-4||맛집;음식||||||경마장 오리집||||kto
소나무집||127.2375370536|37.5410507674|관광공사맛집|031-795-6677|경기도 하남시 검단산로 342-13||맛집;음식||||||소나무집||||kto
임금님쌀밥집||127.4035286867|37.3063726433|관광공사맛집|031-632-3646|경기도 이천시 신둔면 경충대로 3134||경기권;맛집;서울근교;음식;이천맛집;임금님쌀밥집||||||임금님쌀밥집||||kto
여주본가||127.5801153354|37.2145364752|관광공사맛집|031-883-1277|경기도 여주시 가남읍 가남로 270-3||맛집;맛집여행;여주맛집;여주본가;음식||||||여주본가||||kto
가리산막국수||128.0138244871|37.8381278478|관광공사맛집|033-435-2704|강원도 홍천군 두촌면 가리산길23번길 7||맛집;음식||||||가리산막국수||||kto
옥천순두부||127.4668053672|37.5321698635|관광공사맛집|031-774-4369|경기도 양평군 옥천면 신복길 124||맛집;음식||||||옥천순두부||||kto
황토와참숯||126.9623188445|34.9849744447|관광공사맛집|061-371-5020|전라남도 화순군 능주면 학포로 1877||맛집;음식||||||황토와참숯||||kto
물레방아||127.1361327437|37.2335679083|관광공사맛집|031-287-2447|경기도 용인시 기흥구 지삼로250번길 27||맛집;음식||||장수촌||물레방아(구 장수촌)||||kto
정자나무가든||127.3422749467|36.2357640881|관광공사맛집|042-581-0987|대전광역시 서구 장안로 226||맛집;음식||||||정자나무가든||||kto
들꽃향/한정식||126.8304341408|37.3817730594|관광공사맛집|031-405-4054|경기도 시흥시 물왕수변로 12-1||맛집;음식||||||들꽃향 한정식||||kto
옛터/한정식||127.1737489137|37.3274799348|관광공사맛집|031-339-6630|경기도 용인시 처인구 모현읍 능원로132번길 9||맛집;음식||||||옛터 한정식||||kto
한국관||127.1033360275|37.2224574953|관광공사맛집|031-275-6100|경기도 용인시 기흥구 기흥단지로 8||맛집;음식||||||한국관||||kto
바우갈비||127.6235253549|37.1153681586|관광공사맛집|031-642-4288|경기도 이천시 장호원읍 장감로 6||맛집;음식||||||바우갈비||||kto
제일식당||127.3736020789|37.1646134895|관광공사맛집|031-332-4608|경기도 용인시 처인구 백암면 백암로201번길 11||맛집;음식||||||제일식당||||kto
사랑방||127.1880384141|37.7474314366|관광공사맛집|031-527-7241|경기도 남양주시 진접읍 광릉수목원로 187-1||맛집;음식||||||사랑방||||kto
고려원||127.9175039841|37.3226774180|관광공사맛집|033-766-2233|강원도 원주시 행가리1길 14||맛집;음식||||||고려원||||kto
태기산막국수||128.2185601508|37.5115445592|관광공사맛집|033-342-1072|강원도 횡성군 둔내면 둔내로 73||맛집;음식||||||태기산막국수||||kto
두지리강촌매운탕||126.8938118822|37.9632815010|관광공사맛집|031-959-3858|경기도 파주시 적성면 술이홀로2316번길 31||맛집;음식||||||두지리강촌매운탕||||kto
청정바지락칼국수||126.7754420774|37.6737825829|관광공사맛집|031-912-7676|경기도 고양시 일산동구 일산로463번길 7||맛집;음식||||||청정바지락칼국수||||kto
대교여울목||126.9206642155|37.9896761248|관광공사맛집|031-835-2528|경기도 연천군 백학면 청정로46번길 25||맛집;음식||||||대교여울목||||kto
양촌리아구||126.7362345977|37.6720987471|관광공사맛집|031-911-0430|경기도 고양시 일산서구 대화2로 152||맛집;음식||||||양촌리아구||||kto
터미널회식당||128.4219168147|34.8410159491|관광공사맛집|055-641-0711|경상남도 통영시 동충4길 7||맛집;음식||||||터미널회식당||||kto
통영맛집||128.4234055440|34.8421825121|관광공사맛집|055-641-0109|경상남도 통영시 항남1길 15-4||맛집;음식||||||통영맛집||||kto
다복식당||128.4209279983|34.8415408726|관광공사맛집|055-645-8202|경상남도 통영시 새터길 74-1||경상권;다복식당;맛집;복매운탕;복지리;음식;통영맛집||||||다복식당||||kto
수봉식당||128.4309170384|34.8026342899|관광공사맛집|055-644-1130|경상남도 통영시 산양읍 일운2길 4||경상권;맛집;수봉식당;음식;통영맛집;해물탕||||||수봉식당||||kto
한려곰장어||128.4315270337|34.8431186633|관광공사맛집|055-646-7633|경상남도 통영시 정동4길 57||맛집;음식||||||한려곰장어||||kto
분소식당||128.4187837635|34.8406659322|관광공사맛집|055-644-0495|경상남도 통영시 통영해안로 207||맛집;음식||||||분소식당||||kto
거구장||128.4230167343|34.8404410331|관광공사맛집|055-645-0029|경상남도 통영시 동충2길 22-3||맛집;음식||||||거구장||||kto
생생굴마을/대풍관||128.4273162823|34.8433852252|관광공사맛집|055-644-4446<br />055-644-4469|경상남도 통영시 해송정1길 19||음식||||||생생굴마을 대풍관||||kto
동호식당||128.6651350045|37.3797682629|관광공사맛집|033-562-5204|강원도 정선군 정선읍 정선로 1362||맛집;음식||||||동호식당||||kto
B's/coffee||127.3075060105|35.2767724179|관광공사맛집|061-363-3721|전라남도 곡성군 오곡면 기차마을로 229||곡성맛집;음식||||||B's coffee||||kto
운채||128.0062287799|37.3409963969|관광공사맛집|033-747-1993|강원도 원주시 고문골길 47||강원권;맛집;운채;원주맛집;음식;한식||||||운채||||kto
밤나무집||127.9780103682|38.0462085266|관광공사맛집|033-481-5559|강원도 양구군 양구읍 소양석현길 31||맛집;밤나무집;송어회;양구맛집;연중무휴;음식||||||밤나무집||||kto
광치막국수||128.0478514432|38.1306666780|관광공사맛집|033-481-4095||강원도 양구군 남면 가오작리 1051-1|맛집;음식||||||광치막국수||||kto
감자네||128.1860902759|38.0841608395|관광공사맛집|033-462-5766|강원도 인제군 인제읍 덕산로 84||맛집;음식||||||감자네||||kto
어라연송어장횟집||128.5132083096|37.2421145577|관광공사맛집|033-375-4242|강원도 영월군 영월읍 동강로 955||맛집;음식||||||어라연송어장횟집||||kto
대영민물매운탕||128.5359762633|37.1297779150|관광공사맛집|033-372-2989|강원도 영월군 김삿갓면 영월동로 1131-21||맛집;음식||||||대영민물매운탕||||kto
강원토속식당||128.5363762113|37.1303278593|관광공사맛집|033-372-9014|강원도 영월군 김삿갓면 영월동로 1121-16||강원토속식당;맛집;맛집여행;연중무휴;영월맛집;음식||||||강원토속식당||||kto
백담폭포/송어횟집||128.3271519059|38.1919982066|관광공사맛집|033-462-4622|강원도 인제군 북면 만해로 224-9||맛집;음식||||||백담폭포 송어횟집||||kto
양구수산||127.9854161832|38.1070765762|관광공사맛집|033-481-2643|강원도 양구군 양구읍 양록길23번길 6-2||맛집;음식||||||양구수산||||kto
담치마을||128.6201956316|38.0733371233|관광공사맛집|033-673-0012|강원도 양양군 양양읍 남문로 17-1||맛집;음식||||||담치마을||||kto
본가박대감||127.9588335817|37.3229420444|관광공사맛집|033-762-8966|강원도 원주시 토지길 3-10||맛집;음식||||||본가박대감||||kto
갈릴리회집||128.5876049279|38.2264436798|관광공사맛집|033-632-1199|강원도 속초시 장사항해안길 55||갈릴리회집;강원권;맛집;속초맛집;연중무휴;음식||||||갈릴리회집||||kto
초당할머니집||128.5358327305|38.1983903847|관광공사맛집|033-635-8700|강원도 속초시 관광로 433||맛집;음식||||||초당할머니집||||kto
부림해물||129.1815981598|37.4343858610|관광공사맛집|033-576-0789|강원도 삼척시 동해대로 3935||맛집;음식||||||부림해물||||kto
평남횟집||129.1898861642|37.4390243784|관광공사맛집|033-574-8585|강원도 삼척시 새천년도로 77||맛집;음식||||||평남횟집||||kto
폭포가든||127.2654372557|38.2103705084|관광공사맛집|033-455-3546|강원도 철원군 동송읍 직탕길 86||맛집;음식||||||폭포가든||||kto
신화횟집||129.1887084935|37.4389715838|관광공사맛집|033-574-3810|강원도 삼척시 새천년도로 65-1||맛집;음식||||||신화횟집||||kto
은파횟집||128.9168662970|37.7966222125|관광공사맛집|033-652-9566|강원도 강릉시 창해로350번길 31||맛집;음식||||||은파횟집||||kto
코리아횟집||128.5891826506|38.2236218168|관광공사맛집|033-632-7688|강원도 속초시 장사항해안길 21||맛집;음식||||||코리아횟집||||kto
주문진횟집/테라스제이||128.8429373441|37.8703261250|관광공사맛집|033-662-5955|강원도 강릉시 연곡면 영진길 63||맛집;음식||||||주문진횟집 테라스제이||||kto
광범이네활어센타||128.5095631260|38.3687089140|관광공사맛집|033-682-3665|강원도 고성군 죽왕면 가진해변길 114||맛집;음식||||||광범이네활어센타||||kto
바다마을||129.1690538173|37.4675401313|관광공사맛집|033-572-5559|강원도 삼척시 테마타운길 53||맛집;음식||||||바다마을||||kto
유리횟집||128.8299492073|37.8838798566|관광공사맛집|033-661-4911|강원도 강릉시 주문진읍 해안로 1667||맛집;음식||||||유리횟집||||kto
동화가든||128.9146333337|37.7911755768|관광공사맛집|033-652-9885|강원도 강릉시 초당순두부길77번길 15||강릉맛집;동화가든;맛집;음식;음식점;짬뽕순두부;초두부||||||동화가든||||kto
대관령황태촌||128.8257050636|37.8865128024|관광공사맛집|033-662-4599|강원도 강릉시 주문진읍 주문로 28-1||맛집;음식||||||대관령황태촌||||kto
대가||127.3091459503|38.1565887133|관광공사맛집|033-452-4375|강원도 철원군 갈말읍 명성로 281||맛집;음식||||||대가||||kto
미실란/밥카페/반하다||127.2998671506|35.3019555529|관광공사맛집|061-363-7060|전라남도 곡성군 곡성읍 섬진강로 2584||곡성맛집;음식||||||미실란 밥카페 반하다||||kto
오차커피공방||127.4647909910|35.2132573043|관광공사맛집|010-2819-5909|전라남도 구례군 구례읍 봉성로 122||구례맛집;음식||||||오차커피공방||||kto
푸른물고기||127.4646133768|35.2075051723|관광공사맛집|061-781-7226|전라남도 구례군 구례읍 봉성로 58||구례맛집;음식||||||푸른물고기||||kto
목월빵집.cafe||127.4659325154|35.2148765864|관광공사맛집|061-781-1477|전라남도 구례군 구례읍 서시천로 85||구례맛집;음식||||||목월빵집.cafe||||kto
쑥부쟁이/카페||127.4387880148|35.3099181679|관광공사맛집|061-781-7235|전라남도 구례군 산동면 지리산온천로 72||구례맛집;음식||||||쑥부쟁이 카페||||kto
카페그꽃||128.1651480449|35.5564364947|관광공사맛집|055-934-2110|경상남도 합천군 대양면 동부로 21-10||음식;합천맛집||||||카페그꽃||||kto
적사부||128.1602093027|35.5671435294|관광공사맛집|055-931-5033|경상남도 합천군 합천읍 동서로 72||음식;합천맛집||||||적사부||||kto
순흥기지떡집||128.5744873834|36.9179918505|관광공사맛집|054-633-2016|경상북도 영주시 순흥면 소백로 2657||영주맛집;음식||||||순흥기지떡집||||kto
카페/봄||129.3946975004|36.3661676819|관광공사맛집|054-734-8189|경상북도 영덕군 강구면 영덕대게로 192||영덕맛집;음식||||||카페 봄||||kto
카페/하겐나||126.5730352096|37.2864045851|관광공사맛집|032-891-3455|경기도 안산시 단원구 대부황금로 1471-1||안산맛집;음식||||||카페 하겐나||||kto
카페/공간153||127.4260459635|35.7930715557|관광공사맛집|070-8869-5536|전라북도 진안군 진안읍 당산길 26-2||음식;진안맛집||||||카페 공간153||||kto
행복정거장|모악산점|127.1093563218|35.7295065954|관광공사맛집|1600-0125|전라북도 완주군 구이면 모악산길 95||완주맛집;음식||||||행복정거장 모악산점||||kto
진미횟집||126.7552339509|34.3145628995|관광공사맛집|061-553-2008|전라남도 완도군 완도읍 장보고대로 282-1||완도맛집;음식||||||진미횟집||||kto
리트리빈||127.3839525377|36.6160323946|관광공사맛집|070-4115-2229|충청북도 청주시 흥덕구 청정로 14||음식;청주맛집||||||리트리빈||||kto
프라임로스터스||126.7481372648|34.3181512712|관광공사맛집|061-552-0200|전라남도 완도군 완도읍 장보고대로 195||완도맛집;음식||||||프라임로스터스||||kto
바다를담은면||126.6579161374|34.3709716595|관광공사맛집|061-555-9988|전라남도 완도군 군외면 초평길 43-1||완도맛집;음식||||||바다를담은면||||kto
제로플레이스||126.5761334763|36.7241779802|관광공사맛집|0504-0904-2004|충청남도 서산시 해미면 일락골길 367-19||서산맛집;음식||||||제로플레이스||||kto
백년가게/공원당||127.4885954571|36.6330767568|관광공사맛집|043-255-3894|충청북도 청주시 상당구 상당로55번길 40-2||백년가게;음식;청주맛집|11:00~20:00||| 공원당||[백년가게]공원당||||kto
고추만두국집||127.4865039561|36.6338821829|관광공사맛집|043-253-4260|충청북도 청주시 상당구 사직대로350번길 61||음식;청주맛집||||||고추만두국집||||kto
쫄쫄호떡||127.4884371354|36.6331739657|관광공사맛집|043-221-2208|충청북도 청주시 상당구 상당로55번길 40-1||음식;청주맛집||||||쫄쫄호떡||||kto
토담화로구이||127.7370267597|37.8603895148|관광공사맛집|033-263-7799|강원도 춘천시 남춘로36번길 65||맛집;음식||||||토담화로구이||||kto
