##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@슈마커
슈마커|E목동점|126.871084|37.52609|슈마커|070-4200-2809|서울 양천구 오목로 299||직영점||||||슈마커 E목동점|이마트 목동점 지하2층 슈마커|||91002
슈마커|E수지점|127.1099743|37.325334|슈마커|070-4114-2809|경기 용인시 수지구 포은대로 552||직영점||||||슈마커 E수지점|이마트 수지점 2층 슈마커|||91002
슈마커|안산중앙점|126.8381494|37.3180273|슈마커|031-401-2809|경기 안산시 단원구 고잔1길 42||직영점||||||슈마커 안산중앙점|1층 슈마커|||91002
슈마커|NC엑스코점|128.610971784|35.9063119379|슈마커|053-662-9338|대구 북구 유통단지로14길 22||직영점||||||슈마커 NC엑스코점|NC엑스코점 2층 슈마커|||91002
슈마커|NC강서점|126.841906804|37.5593159004|슈마커|02-2667-9880|서울 강서구 강서로56길 17||직영점||||||슈마커 NC강서점|NC강서점 4층 슈마커|||91002
슈마커|L계양점|126.745001053|37.5598671708|슈마커|032-548-2888|인천 계양구 장제로 822||직영점||||||슈마커 L계양점|롯데마트 계양점 B1 슈마커|||91002
슈마커|일산라페스타점|||슈마커|031-901-2809|경기 고양시 일산동구 중앙로1275번길 38-31||직영점||||||슈마커 일산라페스타점|A동 123호 슈마커|||91002
슈마커|대전탄방점|127.395207403|36.3476248903|슈마커|042-471-7768|대전 서구 문정로 77||직영점||||||슈마커 대전탄방점|로데오타운 125호 (탄방동)|||91002
슈마커|H목동점|||슈마커|02-2645-2809|서울 양천구 목동서로 170||직영점||||||슈마커 H목동점|홈플러스 목동점 1층 슈마커|||91002
슈마커|구리남양주모다점|||슈마커|031-514-8687|경기 구리시 경춘북로 230||직영점||||||슈마커 구리남양주모다점|구리남양주모다아울렛 슈마커|||91002
슈마커|E문현점|129.064240|35.144305|슈마커|051-633-7142|부산 남구 전포대로91번길 47||직영점||||||슈마커 E문현점|이마트 문현점 슈마커|||91002
슈마커|익산영등점|126.972488824|35.9523659902|슈마커|063-834-9948||전북 익산시 영등동 857-7|직영점||||||슈마커 익산영등점|1층 슈마커|||91002
슈마커|행복한백화점목동점|126.876010|37.529144|슈마커|02-6678-3809|서울 양천구 목동동로 309||직영점||||||슈마커 행복한백화점목동점|행복한백화점 목동점 1층|||91002
슈마커|E양산점|||슈마커|055-366-5669|경남 양산시 양산역6길 12||직영점||||||슈마커 E양산점|이마트 양산점 슈마커|||91002
슈마커|L익산점|||슈마커|070-7756-3151|전북 익산시 무왕로 1053||직영점||||||슈마커 L익산점|롯데마트 3층 슈마커|||91002
슈마커|E남양주점|127.243053|37.655047|슈마커|070-8822-2809|경기 남양주시 늘을2로 27||직영점||||||슈마커 E남양주점|이마트 남양주점 슈마커|||91002
슈마커|E별내점|127.125968|37.642811|슈마커|070-7778-2809|경기 남양주시 순화궁로 167||직영점||||||슈마커 E별내점|2층 슈마커|||91002
슈마커|E포항이동점|129.339028|36.031704|슈마커|054-274-2809|경북 포항시 북구 대이로 188||직영점||||||슈마커 E포항이동점|이마트 포항이동점 지하1층|||91002
슈마커|E세종점|127.250984|36.470898|슈마커|044-865-2809|세종특별자치시 금송로 687||직영점||||||슈마커 E세종점|이마트 세종점 슈마커|||91002
슈마커|E평택점|127.075539|37.021118|슈마커|031-656-3988|경기 평택시 영신로 29||직영점||||||슈마커 E평택점|이마트 2층 슈마커 평택점|||91002
슈마커|E산본점|126.939048433|37.3560366882|슈마커|031-398-2809||경기 군포시 산본동 1123|직영점||||||슈마커 E산본점|이마트 산본점 슈마커|||91002
슈마커|H병점점|127.036704|37.203688|슈마커|031-233-2809|경기 화성시 경기대로 985||직영점||||||슈마커 H병점점|홈플러스 병점점 1층 슈마커|||91002
슈마커|H강동점|127.142249|37.5457165|슈마커|||서울 강동구 천호동 42|직영점||||||슈마커 H강동점|홈플러스 강동점 2F 슈마커|||91002
슈마커|NC부산서면점|129.063013|35.1570359|슈마커|051-794-7286|부산광역시 부산진구 동천로 92||직영점||||||슈마커 NC부산서면점|(전포동,디씨티) 5층|||91002
슈마커|포항점|129.363067|36.0374606|슈마커|054-252-2809||경북 포항시 북구 대흥동 719-25|직영점||||||슈마커 포항점||||91002
슈마커|H청주점|127.442240|36.6154342|슈마커|043-234-1110|충청북도 청주시 흥덕구 서부로 1291||직영점||||||슈마커 H청주점|(가경동) 1291 홈플러스 2층|||91002
슈마커|H인천논현점|126.725650|37.4006231|슈마커|032-431-8032|인천광역시 남동구 청능대로 596||직영점||||||슈마커 H인천논현점|(논현동,푸르지오시티) 지하2층|||91002
슈마커|H춘천점|127.734321|37.8509795|슈마커|||강원 춘천시 퇴계동 144-1|직영점||||||슈마커 H춘천점|홈플러스 춘천점 지하1층|||91002
슈마커|H월곡점|127.040464|37.6018263|슈마커|02-915-1651|서울특별시 성북구 화랑로 76||직영점||||||슈마커 H월곡점|(하월곡,코업스타클래스)홈플러스B2층|||91002
슈마커|L여수점|127.721341|34.728145|슈마커|010-5056-7929||전남 여수시 국동 37-100|직영점||||||슈마커 L여수점|롯데마트 슈마커|||91002
슈마커|순천점|127.484744|34.9539987|슈마커|||전남 순천시 남내동 68-3|직영점||||||슈마커 순천점|1층 슈마커|||91002
슈마커|H진접점|127.188609|37.7217472|슈마커|010-5308-4106||경기 남양주시 진접읍 장현리 216-1|직영점||||||슈마커 H진접점|홈플러스|||91002
슈마커|E대구월배점|128.523656|35.8171850|슈마커|070-4184-2809||대구 달서구 대천동 555|직영점||||||슈마커 E대구월배점|이마트 월배점 2층 슈마커|||91002
슈마커|진주점|128.099069|35.1323088|슈마커||경상남도 진주시 삼일로105번길 32-1||직영점||||||슈마커 진주점|1동 (정촌면 예하리 1275-1 1동)|||91002
슈마커|E김포한강점|126.628286|37.6443401|슈마커|070-7723-8915||경기 김포시 구래동 6880-9|직영점||||||슈마커 E김포한강점|이마트 김포한강점 1층|||91002
슈마커|H부산연산점|129.089247|35.1910139|슈마커|070-4405-2809||부산 연제구 연산동 105-1|직영점||||||슈마커 H부산연산점|홈플러스 1층|||91002
슈마커|H대구동촌점|128.655682|35.8861815|슈마커|053-983-1536||대구 동구 검사동 908-5|직영점||||||슈마커 H대구동촌점|홈플러스 1층|||91002
슈마커|성서모다점|128.490749|35.8369763|슈마커|053-591-2809|대구광역시 달서구 성서공단로15길 22||직영점||||||슈마커 성서모다점|(호림동)|||91002
슈마커|H세종점(가)|127.258800|36.5073892|슈마커|044-998-7768||세종 어진동 307-7|||||||슈마커 H세종점(가)|홈플러스 슈마커|||91002
슈마커|L부산화명점|129.013016|35.2351685|슈마커|051-362-5669||부산 북구 화명3동 롯데마트 2273|직영점||||||슈마커 L부산화명점|롯데마트 2층 슈마커|||91002
슈마커|L부평역점|126.724491|37.4900693|슈마커|032-502-9888||인천 부평구 부평동 738-21|직영점||||||슈마커 L부평역점|롯데마트 2층 슈마커 매장|||91002
슈마커|H구월점|126.701932138|37.4556357201|슈마커|070-7759-2809||인천 남동구 구월동 1130|직영점||||||슈마커 H구월점|홈플러스 지하2층 슈마커 매장|||91002
슈마커|원주점|127.948942|37.3489736|슈마커|033-747-2809||강원 원주시 일산동 52-26|직영점||||||슈마커 원주점||||91002
슈마커|L덕소점(가)|127.214606|37.5846599|슈마커|070-4918-1385||경기 김포시 고촌읍 신곡리 388-18|||||||슈마커 L덕소점(가)|1층 외솔 창고|||91002
슈마커|문경점(가)|128.200058|36.5965729|슈마커|054-553-8769||경북 문경시 점촌동 268-35|||||||슈마커 문경점(가)||||91002
슈마커|김제점|126.887422|35.7997344|슈마커|063-542-1220|전라북도 김제시 동서로 173||직영점||||||슈마커 김제점||||91002
슈마커|H울산북구점|129.344835|35.6300822|슈마커|010-4617-7508||울산 북구 상안동 322-9|직영점||||||슈마커 H울산북구점|홈플러스|||91002
슈마커|E동인천점|126.629173|37.4665518|슈마커||인천광역시 중구 인중로 134||직영점||||||슈마커 E동인천점|(신생동,동인천 E-MART)|||91002
슈마커|H안산점(가)|126.850100|37.3172095|슈마커|031-403-4055||경기 안산시 상록구 성포동 586|||||||슈마커 H안산점(가)|홈플러스 안산점 3층 슈마커|||91002
슈마커|부산대점(직)(구)|129.088386|35.2312669|슈마커|051-515-2809|부산광역시 금정구 부산대학로 26||||||||슈마커 부산대점(직)(구)|(장전동,고성빌딩) 1층 슈마커|||91002
슈마커|L온양점|127.015818|36.7847358|슈마커|070-4121-0986||충남 아산시 모종동 555-5|직영점||||||슈마커 L온양점|지하1층 롯데마트|||91002
슈마커|L홍성점(가)|126.676315|36.6010401|슈마커|041-631-7741||대전 중구 은행동 18-8|||||||슈마커 L홍성점(가)||||91002
슈마커|H인천작전점|126.729885541|37.5307998428|슈마커|032-547-0755||인천 계양구 작전동 448-7|직영점||||||슈마커 H인천작전점|홈플러스 3층 슈마커|||91002
슈마커|성남신흥점|127.145566|37.4406479|슈마커|031-736-2808||경기 성남시 수정구 신흥동 4190|직영점||||||슈마커 성남신흥점|슈마커|||91002
슈마커|E통영점|128.418000|34.8871343|슈마커|055-648-2809||경남 통영시 광도면 죽림리 죽림리 1566-2|직영점||||||슈마커 E통영점|이마트2층|||91002
슈마커|L오산점|127.073046|37.1494529|슈마커|031-377-3089||경기 오산시 오산동 868|직영점||||||슈마커 L오산점|롯데마트 2층 슈마커|||91002
슈마커|L신구미점(가)|128.365409|36.1137876|슈마커|070-4918-1385||경기 김포시 고촌읍 신곡리 388-18|||||||슈마커 L신구미점(가)|1층 외솔|||91002
슈마커|H오산점|127.061491|37.1701802|슈마커|031-376-3988||경기 오산시 수청동 252|직영점||||||슈마커 H오산점|홈플러스 지하1층 슈마커|||91002
슈마커|인천뉴코아점|126.710340919|37.4427613617|슈마커|032-422-2809||인천 남동구 구월동 1465-1|직영점||||||슈마커 인천뉴코아점|뉴코아아울렛 5층 슈마커|||91002
슈마커|L통영점|128.428238|34.8605774|슈마커|055-648-8746||경남 통영시 무전동 1069|직영점||||||슈마커 L통영점|롯데마트 내 슈마커|||91002
슈마커|천안모다점|127.102314|36.7980798|슈마커|041-904-6309||충남 천안시 서북구 불당동 1289-1|직영점||||||슈마커 천안모다점|펜타포트 주상복합 상가 3층 슈마커|||91002
슈마커|H금천점|126.896887|37.4686636|슈마커|070-7768-0136||서울 금천구 독산1동 291-7|직영점||||||슈마커 H금천점|홈플러스 슈마커|||91002
슈마커|H가야점|129.027321|35.1524660|슈마커|070-4177-2809||부산 부산진구 가야동 620-1|직영점||||||슈마커 H가야점|홈플러스 슈마커|||91002
슈마커|E검단점|126.677217|37.5857147|슈마커|070-4215-8915||인천 서구 당하동 1065-1|직영점||||||슈마커 E검단점|이마트 슈마커|||91002
슈마커|L영통점|127.071662|37.2527431|슈마커|031-204-2806||경기 수원시 영통구 영통동 960-1번리 롯데마트 2층 |직영점||||||슈마커 L영통점||||91002
슈마커|H전주완산점|127.119796026|35.8122369481|슈마커|063-287-2809||전북 전주시 완산구 중노송동 495-6|직영점||||||슈마커 H전주완산점|홈플러스 지하1층 슈마커 매장|||91002
슈마커|L시흥점|126.791960|37.4430377|슈마커|070-8847-8454||경기 시흥시 대야동 542|직영점||||||슈마커 L시흥점|롯데마트 슈마커|||91002
슈마커|목포하당점|126.428347|34.8013586|슈마커|061-281-1771||전남 목포시 상동 1012|직영점||||||슈마커 목포하당점|슈마커|||91002
슈마커|H신내점|127.093737|37.615812|슈마커|070-7768-2809||서울 중랑구 신내동 645|직영점||||||슈마커 H신내점|홈플러스 슈마커|||91002
슈마커|왕십리역사점|127.038048|37.5636827|슈마커|02-2200-1309||서울 성동구 행당동 168-1|직영점||||||슈마커 왕십리역사점|왕십리 민자역사 (비트플렉스) 3층 슈마커|||91002
슈마커|L청주상당점|127.516130|36.6204140|슈마커|043-293-2809||충북 청주시 상당구 용암동 2634|직영점||||||슈마커 L청주상당점|롯데마트 1층 슈마커 매장|||91002
슈마커|H시화점|126.725175|37.3452488|슈마커|031-497-2809||경기 시흥시 정왕동 2166-4|직영점||||||슈마커 H시화점|홈플러스 1층 슈마커 매장|||91002
슈마커|H영통점|127.046624804|37.2596035813|슈마커|070-4115-4458||경기 수원시 영통구 영통동 994-2|직영점||||||슈마커 H영통점|홈플러스 슈마커|||91002
슈마커|H안동점|128.729558|36.5625576|슈마커|054-855-5334||경북 안동시 운흥동 247-58|직영점||||||슈마커 H안동점|홈플러스 안동점|||91002
슈마커|L당진점|126.646258|36.9057730|슈마커|041-353-1809||충남 당진시 원당동 824|직영점||||||슈마커 L당진점|롯데마트 2층 슈마커|||91002
슈마커|구로W몰점|126.887677|37.4773265|슈마커|02-2081-0640||서울 금천구 가산동 60-27|직영점||||||슈마커 구로W몰점|W-MALL 6층 슈마커|||91002
슈마커|H동대문점|127.038769|37.5745485|슈마커|02-962-2808||서울 동대문구 용두동 33-1|직영점||||||슈마커 H동대문점|홈플러스 2층 슈마커|||91002
슈마커|H평택안중점|126.916381|36.9902374|슈마커|031-683-1431||경기 평택시 안중읍 현화리 산274|직영점||||||슈마커 H평택안중점|홈플러스 1층 슈마커 매장|||91002
슈마커|L익산점(가)|126.974127|35.9590571|슈마커|063-225-3398||전북 익산시 영등동 763~900 833-9|||||||슈마커 L익산점(가)|롯데마트 슈마커|||91002
슈마커|L서산점|126.438298|36.7737220|슈마커|041-669-2809||충남 서산시 예천동 508|직영점||||||슈마커 L서산점|롯데마트 서산점 슈마커|||91002
슈마커|대구이시아폴리스점|128.638591|35.9206554|슈마커|053-984-2809|대구광역시 동구 팔공로49길 33||직영점||||||슈마커 대구이시아폴리스점|(봉무동)|||91002
슈마커|H창원점|128.643616|35.2340380|슈마커|055-273-3582||경남 창원시 의창구 팔용동 30-3|직영점||||||슈마커 H창원점|슈마커|||91002
슈마커|H동광주점|126.930414|35.1793411|슈마커|062-263-2809||광주 북구 두암동 575-1|직영점||||||슈마커 H동광주점|홈플러스 2층 슈마커 매장|||91002
슈마커|L충주점|127.914368|36.9815985|슈마커|043-857-2809||충북 충주시 칠금동 849|직영점||||||슈마커 L충주점|롯데마트 2층 슈마커 매장|||91002
슈마커|E월계점|127.061856|37.627340|슈마커|02-977-7231|서울 노원구 마들로3길 15||직영점||||||슈마커 E월계점|이마트 월계점 슈마커|||91002
슈마커|E명일점|127.155611|37.5547060|슈마커|02-442-2809||서울 강동구 명일동 46-4|직영점||||||슈마커 E명일점|이마트 슈마커|||91002
슈마커|L부암점|129.051600101|35.1550598763|슈마커|070-4405-2809||부산 부산진구 부암동 231|직영점||||||슈마커 L부암점|롯데마트 2층 슈마커|||91002
슈마커|E군산점|||슈마커|063-446-8441||전북 군산시 경암동 590-296|직영점||||||슈마커 E군산점|이마트 2층 슈마커|||91002
슈마커|청주중앙점|127.489207|36.6360198|슈마커|043-223-2809||충북 청주시 상당구 북문로1가 92-3|직영점||||||슈마커 청주중앙점|슈마커|||91002
슈마커|E천안점|127.127100|36.7959257|슈마커|041-572-2809||충남 천안시 서북구 쌍용동 191|직영점||||||슈마커 E천안점|이마트|||91002
슈마커|온양점|127.002984|36.7823254|슈마커|041-542-2809||충남 아산시 온양1동 92-7|직영점||||||슈마커 온양점|슈마커|||91002
슈마커|L창원중앙점|128.702788309|35.1984113027|슈마커|070-4253-5080|경상남도 창원시 성산구 중앙대로 123||직영점||||||슈마커 L창원중앙점|(중앙동,롯데마트 창원중앙점)1층|||91002
슈마커|거제옥포점|128.691509|34.8922409|슈마커|055-687-9449||경남 거제시 옥포1동 540-17|직영점||||||슈마커 거제옥포점|슈마커 거제옥포점|||91002
슈마커|H대구수성점|128.622643|35.8379709|슈마커|053-764-8545|||직영점||||||슈마커 H대구수성점||||91002
슈마커|E용산점|126.964742|37.5297736|슈마커|02-2012-1225||서울 용산구 한강로3가 40-999|직영점||||||슈마커 E용산점|현대아이파크몰 이마트|||91002
슈마커|H강서점|126.854819|37.5584711|슈마커|02-2658-2809|서울 강서구 화곡로 398||직영점||||||슈마커 H강서점|(등촌동639-11) 홈플러스 3층 슈마커|||91002
슈마커|안성점(가)|127.270222|37.0082656|슈마커|031-677-3757||경기 안성시 대천동 74|||||||슈마커 안성점(가)|슈마커 안성점|||91002
슈마커|H북수원점|||슈마커|031-253-3707||경기 수원시 장안구 조원동 896|직영점||||||슈마커 H북수원점|홈플러스 북수원점 3층 슈마커|||91002
슈마커|신도림테크노마트점|126.890229|37.5070442|슈마커|02-2111-1055||서울 구로구 구로5동 3-25|직영점||||||슈마커 신도림테크노마트점|신도림테크노마트내 1층 30호|||91002
슈마커|L목포점|126.429468|34.7972463|슈마커|070-8801-1771||전남 목포시 상동 1134|직영점||||||슈마커 L목포점|롯데마트 2층 슈마커 매장|||91002
슈마커|L춘천점|127.718080|37.8685794|슈마커|033-253-2809||강원 춘천시 온의동 6|직영점||||||슈마커 L춘천점|롯데마트 춘천점 2층|||91002
슈마커|부천점|126.783718|37.4873562|슈마커|032-663-2809||경기 부천시 원미구 심곡동 164-2|직영점||||||슈마커 부천점|1층 슈마커 부천점|||91002
슈마커|춘천점|127.727875|37.8776583|슈마커|033-255-2809||강원 춘천시 죽림동 189|직영점||||||슈마커 춘천점|춘천명동 브라운5번가 2동 2117호외2|||91002
슈마커|안산한양대점(가)|126.846069|37.3044961|슈마커|031-409-4201||경기 안산시 상록구 사동 1539|||||||슈마커 안산한양대점(가)|1층 슈마커 안산한양대점|||91002
슈마커|E대구성서점|128.510170|35.8533295|슈마커|053-582-4582||대구 달서구 이곡동 1254|직영점||||||슈마커 E대구성서점|이마트|||91002
슈마커|죽전점|127.108054|37.3332754|슈마커|031-265-1100||경기 용인시 수지구 죽전2동 876|직영점||||||슈마커 죽전점|다솜플라자 1층|||91002
슈마커|대전유성점(가)|127.337814|36.3632506|슈마커|042-823-7713||대전 유성구 장대동 341-3|||||||슈마커 대전유성점(가)||||91002
슈마커|E황학점|127.021462|37.5708119|슈마커|02-2048-5810||서울 중구 황학동 이마트 |직영점||||||슈마커 E황학점||||91002
슈마커|L첨단점(가)|126.851917|35.2167740|슈마커|062-653-0155||광주 광산구 쌍암동 694-3|||||||슈마커 L첨단점(가)|롯데마트 1층|||91002
슈마커|E부천역점|126.782651|37.4840385|슈마커|070-7761-2809||경기 부천시 원미구 심곡동 316-2|직영점||||||슈마커 E부천역점||||91002
슈마커|L의왕점(가)|126.972869|37.3805427|슈마커|031-422-3017||경기 의왕시 내손동 743|||||||슈마커 L의왕점(가)|롯데마트2층|||91002
슈마커|L구리점(가)|127.140918|37.6131376|슈마커|031-553-2666||경기 구리시 인창동 430|||||||슈마커 L구리점(가)|롯데마트2층|||91002
슈마커|L천안쌍용점|127.117649|36.7997705|슈마커|070-7740-2803||충남 천안시 서북구 쌍용동 1367|직영점||||||슈마커 L천안쌍용점|롯데마트1층|||91002
슈마커|L산곡점(가)|126.704074|37.5050126|슈마커|070-4918-1385||경기 김포시 고촌읍 신곡리 388-18|||||||슈마커 L산곡점(가)|1층 외솔|||91002
슈마커|E부평점|126.725213|37.5165388|슈마커|032-330-2810||인천 부평구 갈산동 171|직영점||||||슈마커 E부평점||||91002
슈마커|L안성점(가)|127.199517|37.0078757|슈마커|031-657-5478||경기 안성시 공도읍 양기리 산2-13|||||||슈마커 L안성점(가)|롯데마트 1층|||91002
슈마커|L안산점(가)|126.848697|37.3168040|슈마커|031-401-2641||경기 안산시 상록구 성포동 590|||||||슈마커 L안산점(가)||||91002
