##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@스무디킹
스무디킹|평택미8군사령부점|||스무디킹||경기 평택시 팽성읍 안정순환로 118||베이커리;주차||||||스무디킹 평택미8군사령부점|캠프험프리스 내 미8군사령부 1층|||80718
스무디킹|영종대교휴게소점|||스무디킹|032-560-6400|인천 서구 정서진남로 25||주차||||||스무디킹 영종대교휴게소점|영종대교휴게소 2층 전망카페 옆|||80718
스무디킹|이대ECC점|||스무디킹|02-312-6287|서울특별시 서대문구 이화여대길 52||주차||||||스무디킹 이대ECC점|이화캠퍼스복합단지 지하4층|||80718
스무디킹|이마트금정점|||스무디킹|051-583-0929|부산 금정구 중앙대로 1841번길 24||베이커리;좌석;주차||||||스무디킹 이마트금정점|이마트 2층 셀렉더테이블|||80718
스무디킹|이마트가든파이브점|||스무디킹|02-400-4456||서울시 송파구 문정동 628|좌석;주차||||||스무디킹 이마트가든파이브점|가든파이브툴 (이마트가든파이브점 B1층) 푸드코트내 스무디킹|||80718
스무디킹|송도트리플스트리트점|||스무디킹|032-310-9622|인천 연수구 송도과학로 16번길 33-4||베이커리;좌석;주차||||||스무디킹 송도트리플스트리트점|D동 지상1층 118호|||80718
스무디킹|송파파크하비오점|||스무디킹|02-400-0428|서울 송파구 송파대로 111.||베이커리;좌석;주차||||||스무디킹 송파파크하비오점|워터파크로 202동 B115호 스무디킹|||80718
스무디킹|이마트죽전점|||스무디킹|031-897-1055|경기 용인시 수지구 포은대로 552||베이커리;좌석;주차;근거리 무료배달||||||스무디킹 이마트죽전점|1층|||80718
스무디킹|신세계마산점|||스무디킹|055-240-1942|경남 창원시 마산합포구 합포로 251||베이커리;좌석;주차||||||스무디킹 신세계마산점|지하1층 스무디킹|||80718
스무디킹|이마트광교점|||스무디킹|031-216-8064|경기 수원시 영통구 광교로 191||베이커리;좌석;주차||||||스무디킹 이마트광교점|2층|||80718
스무디킹|대구이월드점|||스무디킹||대구 달서구 두류공원로 200||베이커리;좌석;주차||||||스무디킹 대구이월드점||||80718
스무디킹|대전세이점|||스무디킹|042-222-3788|대전 중구 계백로 1700||베이커리;좌석;주차||||||스무디킹 대전세이점|백화점세이 세이투 5층|||80718
스무디킹|광주기아챔피언스필드점|||스무디킹|062-512-3855|광주 북구 서림로 10||베이커리;주차||||||스무디킹 광주기아챔피언스필드점|3층 3호|||80718
스무디킹|군산에어베이스점|||스무디킹||전북 군산시 옥서면 신동길 2||베이커리;좌석;주차||||||스무디킹 군산에어베이스점|S-1101 (군산에어베이스 피엑스몰) 1층|||80718
스무디킹|김해공항점|||스무디킹|051-0020-0867|부산 강서구 공항진입로 108||베이커리;좌석;주차||||||스무디킹 김해공항점|국내선 3층|||80718
스무디킹|신세계대구점|||스무디킹|053-661-6892|대구 동구 동부로 153||베이커리;좌석;주차||||||스무디킹 신세계대구점|신세계백화점 8층 스무디킹|||80718
스무디킹|신촌점|||스무디킹|02-336-0555|서울 서대문구 연세로 33||베이커리;좌석;배달APP||||||스무디킹 신촌점|1층|||80718
스무디킹|롯데몰은평점|||스무디킹|02-6975-5252|서울 은평구 통일로 1050||베이커리;좌석;주차||||||스무디킹 롯데몰은평점|롯데몰 은평점 2층|||80718
스무디킹|이마트동구미점|||스무디킹|054-471-7333|경북 구미시 이계북로 23||주차||||||스무디킹 이마트동구미점|이마트 내 1층 스무디킹|||80718
스무디킹|구로AK점|||스무디킹|02-856-8046|서울 구로구 구로중앙로 152||좌석;주차||||||스무디킹 구로AK점|4층 스무디킹|||80718
스무디킹|이마트통영점|||스무디킹|055-649-3777|경남 통영시 광도면 죽림4로 9||주차||||||스무디킹 이마트통영점|이마트 내 1층 스무디킹 (푸드홀 입구)|||80718
스무디킹|스타필드하남점|||스무디킹|031-8072-8469|경기 하남시 미사대로 750||베이커리;좌석;주차||||||스무디킹 스타필드하남점|스타필드 3층 스무디킹|||80718
스무디킹|이마트동탄점|||스무디킹|031-613-0113|경기 화성시 동탄중앙로 376||주차||||||스무디킹 이마트동탄점|1층|||80718
스무디킹|신세계김해점|||스무디킹|055-272-1283||경남 김해시 외동 1264|주차||||||스무디킹 신세계김해점|신세계백화점 2층 스무디킹|||80718
스무디킹|부천NC점|||스무디킹|032-624-8385|경기 부천시 원미구 송내대로 239||베이커리;좌석;주차||||||스무디킹 부천NC점|NC백화점 5층 스무디킹|||80718
스무디킹|이마트춘천점|||스무디킹||강원 춘천시 경춘로 2353||주차||||||스무디킹 이마트춘천점|이마트 춘천점 1층 푸드홀 내 스무디킹|||80718
스무디킹|제주노형CGV점|||스무디킹|064-767-4040|제주 제주시 노형로 407||베이커리;좌석;주차||||||스무디킹 제주노형CGV점|노형타워 5층|||80718
스무디킹|전주터미널점|||스무디킹|063-254-3040||전북 전주시 덕진구 금암동 767-2|베이커리;좌석;주차||||||스무디킹 전주터미널점|고속버스터미널 2층|||80718
스무디킹|이마트신제주점|||스무디킹|064-711-1907|제주 제주시 1100로 3348||주차||||||스무디킹 이마트신제주점|이마트 1층|||80718
스무디킹|전주객사CGV점|||스무디킹|063-283-3040||전북 전주시 완산구 고사동 355-1|베이커리;좌석;주차||||||스무디킹 전주객사CGV점|1층|||80718
스무디킹|뉴코아강남점|||스무디킹|02-530-5509|서울 서초구 잠원로 51||좌석;주차||||||스무디킹 뉴코아강남점|뉴코아아웃렛 신관 지하1층|||80718
스무디킹|천안신세계점|||스무디킹|||충남 천안시 동남구 신부동 354-1|주차||||||스무디킹 천안신세계점|신세계백화점 B동 6층|||80718
스무디킹|부산사상롯데시네마점|||스무디킹|051-311-3100||부산 사상구 괘법동 553-1|베이커리;좌석;주차||||||스무디킹 부산사상롯데시네마점|애플아울렛 3층 롯데시네마|||80718
스무디킹|인천신포점|||스무디킹|032-777-9094|인천 중구 신포로 18||베이커리;좌석||||||스무디킹 인천신포점|1층|||80718
스무디킹|목동행복점|||스무디킹|02-6678-3641|서울 양천구 목동동로 309||베이커리;좌석;주차||||||스무디킹 목동행복점|행복한백화점 6층|||80718
스무디킹|부산서면NC점|||스무디킹|051-794-7334||부산 부산진구 전포동 668-1|베이커리;좌석;주차||||||스무디킹 부산서면NC점|NC서면점 6층|||80718
스무디킹|대구Campwalker점|||스무디킹|053-476-9441||대구 남구 봉덕동 Camp Walker 내 Exchange Mall (S-310) |베이커리;좌석||||||스무디킹 대구Campwalker점||||80718
스무디킹|여수학동점|||스무디킹|061-683-8500||전남 여수시 학동 85-1|베이커리;좌석;주차;배달APP||||||스무디킹 여수학동점|1층 스무디킹|||80718
스무디킹|동탄메타CGV점|||스무디킹|031-8015-1533||경기 화성시 반송동 96|베이커리;좌석;주차||||||스무디킹 동탄메타CGV점|메타폴리스 A블럭 3층 CGV|||80718
스무디킹|대전유성CGV점|||스무디킹|042-825-0504||대전 유성구 봉명동 1016-7|주차||||||스무디킹 대전유성CGV점|8 도안센트럴프라자 508호|||80718
스무디킹|김포현대아울렛점|||스무디킹|031-8048-2168|경기 김포시 고촌읍 아라육로 152번길 100||베이커리;좌석;주차||||||스무디킹 김포현대아울렛점|현대프리미엄아울렛1층 168호|||80718
스무디킹|구리인창롯데시네마점|||스무디킹|031-8034-2711||경기 구리시 인창동 419-7|베이커리;주차||||||스무디킹 구리인창롯데시네마점|롯데아울렛 6층|||80718
스무디킹|강남터미널점|||스무디킹|02-599-6595||서울 서초구 반포동 19-4|베이커리;좌석;주차||||||스무디킹 강남터미널점|고속버스터미널 본관1층|||80718
스무디킹|스타필드코엑스점|||스무디킹|02-551-5446|서울 강남구 테헤란로 87길 22||베이커리;좌석;주차;배달APP;근거리 무료배달||||||스무디킹 스타필드코엑스점|지하1층|||80718
스무디킹|롯데월드몰점|||스무디킹|02-3213-4771||서울 송파구 신천동 29|베이커리;좌석;주차;근거리 무료배달||||||스무디킹 롯데월드몰점|롯데월드몰 지하1층|||80718
스무디킹|대전카이스트점|||스무디킹|042-350-0866||대전 유성구 구성동 373-1|베이커리;좌석;주차||||||스무디킹 대전카이스트점|한국과학기술원 응용공학동 1층|||80718
스무디킹|전주CGV점|||스무디킹|070-8821-3040|전북 전주시 완산구 용머리로 45||베이커리;좌석;주차||||||스무디킹 전주CGV점|2층|||80718
스무디킹|을지로입구역점(구/명동메트로점)|||스무디킹|02-771-2235|서울 중구 명동9가길 14||베이커리;좌석;배달APP||||||스무디킹 을지로입구역점(구/명동메트로점)|메트로 호텔 1층|||80718
스무디킹|청주지웰CGV점|||스무디킹|070-8965-9012||청주시 흥덕구 북대동 288-14|베이커리;좌석;주차||||||스무디킹 청주지웰CGV점|지웰시티몰 2차 2층|||80718
스무디킹|야탑CGV점|||스무디킹|031-725-0117|경기 성남시 분당구 성남대로 925번길 16||베이커리;주차||||||스무디킹 야탑CGV점|테마폴리스 지하2층 917호|||80718
스무디킹|이천롯데아울렛점|||스무디킹|031-887-4627|경기 이천시 호법면 프리미엄아울렛로 롯데아울렛 3층 ||좌석;주차||||||스무디킹 이천롯데아울렛점||||80718
스무디킹|울산업스퀘어점|||스무디킹|052-990-5900|울산 남구 화합로 185||베이커리;좌석;주차||||||스무디킹 울산업스퀘어점|울산업스퀘어 5층|||80718
스무디킹|롯데빅마켓도봉점|||스무디킹|02-3492-2477|서울 도봉구 마들로 645||베이커리;좌석;주차||||||스무디킹 롯데빅마켓도봉점|롯데빅마켓 2층|||80718
스무디킹|원주터미널점|||스무디킹||강원 원주시 서원대로 171||베이커리;좌석;주차||||||스무디킹 원주터미널점|1층|||80718
스무디킹|청주비하롯데마트점|||스무디킹|043-235-0220|충북 청주시 흥덕구 2순환로 1004||베이커리;좌석;주차||||||스무디킹 청주비하롯데마트점|롯데아울렛 2층|||80718
스무디킹|대구롯데시네마광장점|||스무디킹|053-524-0779|대구 서구 달구벌대로 1709||베이커리||||||스무디킹 대구롯데시네마광장점|M프라자 4층|||80718
스무디킹|인천스퀘어원점|||스무디킹|032-456-4348|인천 연수구 청능대로 210||베이커리;좌석;주차||||||스무디킹 인천스퀘어원점|인천스퀘어원 3층|||80718
스무디킹|가산마리오아울렛점|||스무디킹|02-2067-2101|서울 금천구 벚꽃로 266||베이커리;좌석;주차||||||스무디킹 가산마리오아울렛점|마리오아울렛 3관 B1층|||80718
스무디킹|중계롯데마트점|||스무디킹|070-8880-1765||서울 노원구 중계동 361|베이커리;주차||||||스무디킹 중계롯데마트점|롯데마트 지하1층|||80718
스무디킹|여의도IFC몰점|||스무디킹|02-6137-5500|서울 영등포구 국제금융로 10||베이커리;좌석;주차;근거리 무료배달||||||스무디킹 여의도IFC몰점|IFC몰 지하1층 151호|||80718
스무디킹|북수원CGV점|||스무디킹|031-207-0117|경기 수원시 장안구 경수대로 950||베이커리;좌석;주차||||||스무디킹 북수원CGV점|패션아울렛 4층 436호|||80718
스무디킹|건대입구롯데시네마점|||스무디킹|02-444-2775|서울 광진구 아차산로 262||베이커리;좌석;주차||||||스무디킹 건대입구롯데시네마점|스타시티 2층|||80718
스무디킹|USAG/DongducheonCasey|||스무디킹|031-866-3395||경기 동두천시 보산동 캠프케이시 S-3007 , 푸드코트 |베이커리||||||스무디킹 USAG/DongducheonCasey||||80718
스무디킹|잠실야구장점|||스무디킹|02-414-3367||서울 송파구 잠실동 10|베이커리;주차||||||스무디킹 잠실야구장점|잠실야구장 제1매표소 2호점|||80718
스무디킹|가산더블유몰점|||스무디킹|02-2081-0982|서울 금천구 디지털로 188||베이커리;주차||||||스무디킹 가산더블유몰점|더블유몰 지하1층|||80718
스무디킹|대전터미널점|||스무디킹|042-626-8881|대전 동구 동서대로 1689||베이커리;좌석;주차||||||스무디킹 대전터미널점|서관 1층 w16호|||80718
스무디킹|대전롯데점|||스무디킹|042-601-3130|대전 서구 계룡로 598||베이커리;주차||||||스무디킹 대전롯데점|10층 롯데시네마|||80718
스무디킹|인천CGV점|||스무디킹|032-422-6048|인천 남동구 예술로 198||베이커리;좌석;주차||||||스무디킹 인천CGV점|SEE&SEE 2층|||80718
스무디킹|파주첼시아울렛점|||스무디킹|031-8071-7427|경기 파주시 탄현면 필승로 200||주차||||||스무디킹 파주첼시아울렛점|신세계프리미엄아울렛 1700호|||80718
스무디킹|강남역점|||스무디킹|02-567-4959|서울 강남구 강남대로 420||베이커리;좌석;배달APP||||||스무디킹 강남역점|1층 (역삼동)|||80718
스무디킹|롯데잠실어드벤처점|||스무디킹|02-411-0529|서울 송파구 올림픽로 240||베이커리;주차||||||스무디킹 롯데잠실어드벤처점|롯데월드어드벤처 2층 (잠실동)|||80718
스무디킹|부산센텀점|||스무디킹|051-745-2648|부산 해운대구 센텀남대로 35||베이커리;좌석;주차||||||스무디킹 부산센텀점|신세계백화점 4층|||80718
스무디킹|부산역사점|||스무디킹|051-442-3310||부산 동구 초량동 1187-3|베이커리;좌석;주차||||||스무디킹 부산역사점|부산역 1층 맞이방|||80718
스무디킹|신도림테크노마트점|||스무디킹|02-2111-8907|서울 구로구 새말로 97||베이커리;좌석;주차||||||스무디킹 신도림테크노마트점|신도림테크노마트 10층 11호|||80718
스무디킹|울산롯데시네마점|||스무디킹|052-960-5010||울산 남구 삼신동 1480-1|베이커리;좌석;주차||||||스무디킹 울산롯데시네마점|롯데시네마 3층|||80718
스무디킹|영등포타임스퀘어점|||스무디킹|02-2638-2650|서울시 영등포구 영중로 15||베이커리;주차;근거리 무료배달||||||스무디킹 영등포타임스퀘어점|영등포타임스퀘어 4층|||80718
스무디킹|용산아이파크몰점|||스무디킹|02-2012-0503|서울 용산구 한강대로 23길 55||베이커리;좌석;주차;배달APP;근거리 무료배달||||||스무디킹 용산아이파크몰점|아이파크몰 서관 5층|||80718
스무디킹|청량리역사점|||스무디킹|02-3707-1376|서울 동대문구 왕산로 214||베이커리;주차;근거리 무료배달||||||스무디킹 청량리역사점|한화청량리역사 3층 315호|||80718
