##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@파리바게뜨
파리바게뜨|태백점|128.9875436|37.1589326|파리바게뜨|033-552-0824|강원 태백시 반딧불길 3||||||||파리바게뜨 태백점|(황지동)|||80801
파리바게뜨|동해묵호점|129.1087041|37.5495741|파리바게뜨|033-535-8202|강원 동해시 발한로 222||||||||파리바게뜨 동해묵호점|(발한동)|||80801
파리바게뜨|강원정선점|128.6636061|37.3803580|파리바게뜨|033-563-0070|강원 정선군 정선읍 봉양6길 30||||||||파리바게뜨 강원정선점||||80801
파리바게뜨|원주시청점|127.9189653|37.3377155|파리바게뜨|033-742-6217|강원 원주시 만대로 89||||||||파리바게뜨 원주시청점|(무실동,무실이편한세상아파트) 무실e편한세상 단지내 상가 106호|||80801
파리바게뜨|원주원동점|127.9402996|37.3411898|파리바게뜨|033-764-0433|강원 원주시 무실로 169||||||||파리바게뜨 원주원동점|(명륜동)|||80801
파리바게뜨|원주청구점|127.9396897|37.3253765|파리바게뜨|033-765-7881|강원 원주시 남원로 441||||||||파리바게뜨 원주청구점|(명륜동,청구아파트)|||80801
파리바게뜨|원주명륜점|127.9431427|37.3330511|파리바게뜨|033-766-0820|강원 원주시 예술관길 13||||||||파리바게뜨 원주명륜점|(명륜동,원주 삼성아파트 상가) 103호|||80801
파리바게뜨|원주1호점|127.9480475|37.3495748|파리바게뜨|033-745-8280|강원 원주시 원일로115번길 5||||||||파리바게뜨 원주1호점|(일산동)|||80801
파리바게뜨|원주삼익점|127.9195750|37.3418070|파리바게뜨|033-743-7584|강원 원주시 행구로 80||||||||파리바게뜨 원주삼익점|(봉산동) 삼익아파트상가107호|||80801
파리바게뜨|원주남부점|127.9544246|37.3424557|파리바게뜨|033-764-8209|강원 원주시 남원로 671||||||||파리바게뜨 원주남부점|(명륜동)|||80801
파리바게뜨|원주무실점|127.9280539|37.3363611|파리바게뜨|033-746-4965|강원 원주시 시청로 84||||||||파리바게뜨 원주무실점|(무실동)|||80801
파리바게뜨|원주이안점|127.9345286|37.3603991|파리바게뜨|033-735-8203|강원 원주시 모란1길 47||||||||파리바게뜨 원주이안점|(단계동)|||80801
파리바게뜨|원주우산점|127.9366802|37.3697184|파리바게뜨|033-732-5359|강원 원주시 우산로 69||||||||파리바게뜨 원주우산점|(우산동)|||80801
파리바게뜨|원주단구점|127.9514954|37.3207092|파리바게뜨|033-743-8295|강원 원주시 단구로 422||||||||파리바게뜨 원주단구점|(단구동) 세경웰러스 아파트상가 101호|||80801
파리바게뜨|원주단관점|127.9560026|37.3221576|파리바게뜨|033-766-4463|강원 원주시 단구로 388||||||||파리바게뜨 원주단관점|(단구동)|||80801
파리바게뜨|원주관설점|127.9615178|37.3149872|파리바게뜨|033-761-8295|강원 원주시 시청로 494-14||||||||파리바게뜨 원주관설점|(관설동)|||80801
파리바게뜨|원주단계점|127.9309121|37.3512399|파리바게뜨|033-748-3720|강원 원주시 백간길 74||||||||파리바게뜨 원주단계점|(단계동) 103,104,106호|||80801
파리바게뜨|원주태장점|127.9478001|37.3844825|파리바게뜨|033-735-8208|강원 원주시 북원로 2700||||||||파리바게뜨 원주태장점|(태장동)|||80801
파리바게뜨|양양점|128.6263486|38.0778381|파리바게뜨|033-671-8254|강원 양양군 양양읍 양양로 17||||||||파리바게뜨 양양점||||80801
파리바게뜨|속초동부점|128.5747903|38.2063938|파리바게뜨|033-633-0459|강원 속초시 미시령로 3361||||||||파리바게뜨 속초동부점|(교동) 동부아파트 101,102호|||80801
파리바게뜨|주문진점|128.8258691|37.8910013|파리바게뜨|033-661-8280|강원 강릉시 주문진읍 주문로 79-1||||||||파리바게뜨 주문진점||||80801
파리바게뜨|간성점|128.4712992|38.3791448|파리바게뜨|033-681-8910|강원 고성군 간성읍 간성로 37-1||||||||파리바게뜨 간성점||||80801
파리바게뜨|속초엑스포점|128.5805097|38.1895565|파리바게뜨|033-633-8339|강원 속초시 동해대로 4147||||||||파리바게뜨 속초엑스포점|(조양동)|||80801
파리바게뜨|문막동화점|127.8293483|37.3237201|파리바게뜨|033-748-8201|강원 원주시 문막읍 왕건로 46||||||||파리바게뜨 문막동화점||||80801
파리바게뜨|인제점|128.1726055|38.0683708|파리바게뜨|033-463-6009|강원 인제군 인제읍 비봉로 9||||||||파리바게뜨 인제점||||80801
파리바게뜨|원통점|128.2041380|38.1246740|파리바게뜨|033-461-9550|강원 인제군 북면 원통로 172||||||||파리바게뜨 원통점||||80801
파리바게뜨|강원둔내점|128.216|37.5124|파리바게뜨|033-345-7412|강원 횡성군 둔내면 둔내로 48||||||||파리바게뜨 강원둔내점||||80801
파리바게뜨|횡성점|127.9864059|37.4897747|파리바게뜨|033-345-0607|강원 횡성군 횡성읍 삼일로 3||||||||파리바게뜨 횡성점||||80801
파리바게뜨|홍천점|127.8842571|37.6901506|파리바게뜨|033-435-0082|강원 홍천군 홍천읍 번영로 35-2||||||||파리바게뜨 홍천점||||80801
파리바게뜨|춘천한림대점|127.7413676|37.8835702|파리바게뜨|033-255-4520|강원 춘천시 삭주로 96||||||||파리바게뜨 춘천한림대점|(후평동)|||80801
파리바게뜨|춘천후평점|127.7513679|37.8774499|파리바게뜨|033-255-8203|강원 춘천시 후석로 293||||||||파리바게뜨 춘천후평점|(후평동)|||80801
파리바게뜨|화천점|127.7061722|38.1048779|파리바게뜨|033-441-0082|강원 화천군 화천읍 중앙로 15||||||||파리바게뜨 화천점||||80801
파리바게뜨|춘천강북점|127.7289152|37.9004114|파리바게뜨|033-253-8277|강원 춘천시 충열로 10-14||||||||파리바게뜨 춘천강북점|(우두동)|||80801
파리바게뜨|화천2호점|127.5213324|38.0715190|파리바게뜨|033-441-4404|강원 화천군 사내면 사내로 40-2||||||||파리바게뜨 화천2호점||||80801
파리바게뜨|춘천명동점|127.7276385|37.8801116|파리바게뜨|033-243-4520|강원 춘천시 금강로 54||||||||파리바게뜨 춘천명동점|(중앙로2가)|||80801
파리바게뜨|춘천강원대점|127.7432908|37.8734405|파리바게뜨|033-241-2210|강원 춘천시 서부대성로 225-1||||||||파리바게뜨 춘천강원대점|(효자동)|||80801
파리바게뜨|춘천포스코점|127.7461926|37.8810381|파리바게뜨|033-257-8205|강원 춘천시 춘천로296번길 3||||||||파리바게뜨 춘천포스코점|(후평동)|||80801
파리바게뜨|김화점|127.4389000|38.2399000|파리바게뜨|033-458-2032|강원 철원군 서면 와수로173번길 17||||||||파리바게뜨 김화점||||80801
파리바게뜨|철원동송점|127.2183134|38.2082393|파리바게뜨|033-455-8211|강원 철원군 동송읍 금학로218번길 1||||||||파리바게뜨 철원동송점||||80801
파리바게뜨|양구점|127.9890799|38.1065897|파리바게뜨|033-482-3030|강원 양구군 양구읍 중앙길 20||||||||파리바게뜨 양구점||||80801
파리바게뜨|춘천석사점|127.7537651|37.8672985|파리바게뜨|033-262-8277|강원 춘천시 후석로186번길 14||||||||파리바게뜨 춘천석사점|(석사동)|||80801
파리바게뜨|춘천에버빌점|127.7443156|37.8518495|파리바게뜨|033-263-0081|강원 춘천시 퇴계농공로 16||||||||파리바게뜨 춘천에버빌점|(석사동) 1층|||80801
파리바게뜨|춘천거두점|127.7611125|37.8478654|파리바게뜨|033-264-0482|강원 춘천시 동내면 춘천순환로 58||||||||파리바게뜨 춘천거두점|메드피아빌딩 110호~111호|||80801
파리바게뜨|남춘천점|127.7240502|37.8595695|파리바게뜨|033-257-0082|강원 춘천시 행촌로 29||||||||파리바게뜨 남춘천점|(퇴계동)|||80801
파리바게뜨|춘천퇴계점|127.7364638|37.8506444|파리바게뜨|033-262-1172|강원 춘천시 안마산로 199||||||||파리바게뜨 춘천퇴계점|(퇴계동) 선우씨티|||80801
파리바게뜨|춘천온의점|127.7163671|37.8666722|파리바게뜨|033-244-8200|강원 춘천시 영서로 2319||||||||파리바게뜨 춘천온의점|(온의동,금호3차아파트) 금호아파트 301동 상가|||80801
파리바게뜨|춘천퇴계주공점|127.7385271|37.8581685|파리바게뜨|033-262-8202|강원 춘천시 후석로 11-7||||||||파리바게뜨 춘천퇴계주공점|(석사동)|||80801
파리바게뜨|춘천만천점|127.7810583|37.9102763|파리바게뜨|033-244-8255|강원 춘천시 동면 만천로 135||||||||파리바게뜨 춘천만천점|벨몽드마트1층|||80801
파리바게뜨|홍천GS수퍼점|127.8836486|37.6883085|파리바게뜨|033-435-7082|강원 홍천군 홍천읍 홍천로 344||||||||파리바게뜨 홍천GS수퍼점||||80801
파리바게뜨|춘천봄내점|127.7433445|37.8563564|파리바게뜨|033-264-8202|강원 춘천시 퇴계로 223||||||||파리바게뜨 춘천봄내점|(석사동)|||80801
파리바게뜨|남춘천역사점|127.7282771|37.8618776|파리바게뜨|033-243-0050|강원 춘천시 남춘로5번길 18-5||||||||파리바게뜨 남춘천역사점|(퇴계동)|||80801
파리바게뜨|정선사북점|128.818|37.2272|파리바게뜨|033-591-7607|강원 정선군 사북읍 사북중앙로 33||||||||파리바게뜨 정선사북점||||80801
파리바게뜨|강원진부점|128.5587445|37.6371434|파리바게뜨|033-332-8280|강원 평창군 진부면 진부중앙로 82||||||||파리바게뜨 강원진부점|제 1호|||80801
파리바게뜨|원주개운점|127.9541686|37.3386138|파리바게뜨|033-763-7556|강원 원주시 개운로 30||||||||파리바게뜨 원주개운점|(개운동,원주개운 휴먼시아 1단지) 제상가동 106호|||80801
파리바게뜨|속초노학점|128.5742150|38.1981736|파리바게뜨|02-0000-0000|강원 속초시 동해대로 4270||||||||파리바게뜨 속초노학점|(교동)|||80801
파리바게뜨|속초중앙로점|128.5898358|38.2027360|파리바게뜨|02-0000-0000|강원 속초시 중앙로 125-1||||||||파리바게뜨 속초중앙로점|(금호동)|||80801
파리바게뜨|원주반곡점|127.9641771|37.3374087|파리바게뜨|033-746-8747|강원 원주시 늘품로 187-58||||||||파리바게뜨 원주반곡점|(단구동)|||80801
파리바게뜨|동해천곡점|129.1067572|37.5251426|파리바게뜨|033-532-0624|강원 동해시 천곡로 14||||||||파리바게뜨 동해천곡점|(천곡동)|||80801
파리바게뜨|속초현대점|128.5772891|38.2082652|파리바게뜨|033-631-9626|강원 속초시 미시령로 3395||||||||파리바게뜨 속초현대점|(교동) 현대프라자 1층 131호|||80801
파리바게뜨|무실휴먼시아점|127.9322988|37.3375356|파리바게뜨|033-748-0822|강원 원주시 무실본동길 2||||||||파리바게뜨 무실휴먼시아점|(무실동)|||80801
파리바게뜨|동해북삼점|129.1091947|37.4927810|파리바게뜨|033-521-4997|강원 동해시 효자로 687||||||||파리바게뜨 동해북삼점|(효가동)|||80801
파리바게뜨|거진점|126.9738687|37.3882343|파리바게뜨|033-682-2316|강원 고성군 거진읍 거진길 40||||||||파리바게뜨 거진점||||80801
파리바게뜨|강릉솔올점|128.8791179|37.7682821|파리바게뜨|033-641-0884|강원 강릉시 솔올로 74||||||||파리바게뜨 강릉솔올점|(교동)|||80801
파리바게뜨|원주터미널점|127.9297992|37.3445021|파리바게뜨|033-745-1273|강원 원주시 서원대로 163||||||||파리바게뜨 원주터미널점|(단계동)|||80801
파리바게뜨|태백장성점|129.0098864|37.1018430|파리바게뜨|033-581-3131|강원 태백시 장성로 35-2||||||||파리바게뜨 태백장성점|(장성동)|||80801
파리바게뜨|춘천신성점|127.7203401|37.8722748|파리바게뜨|033-261-6358|강원 춘천시 공지로439번길 24||||||||파리바게뜨 춘천신성점|(근화동)|||80801
파리바게뜨|영월행복점|128.4581453|37.1786517|파리바게뜨|033-374-2345|강원 영월군 영월읍 하송로 126||||||||파리바게뜨 영월행복점||||80801
파리바게뜨|동해평릉점|129.1141818|37.5328194|파리바게뜨|033-535-8289|강원 동해시 평원1길 132||||||||파리바게뜨 동해평릉점|(평릉동)|||80801
파리바게뜨|춘천장학점|127.7537979|37.8948581|파리바게뜨|033-253-0082|강원 춘천시 동면 춘천로449번길 30||||||||파리바게뜨 춘천장학점||||80801
파리바게뜨|신철원터미널점|127.3085551|38.1452034|파리바게뜨|033-452-8240|강원 철원군 갈말읍 삼부연로 5||||||||파리바게뜨 신철원터미널점||||80801
파리바게뜨|원주시범점|127.9487216|37.3308489|파리바게뜨|033-765-8288|강원 원주시 서원대로 396||||||||파리바게뜨 원주시범점|(단구동)|||80801
파리바게뜨|속초대포항점|128.6055535|38.1742494|파리바게뜨|033-638-5582|강원 속초시 대포항길 10||||||||파리바게뜨 속초대포항점|(대포동) 108,109호|||80801
파리바게뜨|원주무실세영점|127.9272809|37.3296776|파리바게뜨|033-745-8230|강원 원주시 무실로 382||||||||파리바게뜨 원주무실세영점|(무실동,세영리첼1차아파트) 리첼세영아파트 단지내 상가 101호|||80801
파리바게뜨|원주혁신도시점|127.9800289|37.3235332|파리바게뜨|033-742-7770|강원 원주시 혁신로 53||||||||파리바게뜨 원주혁신도시점|(반곡동)|||80801
파리바게뜨|삼척도계점|129.0466201|37.2372433|파리바게뜨|033-541-8242|강원 삼척시 도계읍 도계우회로2길 8||||||||파리바게뜨 삼척도계점|(새롬아파트) 새롬아파트 상가 4호|||80801
파리바게뜨|동해천곡중앙점|129.1191506|37.5148946|파리바게뜨|033-535-8888|강원 동해시 중앙로 150||||||||파리바게뜨 동해천곡중앙점|(천곡동)|||80801
파리바게뜨|원주혁신도시중앙점|127.9841806|37.3262069|파리바게뜨|033-742-0098|강원 원주시 양지로 50||||||||파리바게뜨 원주혁신도시중앙점|(반곡동) 대준빌딩 1층 107호|||80801
파리바게뜨|휘닉스파크점|128.3273441|37.5812806|파리바게뜨|033-3306-6349|강원 평창군 봉평면 태기로 174||||||||파리바게뜨 휘닉스파크점|센터프라자 1층|||80801
파리바게뜨|속초조양점|128.5922577|38.1870615|파리바게뜨|033-636-0459|강원 속초시 선사로 1||||||||파리바게뜨 속초조양점|(조양동)|||80801
파리바게뜨|원주공군비행단점|127.9660434|37.4260217|파리바게뜨|033-748-4998|강원 원주시 소초면 북원로 3200||||||||파리바게뜨 원주공군비행단점|소초면 의관리 542-8|||80801
파리바게뜨|횡성축협하나로점|127.9814818|37.4839294|파리바게뜨|033-340-6096|강원 횡성군 횡성읍 횡성로 337||||||||파리바게뜨 횡성축협하나로점|횡성축협하나로마트 본점 1층|||80801
파리바게뜨|횡계점|128.706971|37.6723987|파리바게뜨|033-332-0482|강원 평창군 대관령면 대관령로 98||||||||파리바게뜨 횡계점|1층 파리바게뜨|||80801
파리바게뜨|홍천연봉점|127.87|37.68|파리바게뜨|033-432-2049|강원 홍천군 홍천읍 연봉로 33||||||||파리바게뜨 홍천연봉점||||80801
파리바게뜨|이천터미널점|127.4466124|37.2786705|파리바게뜨|031-632-0458|경기 이천시 이섭대천로 1213||||||||파리바게뜨 이천터미널점|(창전동)|||80801
파리바게뜨|여주가남점|127.5464898|37.2031804|파리바게뜨|031-883-8202|경기 여주시 가남읍 태평로 24||||||||파리바게뜨 여주가남점||||80801
파리바게뜨|여주터미널점|127.6354841|37.2910335|파리바게뜨|031-886-8188||경기 여주시 세종로 75|||||||파리바게뜨 여주터미널점|(홍문동)|||80801
파리바게뜨|이천하이닉스점|127.4868931|37.2837136|파리바게뜨|031-637-8842|경기 이천시 부발읍 경충대로 2106||||||||파리바게뜨 이천하이닉스점||||80801
파리바게뜨|여주오학점|127.6421358|37.3075789|파리바게뜨|031-886-9003|경기 여주시 도예로 52||||||||파리바게뜨 여주오학점|(현암동)|||80801
파리바게뜨|이천농협점|127.4487776|37.2813774|파리바게뜨|031-631-0095|경기 이천시 영창로 235||||||||파리바게뜨 이천농협점|(창전동)|||80801
파리바게뜨|이천창전점|127.4439043|37.2814007|파리바게뜨|031-636-0895|경기 이천시 영창로 191||||||||파리바게뜨 이천창전점|(창전동)|||80801
파리바게뜨|이천송정점|127.4385311|37.2975573|파리바게뜨|031-631-0546|경기 이천시 증신로291번길 34||||||||파리바게뜨 이천송정점|(송정동)|||80801
파리바게뜨|이천증포점|127.4556508|37.2939053|파리바게뜨|031-634-7442|경기 이천시 이섭대천로 1411||||||||파리바게뜨 이천증포점|(증포동) 흥인프라자 103호|||80801
파리바게뜨|이천신하점|127.4868931|37.2837136|파리바게뜨|031-637-8200|경기 이천시 부발읍 대산로 475||||||||파리바게뜨 이천신하점||||80801
파리바게뜨|이천설봉점|127.4392480|37.2815552|파리바게뜨|031-637-0092|경기 이천시 중리천로13번길 21||||||||파리바게뜨 이천설봉점|(관고동)|||80801
파리바게뜨|여주점|127.6369207|37.2956626|파리바게뜨|031-881-0890||경기 여주시 세종로 23|||||||파리바게뜨 여주점|(홍문동)|||80801
파리바게뜨|하남진모루점|127.2063794|37.5401277|파리바게뜨|031-795-8585|경기 하남시 신평로 76-1||||||||파리바게뜨 하남진모루점|(신장동)|||80801
파리바게뜨|아름탑점|127.1221941|37.4057681|파리바게뜨|031-707-0470|경기 성남시 분당구 판교로 435||||||||파리바게뜨 아름탑점|(야탑동) 동양프라자 106,7호 동양프라자 106,7호|||80801
파리바게뜨|분당하탑점|127.1266897|37.4051173|파리바게뜨|031-702-0310|경기 성남시 분당구 판교로 476||||||||파리바게뜨 분당하탑점|(이매동)|||80801
파리바게뜨|정든마을점|127.1202445|37.3627759|파리바게뜨|031-715-0595|경기 성남시 분당구 정자로 144||||||||파리바게뜨 정든마을점|(정자동,정든마을우성4단지아파트) 우성상가107호|||80801
파리바게뜨|하얀마을점|127.1118136|37.3456167|파리바게뜨|031-713-8206|경기 성남시 분당구 미금일로 71||||||||파리바게뜨 하얀마을점|(구미동)|||80801
파리바게뜨|분당장안타운점|127.1397725|37.3717547|파리바게뜨|031-704-0459|경기 성남시 분당구 분당로263번길 35||||||||파리바게뜨 분당장안타운점|(서현동) 서현굿모닝프라자 101호|||80801
파리바게뜨|분당이매점|127.1263879|37.3909992|파리바게뜨|031-706-0405|경기 성남시 분당구 양현로94번길 21||||||||파리바게뜨 분당이매점|(이매동) 분당코아1층 108호|||80801
파리바게뜨|분당정자점|127.1144769|37.3628811|파리바게뜨|031-718-9911|경기 성남시 분당구 내정로 29||||||||파리바게뜨 분당정자점|(정자동) 금곡프라자 103호|||80801
파리바게뜨|분당오리점|127.1094328|37.3383944|파리바게뜨|031-716-2600|경기 성남시 분당구 성남대로 30||||||||파리바게뜨 분당오리점|(구미동) 동아그린프라자 102호|||80801
파리바게뜨|분당구미점|127.1165500|37.3378407|파리바게뜨|031-717-8426|경기 성남시 분당구 미금로 48||||||||파리바게뜨 분당구미점|(구미동)|||80801
파리바게뜨|미금샤르망점|127.1073837|37.3503912|파리바게뜨|031-605-7007|경기 성남시 분당구 돌마로 47||||||||파리바게뜨 미금샤르망점|(금곡동) 이코노샤르망 109호|||80801
파리바게뜨|분당수내점|127.1157447|37.3791890|파리바게뜨|031-717-8215|경기 성남시 분당구 황새울로258번길 36||||||||파리바게뜨 분당수내점|(수내동) 광진프라자 105호|||80801
파리바게뜨|분당쉐르빌점|127.1070026|37.3590986|파리바게뜨|031-716-8215|경기 성남시 분당구 정자일로 100||||||||파리바게뜨 분당쉐르빌점|(정자동,미켈란쉐르빌) 미켈란쉐르빌 112호|||80801
파리바게뜨|하남에코점|127.2104200|37.5402532|파리바게뜨|031-793-8207|경기 하남시 하남대로 784||||||||파리바게뜨 하남에코점|(신장동)|||80801
파리바게뜨|하남사랑점|127.2214415|37.5408824|파리바게뜨|031-796-0660|경기 하남시 대청로 77||||||||파리바게뜨 하남사랑점|(신장동) 대명강변타운 아파트상가 1층|||80801
파리바게뜨|하남풍산점|127.2096547|37.5474658|파리바게뜨|031-794-8245|경기 하남시 덕풍남로 14||||||||파리바게뜨 하남풍산점|(덕풍동)|||80801
파리바게뜨|분당한솔점|127.1144226|37.3688575|파리바게뜨|031-711-8247|경기 성남시 분당구 느티로87번길 2||||||||파리바게뜨 분당한솔점|(정자동)|||80801
파리바게뜨|분당미금점|127.1095381|37.3496478|파리바게뜨|031-719-8943|경기 성남시 분당구 돌마로 68||||||||파리바게뜨 분당미금점|(구미동) 분당프라자 1층 113-1호|||80801
파리바게뜨|산성역점|127.1500755|37.4548062|파리바게뜨|031-731-8244|경기 성남시 수정구 수정로 350||||||||파리바게뜨 산성역점|(산성동)|||80801
파리바게뜨|분당파크타운점|127.1199747|37.3736875|파리바게뜨|031-714-3884|경기 성남시 분당구 내정로 172||||||||파리바게뜨 분당파크타운점|(수내동)|||80801
파리바게뜨|분당제생병원점|127.1228670|37.3879170|파리바게뜨|031-703-9799|경기 성남시 분당구 서현로180번길 13||||||||파리바게뜨 분당제생병원점|(서현동)|||80801
파리바게뜨|성남오복점|127.1658474|37.4503761|파리바게뜨|031-733-8205|경기 성남시 중원구 금빛로 97||||||||파리바게뜨 성남오복점|(금광동)|||80801
파리바게뜨|분당샤모니점|127.1272999|37.4116102|파리바게뜨|031-705-5494|경기 성남시 분당구 야탑로69번길 24-6||||||||파리바게뜨 분당샤모니점|(야탑동) 두만프라자 106호|||80801
파리바게뜨|분당시범점|127.1328786|37.3777439|파리바게뜨|031-704-8251|경기 성남시 분당구 돌마로 481||||||||파리바게뜨 분당시범점|(서현동) 우성프라자 105-2|||80801
파리바게뜨|분당효자촌점|127.1363991|37.3743606|파리바게뜨|031-701-8258|경기 성남시 분당구 불정로 379||||||||파리바게뜨 분당효자촌점|(서현동)|||80801
파리바게뜨|성남중앙점|127.1614923|37.4543043|파리바게뜨|031-745-2121|경기 성남시 중원구 산성대로 480||||||||파리바게뜨 성남중앙점|(은행동)|||80801
파리바게뜨|태평오거리점|127.1341917|37.4459118|파리바게뜨|031-756-8205|경기 성남시 수정구 남문로 66||||||||파리바게뜨 태평오거리점|(태평동)|||80801
파리바게뜨|수진역점|127.1403198|37.4377760|파리바게뜨|031-755-8202|경기 성남시 수정구 산성대로 203||||||||파리바게뜨 수진역점|(수진동)|||80801
파리바게뜨|성남도촌점|127.1506319|37.4145225|파리바게뜨|031-721-8260|경기 성남시 중원구 도촌남로 27||||||||파리바게뜨 성남도촌점|(도촌동) 동강프라자 107,8호|||80801
파리바게뜨|광주퇴촌점|127.3075824|37.4707624|파리바게뜨|031-764-0094|경기 광주시 퇴촌면 광동로 43||||||||파리바게뜨 광주퇴촌점|1층|||80801
파리바게뜨|성남금광점|127.1616058|37.4454441|파리바게뜨|031-744-8254|경기 성남시 중원구 광명로323번길 3||||||||파리바게뜨 성남금광점|(금광동)|||80801
파리바게뜨|성남시청점|127.1388446|37.4427883|파리바게뜨|031-758-3596|경기 성남시 수정구 수정로 170||||||||파리바게뜨 성남시청점|(신흥동)|||80801
파리바게뜨|모란역점|127.1295868|37.4318182|파리바게뜨|031-757-8478|경기 성남시 중원구 성남대로 1144||||||||파리바게뜨 모란역점|(성남동)|||80801
파리바게뜨|성남수진점|127.1316884|37.4406517|파리바게뜨|031-758-8504|경기 성남시 수정구 제일로 159||||||||파리바게뜨 성남수진점|(수진동)|||80801
파리바게뜨|테크노파크점|127.1777203|37.4400356|파리바게뜨|031-776-0094|경기 성남시 중원구 사기막골로 124||||||||파리바게뜨 테크노파크점|(상대원동) SKn테크노파크 넥스센터동 102호|||80801
파리바게뜨|성남신흥점|127.1469450|37.4411690|파리바게뜨|031-746-0716|경기 성남시 수정구 산성대로 269||||||||파리바게뜨 성남신흥점|(신흥동)|||80801
파리바게뜨|성남공단점|127.1646064|37.4331269|파리바게뜨|031-731-8209|경기 성남시 중원구 둔촌대로 429||||||||파리바게뜨 성남공단점|(상대원동)|||80801
파리바게뜨|성남대로점|127.1288950|37.4362586|파리바게뜨|031-758-5678|경기 성남시 수정구 산성대로93번길 25||||||||파리바게뜨 성남대로점|(수진동,밀란체2)|||80801
파리바게뜨|상대원점|127.1579350|37.4369350|파리바게뜨|031-747-1314|경기 성남시 중원구 희망로 347||||||||파리바게뜨 상대원점|(상대원동)|||80801
파리바게뜨|곤지암점|127.3388770|37.3496698|파리바게뜨|031-763-1986|경기 광주시 곤지암읍 곤지암로 70-3||||||||파리바게뜨 곤지암점||||80801
파리바게뜨|광주경안점|127.2586430|37.4093155|파리바게뜨|031-764-8200|경기 광주시 중앙로 106||||||||파리바게뜨 광주경안점|(경안동)|||80801
파리바게뜨|광주양벌리점|127.2550180|37.3786714|파리바게뜨|031-766-3005|경기 광주시 오포읍 양벌로 199||||||||파리바게뜨 광주양벌리점||||80801
파리바게뜨|광주탄벌점|127.2475092|37.4158473|파리바게뜨|031-797-0160|경기 광주시 벌원길 61||||||||파리바게뜨 광주탄벌점|(탄벌동)|||80801
파리바게뜨|곤지암IC점|127.3523376|37.3510136|파리바게뜨|031-769-9397|경기 광주시 곤지암읍 평촌길 31-10||||||||파리바게뜨 곤지암IC점||||80801
파리바게뜨|광주태전점|127.2286679|37.3890514|파리바게뜨|031-767-7711|경기 광주시 태봉로 48||||||||파리바게뜨 광주태전점|(태전동)|||80801
