##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@신선설농탕
신선설농탕|연신내역점|||신선설농탕|02-359-8885||서울 은평구 갈현동 395-2||24시간|||||신선설농탕 연신내역점|1층|||81025
신선설농탕|영등포점|||신선설농탕|02-2679-5633||서울 영등포구 영등포동3가 6||24시간|||||신선설농탕 영등포점||||81025
신선설농탕|의정부점|||신선설농탕|031-851-4433||경기 의정부시 신곡동 761-5||24시간|||||신선설농탕 의정부점||||81025
신선설농탕|이태원본점|||신선설농탕|02-793-8833|서울 용산구 이태원로 254|||24시간|||||신선설농탕 이태원본점|1층 지하1층|||81025
신선설농탕|일산백석점|||신선설농탕|031-901-3231||경기 고양시 일산동구 백석동 1297-1||24시간|||||신선설농탕 일산백석점||||81025
신선설농탕|자양점|||신선설농탕|02-454-7944||서울 광진구 자양동 766-10||24시간|||||신선설농탕 자양점||||81025
신선설농탕|작전점|||신선설농탕|032-548-5599||인천 계양구 작전동 865-30||24시간(단,일요일24시마감/월요일7시오픈)|||||신선설농탕 작전점||||81025
신선설농탕|정발산점|||신선설농탕|031-907-0025||경기 고양시 일산동구 장항동 847||24시간|||||신선설농탕 정발산점|114호~116호|||81025
신선설농탕|중동/본점|||신선설농탕|032-327-3388||경기 부천시 원미구 중3동 1086||24시간|||||신선설농탕 중동/본점|1086-1|||81025
신선설농탕|천호역점|||신선설농탕|02-2088-8823|서울 강동구 천호대로 1012|||24시간운영|||||신선설농탕 천호역점|태승빌딩 1층|||81025
신선설농탕|청담점|||신선설농탕|02-548-3370||서울 강남구 청담동 124-7||24시간|||||신선설농탕 청담점|청담빌딩 1층,2층|||81025
시화담|파인다이닝|||신선설농탕|02-798-3311|서울 용산구 이태원로 254|||12:00~22:00(break15:00~17:00)|||||시화담 파인다이닝|3층|||81025
신선설농탕|홍대점|||신선설농탕|02-337-6400|서울 마포구 양화로 140|||24시간|||||신선설농탕 홍대점|(서교동)|||81025
신선설농탕|화곡역점|||신선설농탕|02-2693-1600||서울 강서구 화곡동 1074||24시간|||||신선설농탕 화곡역점||||81025
