##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@르꼬끄스포르티브
르꼬끄스포르티브|현대천호점|127.1247559|37.5388484|르꼬끄스포르티브|02-2225-7917||서울 강동구 천호2동 455-8|||||||르꼬끄스포르티브 현대천호점||||91001
르꼬끄스포르티브|NC야탑점|127.12749|37.410644|르꼬끄스포르티브|031-780-3592|경기도 성남시 분당구 야탑로81번길 11||||||||르꼬끄스포르티브 NC야탑점|NC야탑 본관 6F (르꼬끄스포츠)|||91001
르꼬끄스포르티브|현대무역점|127.0597445|37.5086|르꼬끄스포르티브|02-3467-8821||서울 강남구 삼성동 159-7|||||||르꼬끄스포르티브 현대무역점|8층|||91001
르꼬끄스포르티브|롯데강남점|127.0533023|37.4969431|르꼬끄스포르티브|02-531-2722||서울 강남구 대치동 937|||||||르꼬끄스포르티브 롯데강남점|롯데백화점7층|||91001
르꼬끄스포르티브|현대미아점|127.0287313|37.6083769|르꼬끄스포르티브|02-2117-2625||서울 성북구 길음동 20-1|||||||르꼬끄스포르티브 현대미아점||||91001
르꼬끄스포르티브|신세계강남점|127.0036394|37.5043628|르꼬끄스포르티브|02-3479-6234||서울 서초구 반포동 19-3|||||||르꼬끄스포르티브 신세계강남점|신세계강남점 5층|||91001
르꼬끄스포르티브|롯데잠실(신발)점|127.0980427|37.5112793|르꼬끄스포르티브|02-2143-7702||서울 송파구 잠실본동 40-1|||||||르꼬끄스포르티브 롯데잠실(신발)점||||91001
르꼬끄스포르티브|롯데잠실(의류)점|127.0980427|37.5112793|르꼬끄스포르티브|02-2143-7531||서울 송파구 잠실본동 40-1|||||||르꼬끄스포르티브 롯데잠실(의류)점||||91001
르꼬끄스포르티브|노원점|127.0630856885|37.6553891091|르꼬끄스포르티브|02-930-3992|서울특별시 노원구 상계동 노해로 81길 12-4||||||||르꼬끄스포르티브 노원점|(상계동,1층)|||91001
르꼬끄스포르티브|롯데노원점|127.0610983|37.6551499|르꼬끄스포르티브|02-950-2661||서울 노원구 상계동 713|||||||르꼬끄스포르티브 롯데노원점|8층|||91001
르꼬끄스포르티브|롯데미아(신발)점|127.0305324|37.6142324|르꼬끄스포르티브|02-944-2337||서울 강북구 미아동 70-6|||||||르꼬끄스포르티브 롯데미아(신발)점|롯데백화점 5층|||91001
르꼬끄스포르티브|롯데미아(의류)점|127.0305324|37.6142324|르꼬끄스포르티브|02-944-2337||서울 강북구 미아4동 70-6|||||||르꼬끄스포르티브 롯데미아(의류)점|롯데백화점 5층|||91001
르꼬끄스포르티브|롯데스타시티점|127.0711478|37.5387939|르꼬끄스포르티브|02-2218-3817||서울 광진구 자양동 227-342|||||||르꼬끄스포르티브 롯데스타시티점||||91001
르꼬끄스포르티브|엔터식스강변점|127.0958645|37.5357104|르꼬끄스포르티브|02-3424-1722||서울 광진구 구의동 546-4|||||||르꼬끄스포르티브 엔터식스강변점|엔터식스 강변점 1층|||91001
르꼬끄스포르티브|롯데아울렛광명(상설)점|126.8814198473|37.4191474464|르꼬끄스포르티브|02-6226-2384|경기도 광명시 일직로 17||||||||르꼬끄스포르티브 롯데아울렛광명(상설)점|3층 (롯데백화점아울렛)|||91001
르꼬끄스포르티브|롯데영등포(의류)점|126.9063671|37.5156638|르꼬끄스포르티브|02-2630-6844||서울 영등포구 영등포본동 618-496|||||||르꼬끄스포르티브 롯데영등포(의류)점||||91001
르꼬끄스포르티브|롯데영등포(신발)점|126.9063671|37.5156638|르꼬끄스포르티브|02-2630-6844||서울 영등포구 영등포본동 618-496|||||||르꼬끄스포르티브 롯데영등포(신발)점||||91001
르꼬끄스포르티브|신세계영등포점|126.9075234|37.5127088|르꼬끄스포르티브|02--2639-1573||서울 영등포구 영등포동4가 434-5|||||||르꼬끄스포르티브 신세계영등포점|신세계백화점 3층|||91001
르꼬끄스포르티브|롯데관악점|126.9250476|37.490532|르꼬끄스포르티브|02-3289-8530||서울 관악구 봉천동 729-22|||||||르꼬끄스포르티브 롯데관악점||||91001
르꼬끄스포르티브|W-MALL구로(상설)2점|126.8892026611|37.482434956|르꼬끄스포르티브|02-2081-0548||서울 구로구 가리봉동 188|||||||르꼬끄스포르티브 W-MALL구로(상설)2점||||91001
르꼬끄스포르티브|AK구로점|126.8827487|37.5012666|르꼬끄스포르티브|02-6923-2363||서울 구로구 구로동 573|||||||르꼬끄스포르티브 AK구로점|3층|||91001
르꼬끄스포르티브|마리오아울렛(정상)점|126.8917794712|37.4768763179|르꼬끄스포르티브|02-2067-2401||서울 금천구 가산동 60-52|||||||르꼬끄스포르티브 마리오아울렛(정상)점|(디지털로 185)|||91001
르꼬끄스포르티브|현대아울렛가산(정상)점|126.8893655183|37.4762686041|르꼬끄스포르티브|02-2136-9932|서울특별시 금천구 가산동 디지털로10길 9||||||||르꼬끄스포르티브 현대아울렛가산(정상)점|2001 (가산동,5층)|||91001
르꼬끄스포르티브|NC강서점|126.8403480804|37.5599625201|르꼬끄스포르티브|02-2667-9909||서울 강서구 등촌동 689|||||||르꼬끄스포르티브 NC강서점||||91001
르꼬끄스포르티브|롯데김포점|126.8029816|37.5650346|르꼬끄스포르티브|02-6116-3460||서울 강서구 방화동 886|||||||르꼬끄스포르티브 롯데김포점||||91001
르꼬끄스포르티브|현대목동점|126.8750345|37.5268536|르꼬끄스포르티브|02-2163-3578||서울 양천구 목1동 916|||||||르꼬끄스포르티브 현대목동점|현대백화점 1F|||91001
르꼬끄스포르티브|롯데피트인산본점|126.9306670959|37.3578052954|르꼬끄스포르티브|031-8033-1328|경기도 군포시 번영로 485||||||||르꼬끄스포르티브 롯데피트인산본점|5층 (산본동,롯데피트인산본점)|||91001
르꼬끄스포르티브|NC동수원점|127.0345742|37.2667358|르꼬끄스포르티브|031-231-6564|경기도 수원시 팔달구 인계로 154||||||||르꼬끄스포르티브 NC동수원점|NC동수원점 7F|||91001
르꼬끄스포르티브|롯데아울렛광교(정상)점|127.0463722742|37.3036861321|르꼬끄스포르티브|031-8064-2251|경기도 수원시 영통구 도청로 10||||||||르꼬끄스포르티브 롯데아울렛광교(정상)점|롯데아울렛광교점 2F|||91001
르꼬끄스포르티브|AK&기흥점|127.116527|37.274634|르꼬끄스포르티브|031-5186-6568|경기도 용인시 기흥구 기흥역로 63||||||||르꼬끄스포르티브 AK&기흥점|AK&기흥 르꼬끄스포르티브 매장|||91001
르꼬끄스포르티브|롯데아울렛이천(상설)점|127.398838|37.243646|르꼬끄스포르티브|031-887-4731|경기도 이천시 호법면 프리미엄아울렛로 177-74||||||||르꼬끄스포르티브 롯데아울렛이천(상설)점|롯데프리미엄아울렛이천점|||91001
르꼬끄스포르티브|오산2점|127.0660925|37.147|르꼬끄스포르티브|031-373-0086|경기도 오산시 오산로 232||||||||르꼬끄스포르티브 오산2점|(오산동,남촌빌딩)|||91001
르꼬끄스포르티브|강릉점|128.8990284|37.7544322|르꼬끄스포르티브|033-648-0892||강원 강릉시 금학동 4|||||||르꼬끄스포르티브 강릉점||||91001
르꼬끄스포르티브|스퀘어원인천3점|126.6814155|37.4059072|르꼬끄스포르티브|032-456-4242|인천광역시 연수구 청능대로 210||||||||르꼬끄스포르티브 스퀘어원인천3점|스퀘어원 2층|||91001
르꼬끄스포르티브|트리플스트리트직영점|126.6589001|37.3797524|르꼬끄스포르티브|032-310-9571|인천광역시 연수구 송도과학로16번길 33-3||||||||르꼬끄스포르티브 트리플스트리트직영점|C동 1F / 121b호 (송도동)|||91001
르꼬끄스포르티브|현대아울렛송도(상설)점|126.6579189638|37.3816297376|르꼬끄스포르티브|032-727-2457|인천광역시 연수구 송도국제대로 123||||||||르꼬끄스포르티브 현대아울렛송도(상설)점|B1층 (송도동,현대프리미엄아울렛)|||91001
르꼬끄스포르티브|AK원주점|127.934412|37.352632|르꼬끄스포르티브|033-811-5723|강원 원주시 단계동 봉화로 1||||||||르꼬끄스포르티브 AK원주점|(단계동)|||91001
르꼬끄스포르티브|모다인천(상설)점|126.6477250457|37.5099180421|르꼬끄스포르티브|032-288-7705|인천광역시 서구 북항로32번안길 50||||||||르꼬끄스포르티브 모다인천(상설)점|(원창동,모다아울렛 인천점)|||91001
르꼬끄스포르티브|동해점|129.1153027|37.5221585|르꼬끄스포르티브|033-533-9922||강원 동해시 천곡동 863|||||||르꼬끄스포르티브 동해점|현진빌딩 104호|||91001
르꼬끄스포르티브|패션아일랜드대전점|127.4553625|36.3073166|르꼬끄스포르티브|042-280-9202|대전 동구 가오동 은어송로 72||||||||르꼬끄스포르티브 패션아일랜드대전점|(패션아일랜드 2층)|||91001
르꼬끄스포르티브|스타일마켓대전2점|127.4344369|36.3505795|르꼬끄스포르티브|042-615-1437||대전 동구 용전동 54~126 신세계스타일마켓 2층 르꼬끄스포츠 |||||||르꼬끄스포르티브 스타일마켓대전2점||||91001
르꼬끄스포르티브|대전세이점|127.4089631|36.3210118|르꼬끄스포르티브|042-255-2860||대전 중구 문화동 1-16|||||||르꼬끄스포르티브 대전세이점|2층|||91001
르꼬끄스포르티브|갤러리아대전점|127.3836734|36.3538499|르꼬끄스포르티브|042-483-3745||대전 서구 둔산2동 갤러리아타임월드 1036|||||||르꼬끄스포르티브 갤러리아대전점|8층|||91001
르꼬끄스포르티브|롯데대전(의류)점|127.3895613|36.3406292|르꼬끄스포르티브|042-601-2784||대전 서구 괴정동 423-1|||||||르꼬끄스포르티브 롯데대전(의류)점|롯데백화점 7층|||91001
르꼬끄스포르티브|롯데대전(신발)점|127.3895613|36.3406292|르꼬끄스포르티브|042-601-2784||대전 서구 괴정동 423-1|||||||르꼬끄스포르티브 롯데대전(신발)점|롯데백화점 7층|||91001
르꼬끄스포르티브|퍼스트빌리지아산3(상설)점|127.0108849|36.897127|르꼬끄스포르티브|041-536-0696||충청남도 아산시 둔포면 신항리 17-3|||||||르꼬끄스포르티브 퍼스트빌리지아산3(상설)점|퍼스트빌리지 3층|||91001
르꼬끄스포르티브|당진2점|126.6265557|36.8931247|르꼬끄스포르티브|041-357-2889|충청남도 당진시 당진중앙2로 191||||||||르꼬끄스포르티브 당진2점|르꼬끄스포르티브|||91001
르꼬끄스포르티브|신세계충청점|127.163925|36.8254833|르꼬끄스포르티브|041-640-5383||충남 천안시 신부동 야우리백화점 354-1|||||||르꼬끄스포르티브 신세계충청점||||91001
르꼬끄스포르티브|갤러리아센터시티점|127.1048436|36.8005153|르꼬끄스포르티브|041-412-9615||충남 천안시 서북구 불당동 521-3|||||||르꼬끄스포르티브 갤러리아센터시티점||||91001
르꼬끄스포르티브|모다대전(상설)2점|127.331076169|36.3148257991|르꼬끄스포르티브|042-542-6811|대전광역시 유성구 대정로 5||||||||르꼬끄스포르티브 모다대전(상설)2점|모다대전|||91001
르꼬끄스포르티브|서산점|126.455277|36.782138|르꼬끄스포르티브|041-664-0087||충남 서산시 동문동 903-13|||||||르꼬끄스포르티브 서산점||||91001
르꼬끄스포르티브|청주점|127.4889606|36.6341688|르꼬끄스포르티브|043-225-6005||충북 청주시 상당구 북문로1가 194|||||||르꼬끄스포르티브 청주점||||91001
르꼬끄스포르티브|롯데청주영플점|127.4905464|36.6317073|르꼬끄스포르티브|043-219-9243|충북 청주시 상당구 남문로2가 상당로 55||||||||르꼬끄스포르티브 롯데청주영플점|롯데청주 영플라자 4층|||91001
르꼬끄스포르티브|에버세이브청주점|127.431534|36.641475|르꼬끄스포르티브|043-285-1005|충청북도 청주시 흥덕구 미평동 청남로1936번길 2||||||||르꼬끄스포르티브 에버세이브청주점|에버세이브 A동|||91001
르꼬끄스포르티브|현대충청점|127.4578383|36.6446906|르꼬끄스포르티브|043-909-4803||충북 청주시 흥덕구 송정동 현대 유플렉스 |||||||르꼬끄스포르티브 현대충청점||||91001
르꼬끄스포르티브|안동점|128.7302775|36.5650692|르꼬끄스포르티브|054-856-5498|경상북도 안동시 남문로 12||||||||르꼬끄스포르티브 안동점|1층|||91001
르꼬끄스포르티브|충주점|127.9328538|36.9712186|르꼬끄스포르티브|043-856-7576||충북 충주시 성서동 273|||||||르꼬끄스포르티브 충주점|TTC빌딩 내|||91001
르꼬끄스포르티브|제천점|128.2109337|37.1377156|르꼬끄스포르티브|043-647-3560||충북 제천시 중앙로1가 113-3|||||||르꼬끄스포르티브 제천점||||91001
르꼬끄스포르티브|인천신포점|126.6269081|37.4717894|르꼬끄스포르티브|032-764-6000||인천 중구 내동 215-26|||||||르꼬끄스포르티브 인천신포점||||91001
르꼬끄스포르티브|롯데부평점|126.7194482|37.4934026|르꼬끄스포르티브|032-452-2528||인천 부평구 부평1동 70-127|||||||르꼬끄스포르티브 롯데부평점|롯데백화점5층|||91001
르꼬끄스포르티브|아이즈빌부평점|126.7035743|37.5218251|르꼬끄스포르티브|032-330-5003||인천 부평구 청천동 386|||||||르꼬끄스포르티브 아이즈빌부평점||||91001
르꼬끄스포르티브|LF스퀘어연수(상설)점|126.6661587945|37.4250030077|르꼬끄스포르티브|032-717-0699||인천 연수구 청학동 455|||||||르꼬끄스포르티브 LF스퀘어연수(상설)점|2층|||91001
르꼬끄스포르티브|롯데일산점|126.7720291|37.6606966|르꼬끄스포르티브|031-909-3669||경기 고양시 일산동구 장항동 784|||||||르꼬끄스포르티브 롯데일산점|롯데백화점|||91001
르꼬끄스포르티브|롯데아울렛율하2(상설)점|128.6927891|35.8688685|르꼬끄스포르티브|053-960-2796||대구광역시 동구 율하동 1117|||||||르꼬끄스포르티브 롯데아울렛율하2(상설)점|롯데쇼핑프라자 롯데아울렛율하점 2층|||91001
르꼬끄스포르티브|신세계대구점|128.6292378644|35.8779356073|르꼬끄스포르티브|053-661-6564|대구광역시 동구 동부로 149||||||||르꼬끄스포르티브 신세계대구점|대구신세계백화점 6층|||91001
르꼬끄스포르티브|대구칠곡2점|128.5604536|35.9444813|르꼬끄스포르티브|053-321-8989|대구광역시 북구 동암로 90||||||||르꼬끄스포르티브 대구칠곡2점|1층 C102호|||91001
르꼬끄스포르티브|김포장기점|126.6668551|37.6557006|르꼬끄스포르티브|031-998-5494||경기 김포시 장기동 35|||||||르꼬끄스포르티브 김포장기점||||91001
르꼬끄스포르티브|현대중동점|126.7621692|37.504294|르꼬끄스포르티브|032-623-2697||경기 부천시 원미구 중동 1164|||||||르꼬끄스포르티브 현대중동점|6층|||91001
르꼬끄스포르티브|롯데안산점|126.8362588|37.335428|르꼬끄스포르티브|031-412-7943||경기 안산시 단원구 고잔동 12|||||||르꼬끄스포르티브 롯데안산점||||91001
르꼬끄스포르티브|안산중앙점|126.8385939|37.3176824|르꼬끄스포르티브|031-401-9800||경기 안산시 단원구 고잔동 540-14|||||||르꼬끄스포르티브 안산중앙점|경신빌딩 113,114호|||91001
르꼬끄스포르티브|안산한대점|126.8467998|37.3049195|르꼬끄스포르티브|031-415-5122||경기 안산시 상록구 사동 1531-1|||||||르꼬끄스포르티브 안산한대점|114호|||91001
르꼬끄스포르티브|시흥점|126.7793982|37.4419608|르꼬끄스포르티브|031-312-0312||경기 시흥시 신천동 409-13|||||||르꼬끄스포르티브 시흥점||||91001
르꼬끄스포르티브|안양점|126.9259084|37.3989921|르꼬끄스포르티브|031-449-3333|경기 안양시 만안구 안양동 안양로 306||||||||르꼬끄스포르티브 안양점||||91001
르꼬끄스포르티브|롯데평촌(신발)점|126.9504488|37.3902475|르꼬끄스포르티브|031-8086-9528||경기 안양시 동안구 호계동 1039|||||||르꼬끄스포르티브 롯데평촌(신발)점||||91001
르꼬끄스포르티브|롯데평촌(의류)점|126.9504488|37.3902475|르꼬끄스포르티브|031-8086-9521||경기 안양시 동안구 호계동 1039|||||||르꼬끄스포르티브 롯데평촌(의류)점||||91001
르꼬끄스포르티브|롯데수원점|126.9860539|37.2725801|르꼬끄스포르티브|031-8066-0538|경기도 수원시 권선구 서둔동 세화로 124||||||||르꼬끄스포르티브 롯데수원점|(서둔동,롯데백화점수원점5층)|||91001
르꼬끄스포르티브|신선도원몰점|129.356469|35.562677|르꼬끄스포르티브|052-916-0133|울산광역시 북구 진장17길 10||||||||르꼬끄스포르티브 신선도원몰점|(진장동)|||91001
르꼬끄스포르티브|AK수원점|126.999766|37.267186|르꼬끄스포르티브|031-240-1433||경기 수원시 팔달구 매산로1가 애경백화점 |||||||르꼬끄스포르티브 AK수원점||||91001
르꼬끄스포르티브|갤러리아수원점|127.032212|37.2609626|르꼬끄스포르티브|031-548-8840||경기 수원시 팔달구 인계동 1125-1|||||||르꼬끄스포르티브 갤러리아수원점||||91001
르꼬끄스포르티브|엔터식스동탄점|127.0689314|37.2049556|르꼬끄스포르티브|031-371-6968||경기 화성시 반송동 96|||||||르꼬끄스포르티브 엔터식스동탄점|98 메타폴리스 빌딩 A동 1층|||91001
르꼬끄스포르티브|화성봉담점|126.940248|37.200589|르꼬끄스포르티브|031-298-1351|경기 화성시 봉담읍 삼천병마로 1047-10||||||||르꼬끄스포르티브 화성봉담점|B동 104,105호|||91001
르꼬끄스포르티브|수원영통점|127.0761903|37.2667607|르꼬끄스포르티브|031-204-6005||경기 용인시 기흥구 영덕동 517-1|||||||르꼬끄스포르티브 수원영통점|프리미엄 아울렛 제에이동 1층 5호|||91001
르꼬끄스포르티브|신세계경기점|127.1081442|37.3250073|르꼬끄스포르티브|031-695-1848||경기 용인시 수지구 죽전동 1285|||||||르꼬끄스포르티브 신세계경기점|신세계백화점 죽전 6층|||91001
르꼬끄스포르티브|AK평택점|127.0845923|36.9897912|르꼬끄스포르티브|031--646-6681||경기 평택시 평택동 185-1|||||||르꼬끄스포르티브 AK평택점|평택역사 AK플라자|||91001
르꼬끄스포르티브|평택장당점|127.0631|37.0404|르꼬끄스포르티브|031-662-0450|경기 평택시 장당동 경기대로 951||||||||르꼬끄스포르티브 평택장당점||||91001
르꼬끄스포르티브|신세계사이먼기장(상설)점|129.2378192|35.3209527|르꼬끄스포르티브|051-940-1343||부산광역시 기장군 장안읍 좌천리 483-2|||||||르꼬끄스포르티브 신세계사이먼기장(상설)점|신세계사이먼기장|||91001
르꼬끄스포르티브|롯데아울렛동부산(상설)점|129.2104719361|35.1932801788|르꼬끄스포르티브|051-901-2584|부산광역시 기장군 기장읍 기장해안로 147||||||||르꼬끄스포르티브 롯데아울렛동부산(상설)점|(롯데백화점롯데몰2층)|||91001
르꼬끄스포르티브|성남신흥점|127.145480739|37.4405183378|르꼬끄스포르티브|031-733-6611|경기 성남시 수정구 신흥동 산성대로 255||||||||르꼬끄스포르티브 성남신흥점|1층 (신흥동)|||91001
르꼬끄스포르티브|현대판교점|127.1120881618|37.3927935375|르꼬끄스포르티브|031-5170-1543|경기도 성남시 분당구 백현동 판교역로 146번길 20||||||||르꼬끄스포르티브 현대판교점|(백현동)|||91001
르꼬끄스포르티브|AK분당점|127.1260873|37.382903|르꼬끄스포르티브|031-708-9475|경기도 성남시 분당구 서현동 황새울로360번길 42||||||||르꼬끄스포르티브 AK분당점|(서현동)|||91001
르꼬끄스포르티브|롯데분당점|127.114288|37.3784683|르꼬끄스포르티브|031-738-2514||경기 성남시 분당구 수내동 14|||||||르꼬끄스포르티브 롯데분당점|4층|||91001
르꼬끄스포르티브|롯데구리점|127.1390769|37.6329819|르꼬끄스포르티브|031-550-7535||경기 구리시 인창동 261|||||||르꼬끄스포르티브 롯데구리점||||91001
르꼬끄스포르티브|신세계의정부점|127.04615|37.737898|르꼬끄스포르티브|031-8082-0619||경기 의정부시 의정부동 신세계백화점 |||||||르꼬끄스포르티브 신세계의정부점||||91001
르꼬끄스포르티브|LF스퀘어양주(상설)점|127.0512688954|37.8340821309|르꼬끄스포르티브|031-894-2705||경기 양주시 회정동 453-19|||||||르꼬끄스포르티브 LF스퀘어양주(상설)점|브이플러스양주점 3층 르꼬끄매장|||91001
르꼬끄스포르티브|포천2점|127.1350272215|37.8119280495|르꼬끄스포르티브|031-543-9980|경기도 포천시 소흘읍 호국로 440||||||||르꼬끄스포르티브 포천2점||||91001
르꼬끄스포르티브|충장로점|126.9154359|35.1485992|르꼬끄스포르티브|062-236-5880|광주광역시 동구 충장로3가 충장로 76||||||||르꼬끄스포르티브 충장로점||||91001
르꼬끄스포르티브|롯데광주점|126.9120547|35.154825|르꼬끄스포르티브|062-221-1597||광주 동구 대인동 7-1|||||||르꼬끄스포르티브 롯데광주점||||91001
르꼬끄스포르티브|세정광주점|126.8473115|35.1467139|르꼬끄스포르티브|062-370-9132|광주광역시 서구 치평동 세정아울렛 상무대로 773||||||||르꼬끄스포르티브 세정광주점|132호|||91001
르꼬끄스포르티브|신세계광주점|126.8801306|35.1603093|르꼬끄스포르티브|062-360-1224||광주 서구 광천동 49-1|||||||르꼬끄스포르티브 신세계광주점|신세계백화점 6층|||91001
르꼬끄스포르티브|롯데광주월드컵점|126.8772473|35.1333502|르꼬끄스포르티브|062-606-2949||광주 서구 풍암동 423-2|||||||르꼬끄스포르티브 롯데광주월드컵점||||91001
르꼬끄스포르티브|롯데아울렛김해2(상설)점|128.8311|35.1658|르꼬끄스포르티브|055-900-2539|경상남도 김해시 장유로 469||||||||르꼬끄스포르티브 롯데아울렛김해2(상설)점|롯데프리미엄아울렛김해점|||91001
르꼬끄스포르티브|롯데마산점|128.5729709506|35.2015158824|르꼬끄스포르티브|055-240-5480|경상남도 창원시 마산합포구 동서동로 18||||||||르꼬끄스포르티브 롯데마산점|(신포동2가) 롯데백화점|||91001
