##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@배스킨라빈스
배스킨라빈스|원주태장점|||배스킨라빈스|033-731-1532|강원 원주시 북원로 2706|||AM10~PM11|||||배스킨라빈스 원주태장점||||80608
배스킨라빈스|원주중앙점|||배스킨라빈스|033-745-1211|강원 원주시 무실로 3|||AM10~PM11|||||배스킨라빈스 원주중앙점|(일산동)|||80608
배스킨라빈스|원주구곡점|||배스킨라빈스|033-747-2334||강원 원주시 단구동 1511-1||AM10~PM11|||||배스킨라빈스 원주구곡점|스타프라자 103,104호|||80608
배스킨라빈스|원주단관점|||배스킨라빈스|033-766-3123|강원 원주시 단구로 369|||AM10~PM11|||||배스킨라빈스 원주단관점||||80608
배스킨라빈스|원주홈플러스점|||배스킨라빈스|033-761-7731|강원 원주시 치악로 1489|||AM10~PM11|||||배스킨라빈스 원주홈플러스점|(관설동,홈플러스)|||80608
배스킨라빈스|원주혁신점|||배스킨라빈스|033-731-3009||강원 원주시 반곡동 1885-3||AM10~PM11|||||배스킨라빈스 원주혁신점||||80608
배스킨라빈스|강원인제점|||배스킨라빈스|033-461-3111||강원 인제군 인제읍 상동리 295-6||AM10~PM11|||||배스킨라빈스 강원인제점||||80608
배스킨라빈스|철원동송점|||배스킨라빈스|033-455-1555||강원 철원군 동송읍 이평리 680-6||AM10~PM11|||||배스킨라빈스 철원동송점||||80608
배스킨라빈스|철원와수점|||배스킨라빈스|033-458-3132|강원 철원군 서면 와수로146번길 1|||AM10~PM11|||||배스킨라빈스 철원와수점|(와수리)|||80608
배스킨라빈스|춘천이마트점|||배스킨라빈스|033-252-5296|강원 춘천시 경춘로 2341|||AM10~PM10|||||배스킨라빈스 춘천이마트점||||80608
배스킨라빈스|춘천퇴계점|||배스킨라빈스|033-241-3132|강원 춘천시 행촌로 28|||AM10~PM11|||||배스킨라빈스 춘천퇴계점||||80608
배스킨라빈스|춘천석사점|||배스킨라빈스|033-261-7731|강원 춘천시 지석로 75|||AM10~PM11|||||배스킨라빈스 춘천석사점||||80608
배스킨라빈스|춘천명동점|||배스킨라빈스|033-251-3110|강원 춘천시 중앙로 67번길 3|||AM10~PM11|||||배스킨라빈스 춘천명동점||||80608
배스킨라빈스|강원대점|||배스킨라빈스|033-252-0131||강원 춘천시 효자동 628-10||AM10~PM11|||||배스킨라빈스 강원대점||||80608
배스킨라빈스|춘천강북점|||배스킨라빈스|033-251-3171|강원 춘천시 충열로 10-13|||AM10~PM11|||||배스킨라빈스 춘천강북점||||80608
배스킨라빈스|춘천후평점|||배스킨라빈스|033-255-3110|강원 춘천시 후석로 296|||AM10~PM11|||||배스킨라빈스 춘천후평점||||80608
배스킨라빈스|강원태백점|||배스킨라빈스|033-552-5618|강원 태백시 황지로 172|||AM10~PM11|||||배스킨라빈스 강원태백점|(황지동)|||80608
배스킨라빈스|휘닉스평창점|||배스킨라빈스|033-330-6327||강원 평창군 면온리 1089-5||매주화,수요일휴장&#40;~6월말&#41;|||||배스킨라빈스 휘닉스평창점|센터프라자 1층|||80608
배스킨라빈스|평창알펜시아점|||배스킨라빈스|033-339-3131|강원 평창군 대관령면 솔봉로 325|||비시즌기간첫째주목요일,나머지주화요일휴무|||||배스킨라빈스 평창알펜시아점|알펜시아 콘도 101동 R05호|||80608
배스킨라빈스|강원횡계점|||배스킨라빈스|033-335-2453|강원 평창군 대관령면 대관령마루길 7|||AM10~PM11|||||배스킨라빈스 강원횡계점|(횡계리)|||80608
배스킨라빈스|비발디파크점|||배스킨라빈스||강원 홍천군 서면 한치골길 262|||AM10~PM11|||||배스킨라빈스 비발디파크점|(팔봉리)|||80608
배스킨라빈스|홍천중앙로점|||배스킨라빈스|033-434-3159|강원 홍천군 홍천읍 꽃뫼로 99-2|||AM10~PM11|||||배스킨라빈스 홍천중앙로점||||80608
배스킨라빈스|강원화천점|||배스킨라빈스|033-441-3121|강원 화천군 화천읍 중앙로 11|||AM10~PM11|||||배스킨라빈스 강원화천점||||80608
배스킨라빈스|강원횡성점|||배스킨라빈스|033-343-0331|강원 횡성군 횡성읍 문정로 21|||AM10~PM11|||||배스킨라빈스 강원횡성점|(읍하리)|||80608
배스킨라빈스|청평점|||배스킨라빈스|031-584-7502|경기 가평군 청평면 청평중앙로 70|||AM10~PM11|||||배스킨라빈스 청평점|(청평리)|||80608
배스킨라빈스|가평현리점|||배스킨라빈스|031-585-3136|경기 가평군 조종면 조종희망로 14|||AM10~PM11|||||배스킨라빈스 가평현리점|(현리,엄마손해장국)|||80608
배스킨라빈스|가평점|||배스킨라빈스|031-581-8858|경기 가평군 가평읍 가화로 124|||AM10~PM11|||||배스킨라빈스 가평점|(1층1호)|||80608
배스킨라빈스|고양트레이더스점|||배스킨라빈스|02-381-0955|경기 고양시 덕양구 고양대로 1955|||AM10~PM11|||||배스킨라빈스 고양트레이더스점|(동산동,스타필드 고양) B2|||80608
배스킨라빈스|고양원흥점|||배스킨라빈스|031-962-3112||경기 고양시 덕양구 도내동 957||AM10~PM11|||||배스킨라빈스 고양원흥점||||80608
배스킨라빈스|행신서정점|||배스킨라빈스|031-970-9033|경기 고양시 덕양구 중앙로 438|||AM10~PM11|||||배스킨라빈스 행신서정점|(행신동,아름터프라자)|||80608
배스킨라빈스|고양삼송점|||배스킨라빈스|02-371-1141||경기 고양시 덕양구 삼송동 326-2||AM10~PM11|||||배스킨라빈스 고양삼송점||||80608
배스킨라빈스|고양행신역점|||배스킨라빈스|031-978-2056|경기 고양시 덕양구 충장로 18|||AM10~PM11|||||배스킨라빈스 고양행신역점||||80608
배스킨라빈스|고양행신햇빛점|||배스킨라빈스|031-978-3153|경기 고양시 덕양구 중앙로558번길 16-6|||AM10~PM11|||||배스킨라빈스 고양행신햇빛점|(행신동,신일빌딩) 1층|||80608
배스킨라빈스|고양신원마을점|||배스킨라빈스|02-371-3199||경기 고양시 덕양구 신원동 628-2||AM10~PM11|||||배스킨라빈스 고양신원마을점||||80608
배스킨라빈스|고양능곡점|||배스킨라빈스|031-979-8956|경기 고양시 덕양구 지도로 100|||AM10~PM11|||||배스킨라빈스 고양능곡점|(토당동,파워프라자)|||80608
배스킨라빈스|고양화정역점|||배스킨라빈스|031-979-0331|경기 고양시 덕양구 화중로 60|||AM10~PM11|||||배스킨라빈스 고양화정역점|105호|||80608
배스킨라빈스|덕양구청점|||배스킨라빈스|031-966-6277|경기 고양시 덕양구 화중로 126|||AM10~PM11|||||배스킨라빈스 덕양구청점||||80608
배스킨라빈스|일산원당점|||배스킨라빈스|031-967-3100|경기 고양시 덕양구 호국로 792|||AM10~PM11|||||배스킨라빈스 일산원당점||||80608
배스킨라빈스|고양점|||배스킨라빈스|031-962-5223|경기 고양시 덕양구 혜음로 23|||AM10~PM11|||||배스킨라빈스 고양점||||80608
배스킨라빈스|고양관산점|||배스킨라빈스|031-963-3130|경기 고양시 덕양구 통일로 770|||AM10~PM11|||||배스킨라빈스 고양관산점|(관산동)|||80608
배스킨라빈스|고양터미널홈플러스점|||배스킨라빈스|031-936-7679|경기 고양시 일산동구 중앙로 1036|||AM10~PM11|||||배스킨라빈스 고양터미널홈플러스점|홈플러스 지하2층|||80608
배스킨라빈스|일산백석역점|||배스킨라빈스|031-905-6966|경기 고양시 일산동구 일산로 46|||AM10~PM11|||||배스킨라빈스 일산백석역점|남정프라자 106호|||80608
배스킨라빈스|일산백마점|||배스킨라빈스|031-905-3120|경기 고양시 일산동구 강촌로 157|||AM10~PM11|||||배스킨라빈스 일산백마점|104호|||80608
배스킨라빈스|일산식사점|||배스킨라빈스|031-966-3338|경기 고양시 일산동구 위시티2로11번길 45|||AM10~PM11|||||배스킨라빈스 일산식사점|(식사동,위시티일산자이 주상복합)|||80608
배스킨라빈스|고양풍동점|||배스킨라빈스|031-908-3107|경기 고양시 일산동구 숲속마을 1로 71|||AM10~PM11|||||배스킨라빈스 고양풍동점|113호|||80608
배스킨라빈스|일산마두역점|||배스킨라빈스|031-811-0695|경기 고양시 일산동구 중앙로 1172|||AM10~PM11|||||배스킨라빈스 일산마두역점|111호|||80608
배스킨라빈스|일산장항호수점|||배스킨라빈스|031-906-3177|경기 고양시 일산동구 중앙로1261번길 57|||AM10~PM11|||||배스킨라빈스 일산장항호수점|(장항동,대명레이크프라자 1)|||80608
배스킨라빈스|풍산이마트점|||배스킨라빈스|031-975-5587||경기 고양시 일산동구 중산동 1809||AM10~PM11|||||배스킨라빈스 풍산이마트점|이마트 풍산점 1층|||80608
배스킨라빈스|일산라페스타점|||배스킨라빈스|031-912-3132|경기 고양시 일산동구 무궁화로 31-1|||AM10~PM11|||||배스킨라빈스 일산라페스타점|텐폴드프라자 105호|||80608
배스킨라빈스|일산중산점|||배스킨라빈스|031-975-0310|경기 고양시 일산동구 고양대로 739|||AM10~PM11|||||배스킨라빈스 일산중산점|주은프라자 101호|||80608
배스킨라빈스|일산후곡점|||배스킨라빈스|031-911-8231|경기 고양시 일산서구 일산로 530|||AM10~PM11|||||배스킨라빈스 일산후곡점||||80608
배스킨라빈스|일산주엽점|||배스킨라빈스|031-914-4064|경기 고양시 일산서구 중앙로 1444|||AM10~PM11|||||배스킨라빈스 일산주엽점|(주엽동),102호|||80608
배스킨라빈스|후곡사거리점|||배스킨라빈스|031-913-0031|경기 고양시 일산서구 후곡로 22|||AM10~PM11|||||배스킨라빈스 후곡사거리점|101호|||80608
배스킨라빈스|킨텍스현대점|||배스킨라빈스|031-822-3846|경기 고양시 일산서구 호수로 817|||AM10~PM11|||||배스킨라빈스 킨텍스현대점|(대화동,8층일부)|||80608
배스킨라빈스|킨텍스홈플러스점|||배스킨라빈스|031-913-3101|경기 고양시 일산서구 호수로 817|||AM10~PM11|||||배스킨라빈스 킨텍스홈플러스점|홈플러스 지하1층 내|||80608
배스킨라빈스|대화역점|||배스킨라빈스|031-812-1230|경기 고양시 일산서구 중앙로 1568|||AM11~PM24|||||배스킨라빈스 대화역점||||80608
배스킨라빈스|일산탄현0618점|||배스킨라빈스|031-913-9695|경기 고양시 일산서구 일현로 42|||AM10~PM11|||||배스킨라빈스 일산탄현0618점|탄현프라자 101호|||80608
배스킨라빈스|일산대화마을점|||배스킨라빈스|031-923-7731|경기 고양시 일산서구 대화로 124|||AM10~PM11|||||배스킨라빈스 일산대화마을점|(대화동,명성프라자)|||80608
배스킨라빈스|일산가좌점|||배스킨라빈스|031-915-1312|경기 고양시 일산서구 가좌3로 27|||AM10~PM11|||||배스킨라빈스 일산가좌점|103호 (가좌동)|||80608
배스킨라빈스|렛츠런파크점|||배스킨라빈스|02-6006-3276|경기 과천시 경마공원대로 107|||AM10~PM11|||||배스킨라빈스 렛츠런파크점|(주암동,한국마사회)|||80608
배스킨라빈스|과천정부청사역점|||배스킨라빈스|02-507-3243|경기 과천시 별양상가1로 35|||AM10~PM11|||||배스킨라빈스 과천정부청사역점|상아빌딩 104,105호|||80608
배스킨라빈스|광명신촌점|||배스킨라빈스|02-898-6825||경기 광명시 소하동 1364||AM10~PM11|||||배스킨라빈스 광명신촌점||||80608
배스킨라빈스|광명하안점|||배스킨라빈스|02-803-0310|경기 광명시 범안로 1059|||AM10~PM11|||||배스킨라빈스 광명하안점|유창빌딩 101호|||80608
배스킨라빈스|광명소하이마트점|||배스킨라빈스|02-898-3149|경기 광명시 소하로 97|||AM10~PM11|||||배스킨라빈스 광명소하이마트점|이마트 3층|||80608
배스킨라빈스|광명철산로데오점|||배스킨라빈스|02-2625-3137|경기 광명시 오리로 856번길 25|||AM10~PM11|||||배스킨라빈스 광명철산로데오점||||80608
배스킨라빈스|광명철산역점|||배스킨라빈스|02-2625-3138||경기 광명시 철산동 480||AM10~PM11|||||배스킨라빈스 광명철산역점||||80608
배스킨라빈스|광명소하사거리점|||배스킨라빈스|02-6348-3131|경기 광명시 오리로 379|||AM10~PM11|||||배스킨라빈스 광명소하사거리점||||80608
배스킨라빈스|광명사거리점|||배스킨라빈스|02-2686-9995|경기 광명시 광명로 899|||AM10~PM11|||||배스킨라빈스 광명사거리점||||80608
배스킨라빈스|광주신현점|||배스킨라빈스|031-726-9851||경기 광주시 오포읍 신현리 697-4||AM10~PM11|||||배스킨라빈스 광주신현점||||80608
배스킨라빈스|광주태전점|||배스킨라빈스|031-761-5720||경기 광주시 중대동 16-77||AM10~PM11|||||배스킨라빈스 광주태전점||||80608
배스킨라빈스|광주탄벌점|||배스킨라빈스|031-797-9119|경기 광주시 파발로 185|||AM10~PM11|||||배스킨라빈스 광주탄벌점|103 (탄벌동,KJ빌딩)|||80608
배스킨라빈스|광주경안점|||배스킨라빈스|031-764-4949|경기 광주시 중앙로 118-1|||AM10~PM11|||||배스킨라빈스 광주경안점|(경안동)|||80608
배스킨라빈스|광주양벌점|||배스킨라빈스|031-762-9109|경기 광주시 오포읍 양벌로 327|||AM10~PM11|||||배스킨라빈스 광주양벌점|(양벌리)|||80608
배스킨라빈스|곤지암리조트점|||배스킨라빈스|031-8026-5637||경기 광주시 도척면 도웅리 542||일~수PM12~PM8/목~토PM12~PM10|||||배스킨라빈스 곤지암리조트점||||80608
배스킨라빈스|광주곤지암점|||배스킨라빈스|031-797-1652|경기 광주시 곤지암읍 곤지암로 55|||AM10~PM11|||||배스킨라빈스 광주곤지암점|(곤지암리)|||80608
배스킨라빈스|광주휴게소상행점|||배스킨라빈스||경기 광주시 곤지암읍 만삼로 211|||AM10~PM11|||||배스킨라빈스 광주휴게소상행점|(유사리)|||80608
배스킨라빈스|광주휴게소하행점|||배스킨라빈스|||경기 광주시 곤지암읍 삼합리 산27-1||AM10~PM11|||||배스킨라빈스 광주휴게소하행점||||80608
배스킨라빈스|구리토평점|||배스킨라빈스|031-555-5580|경기 구리시 장자대로 74|||AM10~PM11|||||배스킨라빈스 구리토평점||||80608
배스킨라빈스|구리수택점|||배스킨라빈스|031-553-3133|경기 구리시 원수택로 4|||AM10~PM11|||||배스킨라빈스 구리수택점||||80608
배스킨라빈스|구리돌다리점|||배스킨라빈스|031-551-3107|경기 구리시 경춘로 214|||AM10~PM11|||||배스킨라빈스 구리돌다리점|(수택동)|||80608
배스킨라빈스|구리인창점|||배스킨라빈스|031-558-6665|경기 구리시 동구릉로 91|||AM10~PM11|||||배스킨라빈스 구리인창점||||80608
배스킨라빈스|구리등기소점|||배스킨라빈스|031-568-0808|경기 구리시 건원대로 36|||AM10~PM11|||||배스킨라빈스 구리등기소점|(인창동,화성골드프라자)|||80608
배스킨라빈스|구리롯데마트점|||배스킨라빈스|031-554-8889|경기 구리시 동구릉로136번길 57|||AM10~PM11|||||배스킨라빈스 구리롯데마트점|(인창동,1층)|||80608
배스킨라빈스|구리갈매점|||배스킨라빈스|031-528-3255|경기 구리시 갈매중앙로 79|||AM10~PM11|||||배스킨라빈스 구리갈매점|(갈매동)|||80608
배스킨라빈스|산본금정점|||배스킨라빈스|031-395-2323|경기 군포시 군포로 747-1|||AM10~PM11|||||배스킨라빈스 산본금정점||||80608
배스킨라빈스|산본이마트점|||배스킨라빈스|031-396-3155|경기 군포시 산본로 347|||AM10~PM11|||||배스킨라빈스 산본이마트점|3층|||80608
배스킨라빈스|산본중심가점|||배스킨라빈스|031-391-3001|경기 군포시 산본로 323번길 22|||AM10~PM11|||||배스킨라빈스 산본중심가점||||80608
배스킨라빈스|산본백두점|||배스킨라빈스|031-394-5231|경기 군포시 고산로 529|||AM10~PM11|||||배스킨라빈스 산본백두점||||80608
배스킨라빈스|군포당정점|||배스킨라빈스|031-427-3101|경기 군포시 고산로151번길 6|||AM10~PM11|||||배스킨라빈스 군포당정점|(당정동,R&amp;K프라자)|||80608
배스킨라빈스|군포당동점|||배스킨라빈스|031-396-3131|경기 군포시 고산로250번길 1|||AM10~PM11|||||배스킨라빈스 군포당동점||||80608
배스킨라빈스|김포고촌점|||배스킨라빈스|031-997-5313|경기 김포시 고촌읍 김포대로 334-1|||AM10~PM11|||||배스킨라빈스 김포고촌점|(신곡리)|||80608
배스킨라빈스|김포풍무점|||배스킨라빈스|031-982-1525||경기 김포시 풍무동 803||AM10~PM11|||||배스킨라빈스 김포풍무점||||80608
배스킨라빈스|풍무홈플러스점|||배스킨라빈스|031-982-3178|경기 김포시 풍무로 167|||AM10~PM10|||||배스킨라빈스 풍무홈플러스점||||80608
배스킨라빈스|김포사우점|||배스킨라빈스|031-981-8041|경기 김포시 사우중로 45|||AM10~PM11|||||배스킨라빈스 김포사우점||||80608
배스킨라빈스|김포홈플러스점|||배스킨라빈스|031-999-8228|경기 김포시 중봉로 14|||AM10~PM10|||||배스킨라빈스 김포홈플러스점||||80608
배스킨라빈스|김포한강자이점|||배스킨라빈스|031-982-4616|경기 김포시 태장로 804|||AM10~PM11|||||배스킨라빈스 김포한강자이점|(장기동) 자이타워|||80608
배스킨라빈스|김포운양점|||배스킨라빈스|031-989-9097||경기 김포시 운양동 1297-12||AM10~PM11|||||배스킨라빈스 김포운양점||||80608
배스킨라빈스|김포장기점|||배스킨라빈스|031-987-4990|경기 김포시 김포한강4로 113|||AM10~PM11|||||배스킨라빈스 김포장기점||||80608
배스킨라빈스|김포한강점|||배스킨라빈스|031-997-2588||경기 김포시 구래동 6885-2||AM10~PM11|||||배스킨라빈스 김포한강점||||80608
배스킨라빈스|김포통진점|||배스킨라빈스|031-989-8231|경기 김포시 통진읍 서암로 68|||AM10~PM11|||||배스킨라빈스 김포통진점|(마송리)|||80608
배스킨라빈스|남양주다산가운점|||배스킨라빈스|031-554-4753||경기 남양주시 가운동 668-3||AM10~PM11|||||배스킨라빈스 남양주다산가운점||||80608
배스킨라빈스|다산이마트점|||배스킨라빈스|031-556-7882|경기 남양주시 도농로 24|||AM10~PM10|||||배스킨라빈스 다산이마트점|(도농동,부영애시앙) 이마트 다산점 지하1층|||80608
배스킨라빈스|다산법조타운점|||배스킨라빈스|031-554-3131||경기 남양주시 다산동 3198-21||AM10~PM11|||||배스킨라빈스 다산법조타운점||||80608
배스킨라빈스|다산이편한세상점|||배스킨라빈스|031-567-5557||경기 남양주시 다산동 6130||AM10~PM11|||||배스킨라빈스 다산이편한세상점||||80608
배스킨라빈스|다산롯데캐슬점|||배스킨라빈스|031-554-2007||경기 남양주시 다산동 6055||AM10~PM11|||||배스킨라빈스 다산롯데캐슬점||||80608
배스킨라빈스|별내이마트점|||배스킨라빈스|031-572-2999|경기 남양주시 순화궁로 167|||AM10~PM11|||||배스킨라빈스 별내이마트점||||80608
배스킨라빈스|별내신안점|||배스킨라빈스|031-528-5961|경기 남양주시 별내5로5번길 11|||AM10~PM11|||||배스킨라빈스 별내신안점|(별내동,성산 메디컬 타워)|||80608
배스킨라빈스|남양주덕소점|||배스킨라빈스|031-576-0310||경기 남양주시 와부읍 덕소리 473-2||AM10~PM11|||||배스킨라빈스 남양주덕소점||||80608
배스킨라빈스|남양주퇴계원점|||배스킨라빈스|031-572-0058||경기 남양주시 퇴계원면 퇴계원리 281-1||AM10~PM11|||||배스킨라빈스 남양주퇴계원점||||80608
배스킨라빈스|별내북부점|||배스킨라빈스|031-528-2338||경기 남양주시 별내동 826-4||AM10~PM11|||||배스킨라빈스 별내북부점||||80608
배스킨라빈스|남양주진건점|||배스킨라빈스|031-527-3121|경기 남양주시 진건읍 진건오남로 91|||AM10~PM11|||||배스킨라빈스 남양주진건점||||80608
배스킨라빈스|남양주평내점|||배스킨라빈스|031-592-3330|경기 남양주시 경춘로1256번길 6|||AM10~PM11|||||배스킨라빈스 남양주평내점|(평내동,다모아프라자)|||80608
배스킨라빈스|남양주청학점|||배스킨라빈스|031-848-0031|경기 남양주시 별내면 청학로중앙길 9|||AM10~PM11|||||배스킨라빈스 남양주청학점|(청학리,청화빌딩)|||80608
배스킨라빈스|남양주이마트(임시휴점)점|||배스킨라빈스|031-593-3036|경기 남양주시 늘을2로 27|||AM10~PM10|||||배스킨라빈스 남양주이마트(임시휴점)점||||80608
배스킨라빈스|남양주호평점|||배스킨라빈스|031-593-3136|경기 남양주시 늘을2로 20|||AM10~PM11|||||배스킨라빈스 남양주호평점||||80608
배스킨라빈스|남양주오남점|||배스킨라빈스|031-572-3134||경기 남양주시 오남읍 양지리 96||AM10~PM11|||||배스킨라빈스 남양주오남점|양지빌딩 1층|||80608
배스킨라빈스|진접이마트점|||배스킨라빈스|031-529-4535|경기 남양주시 진접읍 금강로유연들1길 154|||AM10~PM10|||||배스킨라빈스 진접이마트점|진접이마트|||80608
배스킨라빈스|남양주장현점|||배스킨라빈스|031-528-0031|경기 남양주시 진접읍 봉현로 32|||AM10~PM11|||||배스킨라빈스 남양주장현점|(장현리)|||80608
배스킨라빈스|남양주진접점|||배스킨라빈스|031-575-3156|경기 남양주시 진접읍 해밀예당3로 61|||AM10~PM11|||||배스킨라빈스 남양주진접점|(금곡리)|||80608
배스킨라빈스|진접홈플러스점|||배스킨라빈스|031-571-7131|경기 남양주시 진접읍 금강로 1447|||AM10~PM11|||||배스킨라빈스 진접홈플러스점||||80608
배스킨라빈스|남양주창현점|||배스킨라빈스|031-591-4240|경기 남양주시 화도읍 창현로 51|||AM10~PM11|||||배스킨라빈스 남양주창현점|1층|||80608
배스킨라빈스|남양주마석점|||배스킨라빈스|031-559-9831|경기 남양주시 화도읍 비룡로 58|||AM10~PM11|||||배스킨라빈스 남양주마석점||||80608
배스킨라빈스|동두천지행점|||배스킨라빈스|031-861-0031|경기 동두천시 지행로 50|||AM10~PM11|||||배스킨라빈스 동두천지행점||||80608
배스킨라빈스|동두천생연점|||배스킨라빈스|031-857-5577||경기 동두천시 생연동 397-1||AM10~PM11|||||배스킨라빈스 동두천생연점||||80608
배스킨라빈스|부천옥길점|||배스킨라빈스|032-344-5577|경기 부천시 옥길로 123|||AM10~PM11|||||배스킨라빈스 부천옥길점|(옥길동,센타프라자)|||80608
배스킨라빈스|부천소사홈플러스점|||배스킨라빈스|032-610-8045|경기 부천시 소사구 경인로 532|||AM10~PM11|||||배스킨라빈스 부천소사홈플러스점||||80608
배스킨라빈스|부천고강점|||배스킨라빈스|032-684-0045|경기 부천시 오정구 역곡로 481|||AM10~PM11|||||배스킨라빈스 부천고강점||||80608
배스킨라빈스|역곡남부점|||배스킨라빈스|032-344-0031|경기 부천시 소사구 경인로 517|||AM10~PM11|||||배스킨라빈스 역곡남부점||||80608
배스킨라빈스|역곡북부점|||배스킨라빈스|032-348-3100|경기 부천시 원미구 역곡로 2|||AM10~PM11|||||배스킨라빈스 역곡북부점||||80608
배스킨라빈스|부천범박점|||배스킨라빈스|032-346-3131|경기 부천시 소사구 범안로 81|||AM10~PM11|||||배스킨라빈스 부천범박점||||80608
배스킨라빈스|부천원종점|||배스킨라빈스|032-678-3171|경기 부천시 오정구 원종로 47|||AM10~PM11|||||배스킨라빈스 부천원종점||||80608
배스킨라빈스|부천여월홈플러스점|||배스킨라빈스|032-679-1084||경기 부천시 오정구 여월동 301||AM10~PM11|||||배스킨라빈스 부천여월홈플러스점||||80608
배스킨라빈스|부천소사점|||배스킨라빈스|032-345-0031||경기 부천시 소사구 소사본동 139-22||AM10~PM11|||||배스킨라빈스 부천소사점|대양프라자 1층|||80608
배스킨라빈스|부천도당점|||배스킨라빈스|032-675-1402|경기 부천시 원미구 삼작로 298|||AM10~PM11|||||배스킨라빈스 부천도당점||||80608
배스킨라빈스|부천심곡점|||배스킨라빈스|032-614-2326||경기도 부천시 원미구 심곡2동 164-1||AM10~PM11|||||배스킨라빈스 부천심곡점||||80608
배스킨라빈스|부천역지하점|||배스킨라빈스|032-613-0310||경기 부천시 원미구 심곡동 316-2||AM10~PM11|||||배스킨라빈스 부천역지하점||||80608
배스킨라빈스|부천오정점|||배스킨라빈스|032-677-0880||경기 부천시 오정구 오정동 725||AM10~PM11|||||배스킨라빈스 부천오정점|오정프라자 108호|||80608
배스킨라빈스|부천역북부점|||배스킨라빈스|032-611-7277|경기 부천시 원미구 부일로 459|||AM10~PM11|||||배스킨라빈스 부천역북부점||||80608
배스킨라빈스|부천중동점|||배스킨라빈스|032-325-0041|경기 부천시 원미구 소향로 248|||AM10~PM11|||||배스킨라빈스 부천중동점||||80608
배스킨라빈스|롯데중동점|||배스킨라빈스|032-320-7045|경기 부천시 원미구 길주로 300|||AM10:30~PM8:30|||||배스킨라빈스 롯데중동점|(중동,롯데백화점중동점)|||80608
배스킨라빈스|부천신흥시장점|||배스킨라빈스|032-676-4266|경기 부천시 원미구 중동로 391|||AM10~PM11|||||배스킨라빈스 부천신흥시장점|(약대동 93-1)|||80608
배스킨라빈스|중동역북부점|||배스킨라빈스|032-666-8831||경기 부천시 원미구 중동 1289-1||AM10~PM11|||||배스킨라빈스 중동역북부점|팰리스카운티아이파크상가12호|||80608
