##NAME|SUBNAME|TELNUM|NEWADDR|WEBSITE|SOURCE2|XCOORD|YCOORD@@갤러리
LIG아트스페이스 한남스튜디오엘 (구 LIG아트스페이스 스튜디오엘)|||서울시 용산구 대사관로11길 30, 수가빌딩 B1|http://www.ligartspace.com|김달진미술연구소|127.00178770000002|37.53484110000001
카라스갤러리||02-6349-0810|서울시 용산구 회나무로13길 34|http://|김달진미술연구소|126.99210170000003|37.5400456
그리고갤러리||070-7570-3760|서울시 용산구 이태원로 54길 16-9 1층 2호|http://www.grigogallery.com|김달진미술연구소|127.00260270000001|37.5372322
갤러리조은||02-790-5889|서울 용산구 이태원로55가길 3 골든너겟빌딩 1F|http://www.galleryjoeun.com|김달진미술연구소|127.00952519999998|37.5333826
갤러리비선재||02-793-5445|서울시 용산구 유엔빌리지3길 54-16|http://www.bisunjae.com|김달진미술연구소|127.01429989999997|37.5358833
스토리지 바이 현대카드||02-2014-7850|서울시 용산구 이태원로 248 지하2층|http://storage.hyundaicard.com|김달진미술연구소|127.00085489999992|37.5367741
갤러리이알디||02-749-0419|서울시 용산구 회나무로 13가길 25-1|http://www.galerieerd.com|김달진미술연구소|126.99093949999997|37.541149
스튜디오콘크리트||02-794-4095|서울시 용산구 한남대로 162|http://www.studio-ccrt.com|김달진미술연구소|127.0024942|37.5424041
갤러리코지&글라스코 (구 송원갤러리)||02-792-1179|서울시 용산구 한남대로10길 58-2|http://|김달진미술연구소|127.00849820000008|37.5328469
필갤러리||02-795-0046|서울시 용산구 유엔빌리지길 24 (한남동 271-5)|http://www.fillgallery.com|김달진미술연구소||
갤러리비케이||02-790-7079|서울시 용산구 대사관로 25|http://www.gallerybk.co.kr|김달진미술연구소|127.00128849999999|37.5369309
비비안초이갤러리||010-4512-8109|서울시 강남구 봉은사로 461 프레스티지 1001|http://vivianchoigallery.modoo.at|김달진미술연구소|127.05008109999994|37.512324
원앤제이플러스원||02-745-1644|서울시 중구 동호로11자길 33, 3F|http://www.oneandj.com|김달진미술연구소|127.00480719999996|37.5506538
페이스갤러리||02-790-9388|서울시 용산구 이태원로 262, 5F|http://www.pacegallery.com|김달진미술연구소|127.00160299999993|37.5378698
가나아트한남||02-720-1020|서울 용산구 대사관로 35 사운즈 한남 13호|http://www.ganaart.com|김달진미술연구소|127.00207460000001|37.5337341
아트딜라이트||02-792-2865|서울시 용산구 회나무로 7, 2F|http://|김달진미술연구소|126.98767599999996|37.5386414
알부스갤러리||02-792-8050|서울시 용산구 한남대로28길 26|http://albusgallery.com|김달진미술연구소|127.00588059999995|37.5381735
한성자동차 드림그림갤러리 용산전시장||02-709-3800|서울시 용산구 청파로 74|http://www.dream-gream.co.kr|김달진미술연구소|126.95961169999998|37.5328642
초이스아트컴퍼니||02-501-2486|-, 서울시 용산구 녹사평대로 168-16|http://www.choiceart.company|김달진미술연구소||
보혜미안갤러리 (保慧美安)||02-790-1222|서울시 용산구 소월로 314|http://bohyemiahn.com|김달진미술연구소||
P21||790-5503|서울 용산구 회나무로 74|http://|김달진미술연구소||
아트모라||02-6954-7310|서울시 용산구 소월로40길 78|http://www.artmora.com|김달진미술연구소||
갤러리SP||02-546-3560|서울시 용산구 회나무로 44가길 30, 1F|http://www.gallerysp.com|김달진미술연구소||
드로잉룸갤러리||02-794-3134|서울시 용산구 이촌로88길 16 미학빌딩 2F|http://www.drawingroom.kr|김달진미술연구소||
갤러리반크||02-797-2858|서울시 용산구 독서당로14길 43-2 3F|http://www.instagram.com/gallery_bank|김달진미술연구소||
라흰갤러리||02-534-2033|서울시 용산구 한강대로 50길 38-7|http://laheengallery.com|김달진미술연구소||
오퍼센트|||서울시 용산구 우사단로10길 90|http://|김달진미술연구소||
휘슬|||-, 서울 용산구 회나무로13길 12 3층|http://|김달진미술연구소||
스팩트럼갤러리||02-6397-2212|서울 용산구 이태원동 211-22|http://www.spectrumgallery.co.kr|김달진미술연구소||
갤러리빙||0507-1308-7234|서울 용산구 회나무로44길 10 라쿠치나건물 지하1층|http://|김달진미술연구소||
BHAK||02-544-8481|서울시 용산구 한남대로 40길 19|http://www.galeriebhak.com|김달진미술연구소||
금호아트갤러리||02-6303-1918|서울시 종로구 신문로1가 57번지 금호빌딩 3F|http://www.kunhoartgallery.com|김달진미술연구소|126.9729652|37.5706220
갤러리코리아||02-774-1366|서울시 중구 태평로 1가 84 서울 파이낸셜빌딩 센터몰 지하3층|http://|김달진미술연구소|126.9788777|37.5685495
이오스갤러리||02-720-1926|서울시 종로구 팔판동 27 - 6  B-1|http://|김달진미술연구소|126.9816657|37.5831848
갤러리예맥||02-720-9912|서울시 광진구 자양동 227-342 C205-2|http://www.galleryyemac.com|김달진미술연구소|127.07108310000001|37.5387765
갤러리브레송||02-2269-2613|서울시 중구 충무로2가 고려빌딩 B1|http://cafe.daum.net/gallerybresson|김달진미술연구소|126.9867799|37.5614050
갤러리편도나무||02-3210-0016|서울시 종로구 사간동 126-1|http://www.pyundonamu.com|김달진미술연구소|126.9798828|37.5763558
갤러리서미(북촌)||02-3675-8232|서울시 종로구 가회동 129-1|http://|김달진미술연구소|126.9839591|37.5797185
스페이스홍지||02-396-0514|서울시 종로구 홍지동 63-1|http://|김달진미술연구소|126.95660999999996|37.6023282
에이원갤러리||02-412-9560|서울시 송파구 송파대로42길 40|http://|김달진미술연구소|127.11136829999998|37.5067252
EBS Space||02-526-2643|서울 강남구 도곡동 463번지 EBS Space 지하철3호선 매봉역|http://www.ebs-space.co.kr|김달진미술연구소|127.0471902|37.4865821
아트윌||02-722-0048|서울시 종로구 관훈동 55-1|http://|김달진미술연구소|126.9850539|37.5743784
사비나미술관||02-736-4371|-, 서울시 은평구 진관동 161-10|http://www.savinamuseum.com|김달진미술연구소|126.92929100000003|37.6298117
백상기념관||02-724-2243|서울시 종로구 송현동 60-1|http://|김달진미술연구소|126.9827737|37.5758068
갤러리피쉬||02-730-3280|서울시 종로구 관훈동 197-28 백상빌딩 1F|http://www.galleryfish.com|김달진미술연구소|126.9852473|37.5729745
갤러리썬&문||02-722-4140|서울시 종로구 관훈동 30-9 청아빌딩 2층|http://www.g-sunnmoon.com|김달진미술연구소|126.9857081|37.5743048
갤러리꿈||02-725-9444|서울시 종로구 인사동 168 고당빌딩 3층|http://www.dreamgallery.org|김달진미술연구소|126.9841484|37.5742805
갤러리아미||02-514-5568|서울시 강남구 청담동 100-17 8층|http://|김달진미술연구소|127.0461012|37.5264970
休갤러리컨템포||02-3444-0640|서울시 강남구 논현동 89-4 한국자수박물관 지하|http://|김달진미술연구소|127.0333102|37.5153588
삼오갤러리 (3ㆍ5갤러리)||02-741-3532|서울시 종로구 봉익동 108 (주)삼오 4층|http://www.3-5tools.co.kr|김달진미술연구소|126.9935361|37.5716317
갤러리시선||02-732-6621|서울시 종로구 관훈동 192-10|http://|김달진미술연구소|126.9845388|37.5735423
유나화랑||02-545-2151|서울시 강남구 청담동 100-14|http://|김달진미술연구소|127.0465260|37.5268095
플러스갤러리||02-557-9286|서울시 강남구 대치동983-10 대경빌딩|http://|김달진미술연구소|127.0660219|37.5024576
가갤러리||02-792-8736|서울시 종로구 원서동 141번지|http://www.gagallery.co.kr|김달진미술연구소|126.9886997|37.5794447
가톨릭화랑||02-360-9193|서울시 중구 중림동 149-2|http://|김달진미술연구소|126.9670169|37.5589521
갤러리동방||02-333-7171|서울시 서대문구 연희동 90-5|http://|김달진미술연구소|126.9317040|37.5693908
갤러리몬티첼로||031-774-9301|경기도 양평군 강하면 전수리 20-2|http://|김달진미술연구소|127.4363937|37.5046359
갤러리버질||031-853-7991|경기도 의정부시 금오동 471-2 해피플러스 601호|http://|김달진미술연구소|127.0684604|37.7517991
갤러리삼성플라자||031-779-3830|경기도 성남시 분당구 서현동 263|http://|김달진미술연구소|127.1231651|37.3850076
갤러리서종||031-774-5530|경기도 양평군 서종면 문호리 370-6|http://|김달진미술연구소|127.3571300|37.6039776
갤러리유하||02-766-6495|서울시 종로구 동숭동 187-8 최가철물점B/D 3F|http://www.lockmuseum.org|김달진미술연구소|127.0046010|37.5797646
갤러리칸지||051-743-1265|부산시 해운대구 중동 1501-17|http://|김달진미술연구소|129.1798476|35.1568755
공간마뫼||02-771-7131|서울시 용산구 두텁바위로60길 74-10|http://mamoi.blog3.fc2.com|김달진미술연구소|126.98338710000007|37.5480844
나은크라프트||02-779-2259|서울시 중구 남대문로5가 395번지 힐튼호텔 1F|http://www.nauncraft.com|김달진미술연구소|126.9754336|37.5554538
롯데월드화랑||02-411-4779|-,|http://|김달진미술연구소||
밀알미술관||02-3412-0061|서울시 강남구 일원로 90|http://www.milalmuseum.or.kr|김달진미술연구소|127.08219059999999|37.4859112
백해영갤러리||02-796-9347/9328|서울시 용산구 이태원1동 101-40 외인주택 54-c|http://www.paikhygallery.com|김달진미술연구소|126.99486660000002|37.5364719
아떼갤러리||031-527-2169|경기도 남양주시 진접읍 팔야리 732-9 수덕빌딩 A동 2층|http://|김달진미술연구소|127.2074336|37.7483032
인아트갤러리||041-576-2423|충남 천안시 쌍용동 1489 로마노빌딩 2층|http://|김달진미술연구소|127.1184686|36.7989369
진흥아트홀||02-2230-5170|서울시 동대문구 신설동 104-7 진흥기독교 문화관 1층|http://www.jharthall.org|김달진미술연구소|127.0242574|37.5740485
혜안갤러리||053-252-3557|대구시 중구 대봉1동 40-123|http://|김달진미술연구소|128.6056102|35.8586101
BNC갤러리||042-488-9696|대전시 서구 둔산동 1109|http://|김달진미술연구소|127.3769928|36.3496574
LMC갤러리||031-921-1214|경기도 고양시 일산구 대화동 2030-5|http://www.lmclc.com|김달진미술연구소|126.7571767|37.6826332
시티갤러리||02-778-9029|서울시 중구 충무로 1가 50-10 회현아케이드 마-14호|http://|김달진미술연구소|126.9826331|37.5610156
아트스페이스 미음||02-722-8897|서울시 종로구 창성동 122-9번지|http://www.mjgallery.co.kr|김달진미술연구소|126.9726626|37.5796261
문갤러리||02-3474-3019|서울시 서초구 서초동 1343-5호 서향빌딩 3층|http://|김달진미술연구소|127.0265788|37.4875494
산정호수산비탈||031-533-3992|경기도 포천군 영북면 산정리 528 (산정호수)|http://www.sanbital.com|김달진미술연구소|127.3040444|38.0707239
필스아트갤러리||02-722-1807|서울시 종로구 필운동 130-1|http://|김달진미술연구소|126.9682969|37.5770138
프로젝트스페이스ZIP||02-3446-1828|서울시 강남구 신사동 534-14|http://|김달진미술연구소|127.0225042|37.5209771
갤러리스클로||02-2236-1582/1583|서울시 중구 다산로16길 29 1F|http://www.gallerysklo.co.kr|김달진미술연구소|127.01343900000006|37.5562171
아트앤아이||02-323-7555|서울시 마포구 서교동 358-91 1층|http://artni.org|김달진미술연구소|126.9229403|37.5527060
해피칼라갤러리||02-389-7779|서울시 은평구 응암동 110-1|http://|김달진미술연구소|126.9207032|37.5999023
영암도기문화센터ㆍ구림마을||061-470-2566|전남 영암군 군서면 서구림리 354|http://www.gurim.org|김달진미술연구소|126.6200396|34.7606877
갤러리마루||02-2252-3900|서울시 중구 신당동 429-14|http://|김달진미술연구소|127.0085833|37.5565855
갤러리펠리치타||02-737-0002|서울시 종로구 효자동 104-1|http://|김달진미술연구소|126.9721231|37.5827146
황진현미술관||02-403-8664|서울시 송파구 마천로 123|http://www.hwangjinhyun.or.kr|김달진미술연구소|127.13339700000006|37.5053382
코리아아트갤러리(서울)||02-565-5871|서울시 강남구 삼성동 159 코엑스 인터컨티넨탈서울 2층|http://|김달진미술연구소|127.0588240|37.5124040
갤러리사디||02-3438-0341|서울 강남구 논현동 보전빌딩|http://www.sadi.net|김달진미술연구소|127.0314868|37.5136915
갤러리다다||011-794-0254|서울시 종로구 사간동 90|http://|김달진미술연구소|126.9800890|37.5776749
유갤러리||02-720-1020|서울시 종로구 관훈동 74|http://|김달진미술연구소|126.9842559|37.5746193
하갤러리||02-597-5971|서울시 서초구 서초동 1599-2 LG에클라트 1821호|http://|김달진미술연구소|127.0145337|37.4867890
갤러리랑||02-583-6958|서울시 종로구 경운동 89-4 SK-HUB B동 204-4호|http://|김달진미술연구소|126.9855621|37.5757217
롯데화랑(광주점)||062-221-1808|광주시 동구 대인동 7-12 광주은행본점 1층|http://www.lotteshopping.com/magazine/gallery/schedule/gallery.jsp|김달진미술연구소|126.9130090|35.1546353
희망갤러리||02-337-8837|서울시 마포구 서교동 358-80|http://|김달진미술연구소|126.9232177|37.5530122
이현갤러리||053-428-2234|대구시 중구 동성로2가 125 (프라이비트 4층)|http://www.leehyungallery.com|김달진미술연구소|128.5947218|35.8685176
예가족갤러리||02-2604-7979|-, 서울시 양천구 신정5동 907-12|http://|김달진미술연구소|126.8596442|37.5256223
비비스페이스||042-862-7954|대전시 유성구 도룡동 395-28|http://|김달진미술연구소|127.3802225|36.3846559
갤러리알트||02-597-5902|서울시 서초구 서초동 1487-3 서초빌딩 B1|http://www.galleryalt.com|김달진미술연구소|127.0064067|37.4828005
갤러리미호||02-723-8875|서울시 종로구 관훈동 74|http://|김달진미술연구소|126.9842559|37.5746193
갤러리미맥||02-379-7356|서울시 종로구 신영동 72-7 소정빌딩 2층|http://|김달진미술연구소|126.9627303|37.6035319
충무아트센터갤러리(전 충무아트홀갤러리)||02-2230-6722|서울시 중구 퇴계로 387 (재)중구문화재단 충무아트홀|http://www.caci.or.kr|김달진미술연구소|127.01481309999997|37.5660139
국립현대미술관 창작스튜디오 창동.고양||창동02-995-0995|서울시 도봉구 창동 601-107 (창동)|http://www.artstudio.or.kr|김달진미술연구소|127.0393640|37.6406895
치우금속공예관(유리지공예관으로 명칭변경)||02-578-6663|-, 서울시 서초구 우면동 610-11|http://www.chiwoocraftmuseum.org|김달진미술연구소|127.0123253|37.4577504
서울여성플라자|||서울시 동작구 대방동 345-1|http://www.femiart.or.kr|김달진미술연구소|126.9271787|37.5115519
인천종합문화예술회관||032-420-2711~12/27|인천시 남동구 문화회관길 80 (구월동 1408)|http://www.art.incheon.go.kr|김달진미술연구소|126.7319416|37.4469893
청주예술의전당|||-,|http://|김달진미술연구소||
포천반월아트홀||02-735-6317/8|-,|http://www.paaf2005.org|김달진미술연구소||
오프라갤러리||02-720-1117|서울시 종로구 관훈동 198-36 오원빌딩 3층|http://www.opra.co.kr|김달진미술연구소|126.9851202|37.5726625
김포시민회관 전시실||017-281-0819|-, 경기 김포시 사우동 259-4 김포시민회관|http://|김달진미술연구소|126.7179995|37.6170587
갤러리화수목||02-515-3725|-, 서울시 강남구 청담동 124-24 4층|http://|김달진미술연구소|127.0490550|37.5250854
삼일로창고갤러리||02-319-8020|서울시 중구 저동 1가 20-6|http://www.changgotheatre.com|김달진미술연구소|126.9878833|37.5633975
더뉴게이트이스트 (아트포럼뉴게이트로 변경)||02-747-6603|서울시 종로구 명륜4가 66-3|http://www.forumnewgate.co.kr|김달진미술연구소|127.0002759|37.5828312
대안미술공간소나무||031-673-0904|경기도 안성시 미양면 계륵리 232-8|http://www.sonahmoo.com|김달진미술연구소|127.2486077|36.9812264
안양아트벨리|||-,|http://|김달진미술연구소||
갤러리다||02-2264-5397|서울시 중구 필동2가 128-21|http://|김달진미술연구소|126.9948458|37.5551223
갤러리에스유||02-529-5315|서울시 서초구 양재동 271-8 다린빌딩 2F|http://|김달진미술연구소|127.0444891|37.4751079
페이퍼테이너 뮤지엄|||서울시 송파구 방이동 88 서울올림픽공원 조각공원|http://|김달진미술연구소|127.1165203|37.5217853
안양예술공원, 계원조형예술대학||(031-420-1746|-, 경기도 의왕시 내손동 산 125 계원조형예술대학 디자인관 5층 전시환경디자인연구소|http://www.dnau.net|김달진미술연구소|126.9801621|37.3787941
비엔날레전시관, 광주 중외공원문화벨트 일원||062-608-4114|-, 광주광역시 북구 비엔날레 2길 211 (용봉동 산 149-2)|http://www.gb.or.kr|김달진미술연구소|126.8880937|35.1827225
갤러리킹||02-6085-1805|-, 홍대에서 산울림 극장 가는길의 좌측 꽃집건물 2층|http://www.galleryking.co.kr|김달진미술연구소|114.2097100|22.3551220
단원전시관||031-413-5566|안산시 단원구 고잔동 525-7 단원미술제 운영위원회|http://www.danwon.org|김달진미술연구소|126.8291622|37.3188260
조흥갤러리||02-738-6806|-, 서울 중구 태평로1가 62-12번지|http://|김달진미술연구소|126.9764145|37.5685498
몽인아트스페이스||02-2253-2151|서울시 중구 신당동 432-1692|http://monginartspace.org|김달진미술연구소|127.0079565|37.5540898
아트센터나비||02-2121-0931|서울 종로구 서린동 99 SK 본사빌딩 4층|http://www.nabi.or.kr|김달진미술연구소|126.98029120000001|37.5696511
서울보증보험갤러리||02-3671-7000|-, 서울시 종로구 연지동 136-74|http://|김달진미술연구소|127.0008134|37.5736208
쿤스트독갤러리||02-722-8897|서울 영등포구 경인로 739|http://www.kunstdoc.com|김달진미술연구소|126.8955747|37.5129023
호텔신라 아케이드 특별전시실||02-2230-1150|서울 중구 장충동 2가 202번지 신라호텔 B1|http://|김달진미술연구소|127.0059138|37.5569776
두산갤러리||02-708-5050|서울시 종로구 종로33길 15 두산아트센터1F|http://www.doosangallery.com|김달진미술연구소|127.0009843|37.5717571
서울대학교 우석홀||02-880-7480|서울 관악구 신림9동 산56-1번지 서울대 미대 50동 3층|http://|김달진미술연구소|126.9531155|37.4590703
헬로우뮤지움||02-3217-4222|서울시 성동구 성수일로12길 20|http://www.hellomuseum.com|김달진미술연구소|127.02631059999999|37.5496365
갤러리쿠오리아||02-709-7542|서울시 용산구 남영동 131-1 (주)해태제과식품 1F|http://|김달진미술연구소|126.9736296|37.5406719
休 앤디스갤러리||02-575-2575|서울시 강남구 청담동 117-8번지|http://www.andysgallery.co|김달진미술연구소|127.0478065|37.5256683
KFT 갤러리디오렌지||02-773-3434|서울시 중구 명동 2가 51-18 2, 3F|http://www.ktf.com/front/goodtime/orange.jsp|김달진미술연구소|126.9845308|37.5628794
갤러리꽃삽(휴관)||02-466-2606|서울시 광진구 모진동 3번지 지하철 7호선 어린이대공원역 역사 내 지하1층|http://www.artstation.co.kr|김달진미술연구소|127.0822938|37.5384843
동숭갤러리||02-745-0011|서울시 종로구 창경궁로 34길 18-5 동숭갤러리빌딩 5F|http://www.dongsoong.kr/|김달진미술연구소|126.99938359999999|37.5854773
갤러리무위||02-461-0070|서울시 성동구 성수동2가 281-12 에딘버그골프클럽|http://|김달진미술연구소|127.0653943|37.5477006
갤러리미교||02-747-7427|-, 서울시 종로구 훈정동2 삼성종묘주차장 지상1층|http://www.gallerymg.co.kr|김달진미술연구소|126.9949388|37.5714598
숙명여자대학교 청파갤러리||02-2077-7161|서울시 용산구 효창원길 52 숙명여자대학교 내|http://|김달진미술연구소|126.9654442|37.5384272
현대백화점 미아점 10F 갤러리H|||서울시 성북구 길음동 20-1 현대백화점 미아점|http://blog.naver.com/jysagnes|김달진미술연구소|127.0287626|37.6083223
안국약품갤러리AG (안국문화재단갤러리AG로 명칭 변경)||02-3289-4399|서울 영등포구 시흥대로 613 안국약품 1F|http://www.galleryag.co.kr|김달진미술연구소|126.90458999999998|37.487321
아르스갤러리||02-422-0123|서울시 송파구 석촌동 1번지 그랜드빌딩 아르스홀|http:// www.arshall.co.kr|김달진미술연구소|127.0974959|37.5061506
예송미술관||02-2147-2810|서울시 송파구 삼전동 62-2 송파구민회관 1층|http://www.songpa.go,kr|김달진미술연구소|127.09333830000003|37.502219
나무그늘 Gallery & Book Cafe||02-2638-2002|-, 서울시 영등포구 영등포동 4가 441-10 경방타임스퀘어 단지 1층|http://|김달진미술연구소|126.9031758|37.5171639
엑스포갤러리||02-538-8187|서울시 강남구 봉은사로 524 인터컨티넨탈서울코엑스, 아케이드 B2 C-18|http://135-975|김달진미술연구소|127.05959899999993|37.511235
문래예술공장||02-2676-4300|-, 서울시 영등포구 문래동1가 30|http://www.seoulartspace.or.kr|김달진미술연구소|126.9001786|37.5130462
씨에스피111아트스페이스 CSP111 ART SPACE||02-3143-0121|서울시 서대문구 연희동 188-55 현빌딩 3층|http://www.csp111.co.kr|김달진미술연구소|126.9293797|37.5659332
공간 해밀톤||031-420-1863|서울 용산구 한남동 683-142|http://www.podopodo.net/hamilton/list.asp|김달진미술연구소|127.0001267|37.5360633
갤러리케레스타||02-2048-3691|-, 서울시 중구 을지로 6가 케레스타 17-2 2F|http://www.gallerycs.com|김달진미술연구소|127.0065887|37.5675139
언오피셜프리뷰갤러리 Unofficial Preview Gallery||02-417-5401|서울시 송파구 석촌동 253 MONAD BD|http://unofficialpreview.com|김달진미술연구소|127.1027253|37.4991172
갤러리엠 GalleryM (회기)||02-964-4022|서울시 동대문구 회기동 60-145 1층|http://|김달진미술연구소|127.0488538|37.5913158
롯데갤러리 청량리점||02-3707-2890|서울시 동대문구 왕산로 214 롯데백화점 청량리점 8F|http://Lotteshopping.com|김달진미술연구소|127.04790070000001|37.5792928
성북예술창작센터 갤러리_맺음||02-943-9300|서울시 성북구 종암동 28-358 성북예술창작센터|http://seongbuk.seoulartspace.or.kr|김달진미술연구소|127.0370778|37.5921727
갤러리에이치 Gallery H||02-2603-7200|서울시 양천구 신정3동 738-1 한성교회 내|http://www.hansungchurch.com|김달진미술연구소|126.84365619999994|37.5071641
갤러리수(신천)||02-412-0122|서울시 송파구 신천동 32|http://|김달진미술연구소|127.10498440000003|37.5111913
복합문화공간_더미디엄 The Medium||070-4084-8965|서울시 서대문구 연희동 132-27 3F|http://www.themedium.co.kr|김달진미술연구소|126.9304255|37.5685494
이랜드스페이스||02-2029-9885|서울시 금천구 가산디지털1로 159 이랜드문화재단|http://|김달진미술연구소|126.88145740000004|37.4795202
스페이스99||02-735-5811/2|서울시 구로구 부일로 9길 135, 상가1동 101호|http://www.peacemuseum.or.kr|김달진미술연구소|126.98325420000003|37.5726942
구룡갤러리아산방||02-574-8988|서울시 서초구 양재동 277-3 2F|http://|김달진미술연구소|127.04583189999994|37.4760207
閉 KTB투자증권 영업부 갤러리||02-2184-2200|서울시 영등포구 여의도동 23-3 하나증권빌딩 6F|http://www.ktb.co.kr|김달진미술연구소|126.92370570000003|37.5245007
꿈의숲 아트센터||02-2289-5401|서울시 강북구 월계로 173|http://www.dfac.or.kr|김달진미술연구소|127.0406246|37.6214312
閉 KTB투자증권 도곡금융센터 갤러리||02-2184-3700|서울시 강남구 도곡2동 467-7 아카데미스위트 2F|http://www.ktb.co.kr|김달진미술연구소|127.05208659999994|37.4885335
移 스페이스오뉴월||070-4401-6741|서울시 성북구 성북동 51-2 1F|http://www.onewwall.com|김달진미술연구소|126.9994057|37.5943859
갤러리예이랑||02-455-4006|서울시 광진구 구의동 202-6 아산빌딩 2F|http://www.smileline.kr|김달진미술연구소|127.09392389999993|37.5425518
移 아트컴퍼니긱(GIG)||02-323-7395|서울시 서대문구 연희동 132-30|http://www.artcompanygig.co.kr|김달진미술연구소|126.93051489999993|37.5680789
아뜰리에아키||02-464-7710|서울시 성동구 왕십리로 85|http://www.atelieraki.com|김달진미술연구소|127.04243610000003|37.5457052
스페이스K 서울||02-3665-8918|-, 서울시 강서구 마곡중앙8로 32|http://www.spacek.co.kr|김달진미술연구소|127.03411269999992|37.5219898
閉 갤러리중 반포||02-3478-2981/2|서울시 서초구 반포동 1141 엘루체백화점 2F|http://www.jungartgroup.com|김달진미술연구소|126.98721690000002|37.5017064
閉 갤러리중||02-2254-2981/2|서울시 중구 청계천로 400 롯데캐슬 베네치아메가몰 B1F|http://www.jungartgroup.com|김달진미술연구소||
移 피렌체갤러리52||02-563-9977|서울 강남구 대치동 은마상가 B-164|http://blog.naver.com/okt4703|김달진미술연구소|127.0610527|37.4994914
