##NAME|TYPE|SUBNAME|TELNUM|NEWADDR|OT|OFFDAY|COST|FEAT|WEBSITE|SOURCE2|XCOORD|YCOORD@@박물관
VM아트미술관|사립||070-8915-8123|전북 완주군 삼례읍 삼례역로 81-13|10:00~18:00|매주 월요일, 1월 1일|성인 : 2,000원 / 청소년 : 1,000원 / 유치원생(만3세 이상) : 500원|아트샵; 카페|http://www.srartvil.kr|한국박물관협회|127.0658056|35.9058849
W미술관|사립||063-835-3033|전북 익산시 동서로 504|10:00~18:00|||한옥별관; 세미나실||한국박물관협회||
가천박물관|사립||032-833-4747|인천 연수구 청량로 102번길 40-9|09:00~17:00|매주 월요일, 1월 1일, 설ㆍ추석 연휴|무료||http://www.gcmuseum.org|한국박물관협회|126.6575281|37.4183093
가톨릭관동대학교박물관|대학||033-649-7851,-033-649-7859|강원 강릉시 범일로 579번길 24|월요일~금요일 : 09:00~17:00(폐관시간 30분 전까지 입장)|매주 토요일, 공휴일, 개교기념일(9월 1일)|무료|휴게실|http://museum.cku.ac.kr/|한국박물관협회||
가회민화박물관|사립||02-741-0466|서울 종로구 북촌로 52|10:00~18:00|매주 월요일, 설ㆍ추석 연휴|소인(19세 미만) : 1,000원(단체 : 1,000원) / 대인(19세 이상) : 2,000원(단체 : 1,000원) / ※단체 30명 이상|아트샵|http://www.gahoemuseum.org|한국박물관협회||
간송박물관|사립||02-406-2524|서울 성북구 성북로 102-11|||||http://kansong.org|한국박물관협회||
감귤박물관|공립||064-760-6400|제주 서귀포시 효돈순환로 441|09:00~18:00 (7월~9월 09:00~19:00)|1월 1일, 설·추석 당일|성인 : 1,500원(단체 : 1,000원) / 중,고등학생 : 1,000원(단체 : 700원) / 초등학생 : 800원(단체 : 500원) / ※단체 10명 이상|뮤지엄샵;  족욕체험장; 과즐체험장; 감귤특화카페 꿈나다|http://www.citrus.seogwipo.go.kr|한국박물관협회|126.6073620|33.2716170
강릉/오죽헌/시립박물관|공립||033-660-3301|강원 강릉시 율곡로 3139번길 24|09:00~18:00|1월 1일, 설날, 추석|어른 3,000원, 청소년,군인 2,000원, 어린이 1,000원, 만 65세 이상 무료, 강릉시민(본인) 무료(신분증지참)||http://gn.go.kr/museum|한국박물관협회||
강릉시립미술관|공립||033-640-4271|강원 강릉시 화부산로 40번길 46|오전 9:00 - 오후 6:00|매주 월요일, 1월 1일, 설날, 추석|무료||http://gn.go.kr/mu|한국박물관협회||
강릉커피박물관|사립||033-655-6644|강원 강릉시 왕산면 왕산로 2171-19|09:30~18:30|연중무휴|성인 : 5,000원(단체 : 4,000원) / 경로 : 4,000원(단체 : 3,500원) / 어린이, 청소년 : 4,000원(단체 : 3,500원) / ※단체 20명 이상|아트샵; 카페|http://www.coffeemuseum.kr|한국박물관협회|128.7846215|37.6522741
강원도DMZ박물관|공립||033-681-0625|강원 고성군 현내면 통일전망대로 369|하절기 09:00~18:00 / 동절기 09:00~17:00|매주 월요일, 1월 1일|어른 : 2,000원(단체 : 1,400원) / 청소년, 군인 : 1,000원(단체 : 700원) / 어린이 : 1,400원(단체 : 1,000원) / ※단체 20명 이상, 강원도민 50% 할인|아트샵; 카페|http://www.dmzmuseum.com|한국박물관협회|128.3827003|38.5763188
강진군고려청자박물관|공립||061-430-3755|전남 강진군 대구면 청자촌길 33|09:00~18:00|연중무휴|어린이 : 1,000원(단체 : 500원) / 청소년, 군인 : 1,500원(단체 : 1,000원) / 어른 : 2,000원(단체 : 1,500원) / ※단체 30명 이상|아트샵|http://www.celadon.go.kr|한국박물관협회|126.8008900|34.5086912
강진군다산박물관|공립||061-430-3911|전남 강진군 도암면 다산로 766-20|입장시간 : 09:00~17:30 / 관람시간 : 09:00~18:00|매주 월요일(다만, 월요일이 「관공서의 공휴일에 관한 규정 그 밖에 군수가 정하는 날)|어른 : 2,000원(단체 : 1,000원) / 청소년, 군인 : 1,000원(단체 : 500원) / 어린이 : 500원(단체 : 300원)※단체 20명 이상, 강진군민 50% 할인|체험장|http://dasan.gangjin.go.kr|한국박물관협회||
강진군시문학파기념관|공립||061-430-3186|전남 강진군 강진읍 영랑생가길 14|09:00~18:00|1월 1일, 설, 추석|무료|카페|http://www.gangjin.go.kr/simunhak/|한국박물관협회|126.7659920|34.6422420
강화역사박물관|공립||032-930-4608|인천 강화군 하점면 강화대로 994-19|09:00~18:00|매주 월요일, 설·추석 당일|어린이, 청소년, 군인 : 1,000원(단체 : 800원) / 일반 : 1,500원(단체 : 1,200원) / ※단체 30명 이상|뮤지엄샵(매점)|http://museum.ganghwa.go.kr|한국박물관협회|126.4357742|37.7736098
강화자연사박물관|공립||032-933-9500|인천 강화군 하점면 강화대로 994-33|09:00~17:30|1월1일, 신정, 추석, 매주월요일|어른 : 3,000원(단체:2,500원) / 어린이,청소년,군인 : 2,000원(단체:1,500원) / 유아 및 노인, 강화군민, 국가유공자 무료||http://museum.ganghwa.go.kr|한국박물관협회|126.4345175|37.7747214
강화전쟁박물관|공립||032-934-4290|인천 강화군 강화읍 해안동로 1366번길 18|09:00~18:00|연중무휴|어른: 900원(개인), 700원(단체 30인 이상) / 어린이, 청소년, 군인: 600원(개인), 500원(단체 30인 이상) / *무료관람 보호자를 동반한 6세 이하의 어린이, 65세 이상의 노인, 국가유공자 및 그 배우자, 참전유공자로 참전유공자증을 소지한 자, 장애인으로서 장애인 수첩을 소지한 자, 강화군에 주민등록을 두고 증명서를 제시한 군민, 기타 군수가 필요하다고 인정하는 자 / ※주민등록증이나 기타 증명서를 제시하는 자에 한함.||http://museum.ganghwa.go.kr|한국박물관협회|126.5160548|37.7335693
거제박물관|사립||055-687-6790|경남 거제시 거제대로 3791|09:30~18:00 매주 월요일, 설·추석 당일||성인 : 3,000원(단체 : 2,400원) / 학생, 경로우대, 장애인, 국가유공자 : 2,000원(단체 : 1,600원) / ※단체 20명 이상|아트샵; 카페|http://www.geojemuseum.or.kr|한국박물관협회|128.6861950|34.8940635
거제어촌민속전시관|공립||055-639-8270|경남 거제시 일운면 지세포해안로 41|09:00 ~ 18:00 (17:00까지 입장)|1월 1일, 설날 및 추석 당일, 매주 월요일(단, 월요일이 공휴일인 경우 개관하고 다음 평일에 휴관)|성인 : 3,000원, 중.고등학생 / 군인 : 2,000원, 초등학생 : 1,000원|4D영상탐험관|http://www.geojemarine.or.kr|한국박물관협회||
거창박물관|공립||055-940-8740|경남 거창군 거창읍 수남로 2181|하절기 09:00~18:00 / 동절기 09:00~17:00|매주 월요일, 1월 1일, 설, 추석|무료||http://museum.geochang.go.kr|한국박물관협회|127.9106107|35.6741634
건국대학교박물관|대학||02-450-3880|서울 광진구 능동로 120|09:30~17:00|주말, 공휴일|무료||http://museum.konkuk.ac.kr|한국박물관협회|127.0755788|37.5423736
검단선사박물관|공립||032-440-6790|인천 서구 원당동 고산후로 121번길 7|09:00~18:00|매주 월요일(월요일이 공휴일인 경우 익일 휴관), 공휴일 다음날, 1월 1일|무료||http://sunsa.incheon.go.kr|한국박물관협회|126.6986875|37.5944154
겸재정선미술관|공립||02-2659-2206~7|서울 강서구 양천로 47길 36|10:00~18:00 / 주말, 공휴일 10:00~17:00 / 동절기(11~2월) 10:00~17:00|매주 월요일, 1월 1일, 설, 추석|일반 : 1,000원(단체 : 700원) / 초·중·고등학생, 군·경 : 500원(단체 : 300원) / ※단체 20명 이상|아트샵; 카페|http://gjjs.or.kr|한국박물관협회|126.8384617|37.5722490
경기도미술관|공립||031-481-7000|경기 안산시 단원구 동산로 268|10:00~18:00|매주 월요일(월요일이 공휴일일 경우 제외) / 1월 1일 / 설날, 추석 당일|무료|아트샵; 카페; 라이브러리|http://gmoma.ggcf.kr|한국박물관협회|126.8138992|37.3259057
경기도박물관|공립||031-288-5400|경기 용인시 기흥구 상갈로 6|10:00~18:00|매월 1, 3째 주 월요일|무료|아트샵; 매점|http://musenet.ggcf.kr|한국박물관협회|127.1086791|37.2682803
경기도어린이박물관|공립||031-270-8601|경기 용인시 기흥구 상갈로 6|10:00~18:00 / 7월∼8월 10:00~19:00|매월 2, 4째주 월요일|12개월 이상 : 4,000원(단체 : 2,000원) / ※단체 20명 이상|아트샵; 레스토랑; 카페; 수유실; 보건실|http://www.gcmuseum.or.kr|한국박물관협회|127.1096894|37.2674108
경기도자박물관|공립||031-799-1500|경기 광주시 곤지암읍 경충대로 727|09:00 ~ 18:00 (관람 종료 30분 전까지 입장할 수 있습니다.)|연중 상시운영(단, 매년 1월 1일, 매주 월요일, 명절 당일 휴관)|일반3,000원- 만19세 ~ 64세(대학생 이상)|공원|http://ggcm.or.kr|한국박물관협회||
경기북부어린이박물관|공립||031-860-2860|경기 동두천시 평화로 2910번길 46|10:00~18:00  1일 5회,  회당 90분 운영 / 운영회차 1회차 : 10:00~11:30, 2회차 : 11:35~13:05, 3회차 : 13:10~14:40, 4회차 : 14:45~16:15, 5회차 : 16:20~17:50|매주 월요일(공휴일인 경우 익일), 1월 1일, 설날, 추석 당일|36개월 이상 4,000원|뮤지엄샾; 런치룸; 강당; 의무실; 수유실; 야외 놀이터|http://childmus.ddc.go.kr|한국박물관협회||
경기여고경운박물관|사립||02-3463-1336|서울 강남구 삼성로 29|10:00~16:00|주말, 공휴일|무료|아트샵; 카페; 강당; 소극장; 하늘공원|http://www.kwmuseum.org|한국박물관협회|127.0660782|37.4878684
경산시립박물관|공립||053-804-7323~4|경북 경산시 박물관로 46|09:00~18:00|매주 월요일, 1월 1일, 설·추석 당일|무료||http://museum.gbgs.go.kr|한국박물관협회|128.7630380|35.8139080
경주솔거미술관|공립||054-740-3990|경상북도 경주시 경감로614(천군동130)|09:00~18:00(관람종료 1시간 전까지 입장가능)*하·동절기 변경될 수 있습니다.|매주 월요일, 1월 1일, 설날 및 추석 당일*월요일이 공휴일일 경우 그 다음날이 휴관일|성인 1,000원 / 청소년 및 군인 700원 / 어린이 500원*유아, 장애인(1~3급 동반 1인), 경로우대 무료*단체관람 시 할인요금(별도문의)*경주시민 50% 할인*특별전은 별도 관람료 적용|아트숍; 아카이브실; 카페 솔거랑|http://www.gjsam.or.kr/ko/|한국박물관협회||
경주예술의전당/알천미술관|공립||054-748-7725|경북 경주시 알천북로 1 경주예술의전당|10:00~18:00|매주 월요일|전시마다 다름|전망대; 커피숍; 회의실 등|http://www.gjartcenter.kr|한국박물관협회|129.2061027|35.8625486
경희대학교중앙박물관|대학||02-961-0141|서울 동대문구 경희대로 26|10:00~17:00|매주 토요일, 공휴일, 특별한 사정이 있을 때|무료||http://museum.khu.ac.kr|한국박물관협회|127.0527938|37.5969969
경희대학교혜정박물관|대학||031-201-2011~4|경기 용인시 기흥구 덕영대로 1732 중앙도서관 4층|10:00~16:00|주말, 공휴일|무료|아트샵|http://oldmaps.khu.ac.kr|한국박물관협회|127.0795809|37.2408684
계양산성박물관|공립||032-450-8317~8|인천 계양구 계양산로 101|09:00 ~ 18:00 (입장마감 : 관람종료 30분 전)|매주 월요일, 1월 1일, 설날·추석 당일|어린이 · 청소년 · 65세 이상 - 개인 : 무료 / 단체(20인 이상) : 무료성인(19세 이상, 64세 이하) - 개인 : 1,000원 / 단체(20인 이상) : 800원군경 - 개인 : 500원, 단체(20인 이상) : 500원 * 국민기초생활보장법에 따른 수급자, 국가유공자 및 유가족, 독립유공자, 장애인(보호자 1명까지), 한부모가족, 박물관 자료 기증자, 유족 또는 가족(배우자, 자녀, 부모 한정), 공익상 필요하다고 인정할 경우 : 무료관람|카페테리아; 전망대|https://museum.gyeyang.go.kr/|한국박물관협회||
고구려대장간마을|공립||031-550-8353|경기 구리시 우미내길 41|하절기 09:00~18:00(토·일·공휴일 19:00까지) / 동절기(11월~2월) 09:00~17:00(토·일·공휴일 18:00까지)|연중무휴|일반(20~65세) : 3,000원(단체 : 2,000원) / 청소년(14~19세) : 2,000원(단체 : 1,500원) / 아동(8~13세) : 1,500원(단체 : 1,000원)||http://guri.go.kr/main/gbv|한국박물관협회|127.1108638|37.5606007
고남패총박물관|공립||041-670-2337|충남 태안군 고남면 안면대로 4270-6|09:00~18:00 / 동절기 17:00까지|매주 월요일, 공휴일 다음날, 설, 추석|초등학생 : 700원(단체 : 500원) / 14세~64세 : 1,200원(단체 1,000원) / ※단체 20명 이상||http://museum.taean.go.kr|한국박물관협회|126.4101000|36.4203430
고산윤선도유물전시관|공립||061-533-4445|전남 해남군 해남읍 녹우당길 130|09:00~18:00|매주 월요일|어른 2,000원 / 청소년 1,500원 / 어린이 1,000원|기획전시실; 상설전시실; 수장고; 영상실; 체험실; 사무실|http://gosan.haenam.go.kr|한국박물관협회||
고성탈박물관|공립||055-672-8829|경남 고성군 고성읍 율대2길 23|||||http://tal.goseong.go.kr|한국박물관협회||
고양가와지볍씨박물관|공립||031-8075-4275|고양시 덕양구 고양대로 1695 고양시농업기술센터 내|관람요일 : 월요일 ~ 토요일관람시간 : 09:30 ~ 17:30|매주 일요일, 공휴일|무료||http://www.goyang.go.kr/agr/agr02/agr02_8.jsp|한국박물관협회||
고양어린이박물관|공립||031-839-0300|경기 고양시 덕양구 화중로 26|10:00~18:00(입장마감 : 17:00)|매주 월요일, 1월 1일, 설날, 추석 당일(월요일이 법정공휴일인 경우 다음 날인 화요일 휴관)|개인 : 36개월 이상~만 65세 미만 5,000원 / 단체 : 20명 이상 3,500원 / * 인솔자는 어린이 7명당 1명 무료 / 무료 : 36개월 미만, 국민기초수급생활자 및 자녀, 한부모가족, 장애인(1급~6급, 1급~3급 동반 보호자 1인 포함 무료), 국가유공자와 배우자 및 자녀, 독립유공자와 배우자 및 자녀와 손자녀, 5.18유공자와 배우자 및 자녀, 특수임무수행자 및 그 유족, 참전유공자, 고엽제후유증 환자, 교육자료 수집을 위한 학교장 협조요청이 있는 교원, 만 65세 이상|보건실; 카페테리아|http://www.goyangcm.or.kr|한국박물관협회||
고창판소리박물관|공립|||전북 고창군 고창읍 동리로 100|동절기 (09:00 ~ 17:00), 하절기 (09:00 ~ 18:00)|매주 월요일, 1월1일, 설날, 추석날|어른 800원||http://www.gochang.go.kr/tour/index.gochang?menuCd=DOM_000000406009000…|한국박물관협회||
고촌이종근기념관|사립||070-7094-4510|서울 서대문구 충정로8, 종근당빌딩 2층|10:00~17:00|국경일, 공휴일|무료||http://www.kochonhall.or.kr|한국박물관협회||
고흥분청문화박물관|공립||061-830-5995|전남 고흥군 두원면 분청문화박물관길 99|관람시간 : 09시 ~ 18시 (입장시간 : 09시부터 종료 1시간 전까지)|1월 1일, 설날 당일, 추석 당일매주 월요일(단, 월요일이 공휴일인 경우 그 다음날을 휴관일), 군수가 정하는 휴관일|성인 2,000원 / 청소년·군인 1,500원 / 어린이 1,000원(단체 20인 이상·고흥군민·남해안 남중권 주민 50%)|분청문화공원; 한옥다목적체험관; 한옥창조공방 등|http://buncheong.goheung.go.kr/|한국박물관협회||
공주기독교박물관|사립||041-853-7007~9|충남 공주시 제민1길 18|화~토요일 : 10:00~17:00 / 일요일 : 13:00~15:00|월요일, 공휴일|성인 및 청소년(중고생) : 2,000원 초등학생 : 1,000원 영·유아 : 무료|휴게실|http://gongjucm.or.kr|한국박물관협회||
과천시추사박물관|공립||02-2150-3650|경기 과천시 추사로 78|09:00~18:00 / 매주 금요일 21:00까지|매주 월요일, 1월 1일, 설·추석 연휴|어른 : 2,000원(단체 : 1,000원) / 초등학생 : 500원(단체 : 300원) / 6세 이하 및 노인 : 무료 / ※단체 20명 이상|아트샵|http://www.chusamuseum.go.kr|한국박물관협회|127.0283500|37.4526250
관문사성보박물관|사립||02-3460-5300|서울 서초구 바우뫼로 7길 111|10:00~17:00|매주 월요일|무료|초우다실|http://www.gwanmunsa.org|한국박물관협회|127.0222310|37.4737010
광주김치박물관|공립||062-613-8223|광주 남구 김치로 60|하절기(03.01~10.31): 09:00~18:00동절기(11.01~02.29): 09:00~17:30|매주 월요일, 1월 1일, 설날 및 추석날 당일|무료|김치체험장; 관광기념품점|http://kimchitown.gwangju.go.kr|한국박물관협회||
광주시립미술관|공립||062-613-7100|광주 북구 하서로 52|10:00~18:00|매주 월요일, 1월 1일, 설ㆍ추석 당일|일반 : 500원(단체 : 400원) / 청소년·군인 : 300원(단체 : 200원) / 어린이 : 200원(단체 : 100원) / ※단체 20명 이상|카페|http://artmuse.gwangju.go.kr|한국박물관협회|126.8856750|35.1825100
광주역사민속박물관|공립||062-613-5337~8|광주 북구 서하로 48-25|09:00~18:00|매주 월요일, 공휴일 다음날, 1월 1일|어린이 : 200원(단체 : 100원) / 청소년, 군인 : 300원(단체 : 200원) / 어른 : 500원(단체 : 400원) / ※단체 20명 이상|아트샵|http://gjfm.gwangju.go.kr|한국박물관협회|126.8884000|35.1841600
교과서박물관|사립||041-861-3141~5|세종 연동면 청연로 492-14|09:30~17:30|매주 월요일|무료|휴게실|http://www.textbookmuseum.com|한국박물관협회|127.3346125|36.5504167
교동미술관|사립||063-287-1244|전북 전주시 완산구 경기전길89|하절기(4월~9월) 10:00~19:00 / 동절기(10월~3월) 10:00~18:00|매주 월요일|무료||http://www.gdart.co.kr|한국박물관협회|127.1511761|35.8155051
국립경주박물관|국립||054-740-7500|경북 경주시 일정로 186|10:00~18:00(일요일 및 공휴일 1시간연장)10:00~21:00(매달 마지막 주 수요일, 3월~12월 매주 토요일)|매년 1월1일, 설날, 추석|무료(상설전시관,어린이박물관, 특별전시)(* 단, 유료 특별전시는 제외)|어린이박물관; 신라미술관; 월지관|http://gyeongju.museum.go.kr|한국박물관협회||
국립경찰박물관|국립||02-3150-3681|서울 종로구 새문안로 41|09:30~17:30|매주 월요일, 1월 1일, 설, 추석연휴|무료||http://www.policemuseum.go.kr|한국박물관협회||
국립고궁박물관|국립||02-3701-7500|서울 종로구 효자로 12|09:00~18:00(입장은 17시까지) / 주말, 공휴일 09:00~19:00|매주 월요일|무료|아트샵; 레스토랑(카페)|http://www.gogung.go.kr|한국박물관협회|126.9749224|37.5766678
국립공주박물관|국립||041-850-6300|충남 공주시 관광단지길 34|10:00~18:00 / 토, 일, 공휴일, 문화가있는날(매월 마지막주 수요일) 19:00까지 / 매주 토요일(4월~10월) / 야간개장 10:00~21:00|매주 월요일(단, 월요일이 공휴일일 경우 공휴일 다음의 첫 번째 평일), 1월 1일, 설날, 추석|무료 (단, 기획전시는 경우에 따라 유료 가능)|아트샵; 매점|http://gongju.museum.go.kr|한국박물관협회||
국립광주박물관|국립||062-570-7000|광주 북구 하서로 110|10:00~18:00 / 주말, 공휴일 10:00~19:00 / 매주 토요일 야간연장 / 3월~10월 10:00~20:00|매년 1월 1일, 설날/추석 당일|무료 (단, 유료 특별전시는 제외)|아트샵; 카페|http://gwangju.museum.go.kr|한국박물관협회||
국립김해박물관|국립||055-320-6800|경남 김해시 가야의길 190|10:00~18:00 / 토, 일, 공휴일 19:00까지 / 4~10월 토요일 21:00까지|매년 1월 1일과 설날, 추석, 매주 월요일|무료|아트샵; 카페|http://gimhae.museum.go.kr|한국박물관협회||
국립나주박물관|국립||061-330-7800|전남 나주시 반남면 고분로 747|화~금요일 10:00~18:00 / 토·일요일, 공휴일 10:00~19:00|1월1일, 설날 및 추석 당일, 매주 월요일|무료 (단, 기획전시는 경우에 따라 유료 가능)|뜨락정원; 카페테리아|http://naju.museum.go.kr|한국박물관협회|126.6589953|34.9148888
국립낙동강생물자원관|국립||054-530-0700|경북 상주시 도남2길 137|09:30 ~17:30|매주 월요일, 1월1일, 설날·추석 전일 및 당일, 자원관 설립일(6.3.)|대인(만19세~64세) : 2,000원 / 청소년(만13세~18세) : 1,000원|전시시청각실|http://nnibr.re.kr|한국박물관협회||
국립대구박물관|국립||053-768-6051~2|대구 수성구 청호로 321|평일10:00~18:00 / 주말 및 공휴일 10:00~19:00 / 매월 마지막 수요일이 포함된 주의 토요일 10:00~21:00|1월 1일, 설날, 추석, 매주 월요일(단, 월요일이 공휴일, 대체휴일일 때에는 공휴일, 대체휴일 다음의 첫 번째 평일)|무료(상설전시 및 기획전시)* 단, 유료 특별 · 기획전시 제외|카페테리아; 문화상품점; 우리문화체험실 아롱다롱방; 생각놀이방·영상체험방 등|http://daegu.museum.go.kr|한국박물관협회||
국립등대박물관|국립||054-284-4857|경북 포항시 남구 호미곶면 해맞이로 150번길 20|09:00~18:00|매주 월요일, 설날, 추석당일 (단, 월요일이 공휴일인 경우 공휴일 다음의 첫번째 평일)|무료||http://www.lighthouse-museum.or.kr|한국박물관협회||
국립민속박물관|국립||02-3704-3114|서울 종로구 삼청로 37|3~5월, 9~10월 09:00~18:00 / 6~8월 09:00~18:30 / 11~2월 09:00~17:00 ※ 매월 마지막 주 수요일(문화가 있는 날) · 금요일 · 토요일 : 09:00 ~ 21:00 (20:00 까지 입장)|매년 1월1일, 설, 추석|무료|아트샵; 카페|http://www.nfm.go.kr|한국박물관협회||
국립부여박물관|국립||041-833-8562|충남 부여군 부여읍 금성로 5|10:00~18:00 / 토요일, 일요일, 공휴일은 1시간 연장 매주 토요일(4월~10월, 오전 10시 ~ 오후 9시) / 매월 마지막 주 토요일(오전 10시 ~ 오후 9시)|매주 월요일, 매년 1월 1일, 설날 및 추석 당일|무료|아트샵; 어린이박물관; 사비마루 공연장|http://buyeo.museum.go.kr|한국박물관협회||
국립산악박물관|국립||033-638-4459|강원 속초시 미시령로 3054|3월 1일 ~ 9월 30일(하절기) : 09:00 ~18:0010월 1일 ~ 2월 29일(동절기) : 09:00 ~17:00|매주 월요일, 1월1일, 설날과 추석 연휴|무료(관람료 포함)|영상실;수유실; 암벽체험실; 고산체험실; 산악교실; 거울연못; 북카페;옥상정원|http://nmm.forest.go.kr|한국박물관협회||
국립소록도병원/한센병박물관|국립||061-840-0692~3|전남 고흥군 도양읍 소록해안길 82|화-일요일 : 09:30 ~ 16:30|매주 월요일, 1월1일, 설날 및 추석 연휴|무료|복합문화센터; 카페|http://www.sorokdo.go.kr/sorokdo/board/sorokdoHtmlView.jsp?menu_cd=030…|한국박물관협회||
국립여성사전시관|국립||031-819-2288,-2299|경기 고양시 덕양구 화중로 104번길 50|매일 오전 09:00 ~ 오후 06:00|일요일, 공휴일 및 설·추석연휴 휴관|무료||http://eherstory.mogef.go.kr|한국박물관협회|126.8340366|37.6358153
국립익산박물관|국립||063-830-0900|전북 익산시 금마면 미륵사지로 362|09:00~18:00|1월1일, 설날·추석 당일, 매주 월요일 ※월요일이 공휴일인 경우 개관하고 다음 평일에 휴관|무료|뮤지엄샵; 세미나실; 아기방; 물품보관함 등|https://iksan.museum.go.kr|한국박물관협회||
국립일제강제동원역사관|국립||051-629-8600|부산 남구 홍곡로 320번길 100|오전 10시 ~ 오후 6시|월요일, 1월 1일, 설날 및 추석 당일(월요일이 공휴일인 경우 다음 평일)|무료|교육실; 멀티미디어; 도서관; 영상실; 수유실; 의료실; 추모탑; 기획전시실|http://museum.ilje.or.kr|한국박물관협회||
국립전주박물관|국립||063-223-5651~2|전북 전주시 완산구 쑥고개길 249|10:00~18:00(토, 일, 공휴일 1시간 연장) / 3월~10월 매주 토요일 야간개장(21:00까지)|1월 1일,  설날, 추석날 (2017년 1월부터 월요일에도 개관합니다)|무료 (특별전시는 유료일 경우도 있음)|뮤지엄샵; 카페|http://jeonju.museum.go.kr|한국박물관협회|127.0897170|35.8013325
국립제주박물관|국립||064-720-8000|제주 제주시 일주동로 17|09:00~18:00|매주 월요일, 매년 1월 1일, 설날, 추석|무료(상설전시실, 어린이체험관, 특별전시) 유료 특별 전시 제외|아트샵; 카페|http://jeju.museum.go.kr|한국박물관협회|126.5488630|33.5134250
국립조세박물관|국립||044-204-4646|세종 국세청로 8-14|09:00~18:00 (마감 한 시간 전 입장)매달 마지막 수요일은 문화가 있는 날로 개장시간이 연장 됩니다.(8시 마감)|월요일, 법정 공휴일|무료|교육실|http://nts.go.kr/museum/|한국박물관협회||
