##NAME|TYPE|SUBNAME|TELNUM|NEWADDR|OT|OFFDAY|COST|FEAT|WEBSITE|SOURCE2|XCOORD|YCOORD@@미술관
김천시립미술관|공립||054-420-6725|경북 김천시 남산공원길 90-14|09:00~18:00|1월 1일, 설, 추석|일반 : 1,000원(단체 : 700원) / 청소년, 학생, 군인 : 500원(단체 : 300원) / ※단체 20명 이상||http://gma.gc.go.kr|한국박물관협회|128.1195078|36.1168063
남원시립김병종미술관|공립||063-620-5660|전북 남원시 함파우길 65-14|10:00~18:00|월요일, 1월 1일, 설날, 추석|무료 / 기획전의 경우 입장료 발생 가능|북카페|http://nkam.modoo.at|한국박물관협회||
내설악예술인촌공공미술관|공립||033-463-4081|강원 인제군 북면 예술인촌길 66-12|09:00~18:00|매주 월요일, 공휴일 다음날, 1월 1일, 설·추석 당일|무료||http://www.inama.co.kr/|한국박물관협회|128.2532913|38.1455087
노적봉예술공원미술관|공립||061-270-8300|전남 목포시 유달로 116|09:00~18:00|매주 월요일, 1월 1일, 지자체장이 정한 휴일|무료||http://tour.mokpo.go.kr/tourist/museum/nojeokbong|한국박물관협회|126.3808863|34.7882022
단원미술관|공립||031-481-0505|경기 안산시 상록구 충장로 422|10:00 ~ 18:00|매주 월요일, 1월 1일, 설날/추석 당일|||http://danwon.ansanart.com|한국박물관협회||
대구미술관|공립||053-803-7900|대구광역시 수성구 미술관로 40(삼덕동 374)|하절기 4월~10월｜10시~19시동절기 11월~3월｜10시~18시※ 매표는 개관시간 30분 전부터 관람종료 1시간 전까지 입니다.|매주월요일※월요일이 공휴일일 경우 그 다음 평일이 휴관일입니다|성인:1,000원(단체:700원)/청소년,군인,예술인,어린이:700원(단체:500원)|미술정보센터/뷰라운지/수유실|http://artmuseum.daegu.go.kr/|한국박물관협회||
부산광역시립미술관|공립||051-744-2602|부산 해운대구 APEC로 58|10:00~20:00|매주 월요일(월요일이 공휴일인 경우 익일 휴관), 1월 1일|무료|아트샵; 레스토랑; 카페|http://art.busan.go.kr|한국박물관협회|129.1370285|35.1667495
성남큐브미술관|공립||031-783-8142|경기 성남시 분당구 성남대로 808|하절기(3월~10월) 10:30~19:30 / 동절기(11월~2월) 10:00~18:00|매주 월요일 전시별로 상이함||레스토랑; 카페|http://snab.or.kr|한국박물관협회|127.1299475|37.4022928
성북구립미술관|공립||02-6925-5011|서울 성북구 성북로 134|10:00 ~ 18:00 (입장은 관람종료 30분전까지)|매주 월요일(월요일이 공휴일일 경우 그 다음의 평일이 휴관, 1월 1일, 설ㆍ추석 당일)|성인 2000원, 청소년 1000원||http://sma.sbculture.or.kr|한국박물관협회||
수원시립미술관|공립||031-228-3800|경기 수원시 팔달구 정조로 833|* 하절기 (3월~10월) 10:00 ~ 19:00* 동절기 (11월~2월) 10:00 ~ 18:00 -------------------------------------  관람시간 1시간 전까지 입장가능|* 매주 월요일 휴관-------------------------------------------+ 월요일이 공휴일인 경우 그 다음날 휴관|* 일반 (만19세이상)   :  4,000(개인), 2,000(단체)* 학생(초,중,고), 군인 :  2,000(개인), 1,000(단체)* 어린이(미취학아동) :  1,000(개인), 단체할인없음* 만3세이하 : 무료   ------------------------------------------------------------+ 수원시에 거주하는 개인 (공공기관 발행 신분증 25%할인)+ 국가 또는 지방자치단체가 발행한 자원봉사카드 소지자(50%할인)+ 다자녀(3명이상) 가구는 50%할인+ 예술인 패스(Art Pass) 소지자 무료관람|2F : 전시실4; 5; 교육실 I;II; 아트앤디자인라이브러리 1F :  전시실 1; 2; 3; 카페테리아; 수유실; 포니정홀  B1 : 주차장|https://suma.suwon.go.kr/main/main.do#none|한국박물관협회||
아산조방원미술관|공립||061-363-7278|전남 곡성군 옥과면 미술관로 288|오전10:00 - 오후18:00|1월1일. 매주 월요일(월요일이 공휴일이면 개관)|무료||https://blog.naver.com/ajbwam|한국박물관협회|127.1226130|35.2970750
양구군립박수근미술관|공립||033-480-2655|강원 양구군 양구읍 박수근로 265-15|||||http://www.parksookeun.or.kr|한국박물관협회||
양주시립장욱진미술관|공립||031-8082-4245|경기 양주시 장흥면 권율로 193|10:00~18:00|매주 월요일, 1월 1일, 설, 추석(월요일이 공휴일일 경우 그 다음날 휴관)|일반 : 5,000원(단체 : 3,500원)  / 청소년 및 군인 : 1,000원(단체 : 700원)  / 어린이 : 1,000원(단체 :700원)  / 유아 : 개인  무료(단체 :700원)  / 노인 무료|아트샵; 카페|http://changucchin.yangju.go.kr|한국박물관협회|126.9483415|37.7324895
양평군립미술관|공립||031-775-8515|경기 양평군 양평읍 문화복지길 2|09:30~18:00||일반 : 1,000원(단체 : 700원) / 청소년 : 700원(단체 : 500원) / 어린이 : 500원 (단체 : 300원) / ※단체 20명 이상 / 양평군민, 장애인(동반1인 포함), 국가유공자, 군인, 노인(65세 이상), 유아(36개월 미만) : 무료|아트샵; 레스토랑; 카페; 도서관; 모유실; 미취학놀이방|http://www.ymuseum.org|한국박물관협회|127.4840260|37.4971477
영암군립하정웅미술관|공립||061-470-6841|전남 영암군 군서면 구림로 96|10:00~18:00|매주 월요일, 1월 1일, 설, 추석|무료||http://haart.yeongam.go.kr|한국박물관협회|126.6219679|34.7609348
오산시립미술관|공립||031-379-9940|경기 오산시 현충로 100|화~일 10:00 ~ 18:00|매주 월요일, 설날, 추석 당일, 1월 1일|무료|대공연장|http://osan.go.kr/arts|한국박물관협회||
이응노미술관|공립||042-611-9800|대전 서구 둔산대로 157|3~10월 : 10:00~19:00 / 11~2월 : 10:00~18:00 / 수요일 : 오후 9시까지 / 문화가 있는 날 : 매달 마지막 수요일 (무료관람)|매주 월요일, 1월 1일, 설날, 추석|성인 : 500원 / 어린이, 청소년 : 300원 / 노인, 6세이하 유아, 장애인, 유공자 무료|카페; 아트숍|http://www.leeungnomuseum.or.kr|한국박물관협회||
이천시립월전미술관|공립||031-637-0033|경기 이천시 경충대로 2709번길 185|09:30~18:00|매주 월요일, 1월 1일, 설·추석 당일|일반 : 2,000원(단체 : 1,400원) / 청소년 : 1,000원(단체 : 600원) / 어린이 : 600원(단체 : 400원) / ※단체 20명 이상, 이천시민 : 50%할인|아트샵; 카페; 세미나실|http://www.iwoljeon.org|한국박물관협회|127.4243433|37.2794797
인천광역시송암미술관|공립||032-440-6777|인천 미추홀구 비류대로 55번길 68|09:00~18:00|매주 월요일, 1월 1일, 공휴일 다음날|무료||http://songam.incheon.go.kr|한국박물관협회|126.6422203|37.4344981
전북도립미술관|공립||063-290-6888|전북 완주군 구이면 모악산길 111-6|10:00~18:00|매주 월요일, 1월 1일, 설·추석 당일|무료|아트샵; 카페|http://www.jma.go.kr|한국박물관협회|127.1069464|35.7278363
정읍시립미술관|공립||063-539-6420|전북 정읍시 시기 4길 7|10:00~18:00 (17:30까지 입실)|매주 월요일(월요일이 공휴일인 경우 익일 휴관), 1월 1일, 명절 당일|무료|카페테리아|http://jeongeup.go.kr/culture|한국박물관협회||
제주특별자치도립미술관|공립||064-710-4300|제주 제주시 1100로 2894-78|09:00~18:00 / 7월~9월 09:00~20:00|매주 월요일, 1월 1일, 설, 추석|성인 : 1,000원(단체 : 700원) / 청소년 및 군인 : 500원(단체 : 300원) / 어린이 : 300원(단체 : 200원) / ※단체 10명 이상|아트샵; 카페|http://jmoa.jeju.go.kr|한국박물관협회|126.4893923|33.4527753
제주현대미술관|공립||064-710-7801|제주 제주시 한경면 저지 14길 35|09:00~18:00 / 7월~9월 09:00~19:00|매주 수요일, 1월 1일, 설, 추석|성인 : 1,000원(단체 : 700원) / 청소년 및 군인 : 500원(단체 : 300원) / 어린이 : 300원(단체 : 200원) / ※단체 10명 이상|아트샵|http://jejumuseum.go.kr|한국박물관협회|126.2658375|33.3399654
진천군립생거판화미술관|공립||043-539-3607|충북 진천군 진천읍 백곡로 1504-10|09:00~18:00|매주 월요일, 매년 설날, 추석||체험실|http://jincheon.go.kr/site/culture|한국박물관협회|127.4148315|36.8708890
천안시립미술관|공립||1566-0155|충남 천안시 동남구 성남면 종합휴양지로 185|10:00~18:00|매주 월요일|무료|문화센터|http://www.cnac.or.kr|한국박물관협회||
청주시립미술관|공립||043-201-2650|충북 청주시 서원구 충렬로18번길 50|3월~10월 : 10:00~19:00 / 11월~2월 : 10:00~18:00|매주 월요일, 1월 1일, 설날, 추석 (월요일이 공휴일인 경우 그 다음날 휴관)|성인 : 19세 이상 64세 이하, 1,000(원)*기획전 또는 특별전의 경우 별도의 관람료가 책정될 수 있습니다.|아트샵; 카페테리아; 미술정보자료실|http://cmoa.cheongju.go.kr|한국박물관협회||
최북미술관|공립||063-320-5636|전북 무주군 무주읍 최북로 15|09:00~18:00|1월 1일, 매주 월요일, 명절 당일|무료||http://tour.muju.go.kr/art/contents.do?key=290|한국박물관협회|127.6651246|36.0029746
클레이아크김해미술관|공립||055-340-7000|경남 김해시 진례면 진례로 275-51|10:00~18:00|매주 월요일, 1월 1일, 설, 추석|어른 : 2,000원(단체 : 1,600원) / 청소년, 군인 : 1,000원(단체 : 800원) / 초등학생 : 500원(단체 : 400원) / ※단체 20명 이상|아트샵; 카페; 도자체험관|http://www.clayarch.org|한국박물관협회|128.7448727|35.2508045
함평군립미술관|공립||061-320-2275|전남 함평군 함평읍 곤재로 27 엑스포공원 내|하절기 10:00~18:00 / 동절기 10:00~17:00|매주 월요일(월요일이 공휴일인 경우 익일 휴관), 1월 1일, 설, 추석|무료|카페|http://www.hpart.or.kr|한국박물관협회|126.5197113|35.0548680
화순군립석봉미술관|공립||061-379-3835|전남 화순군 화순읍 진각로 249-8|하절기(3월~10월) : 10시 ~ 18시 / 동절기(11월~02월) : 10시 ~ 17시|매주 월요일, 1월 1일, 설날, 추석(연휴포함)|무료||http://sbart.or.kr|한국박물관협회||
