##NAME|TYPE|SUBNAME|TELNUM|NEWADDR|OT|OFFDAY|COST|FEAT|WEBSITE|SOURCE2|XCOORD|YCOORD@@박물관
고남패총박물관|공립||041-670-2337|충남 태안군 고남면 안면대로 4270-6|09:00~18:00 / 동절기 17:00까지|매주 월요일, 공휴일 다음날, 설, 추석|초등학생 : 700원(단체 : 500원) / 14세~64세 : 1,200원(단체 1,000원) / ※단체 20명 이상||http://museum.taean.go.kr|한국박물관협회|126.4101000|36.4203430
고산윤선도유물전시관|공립||061-533-4445|전남 해남군 해남읍 녹우당길 130|09:00~18:00|매주 월요일|어른 2,000원 / 청소년 1,500원 / 어린이 1,000원|기획전시실; 상설전시실; 수장고; 영상실; 체험실; 사무실|http://gosan.haenam.go.kr|한국박물관협회||
고성탈박물관|공립||055-672-8829|경남 고성군 고성읍 율대2길 23|||||http://tal.goseong.go.kr|한국박물관협회||
고양가와지볍씨박물관|공립||031-8075-4275|고양시 덕양구 고양대로 1695 고양시농업기술센터 내|관람요일 : 월요일 ~ 토요일관람시간 : 09:30 ~ 17:30|매주 일요일, 공휴일|무료||http://www.goyang.go.kr/agr/agr02/agr02_8.jsp|한국박물관협회||
고양어린이박물관|공립||031-839-0300|경기 고양시 덕양구 화중로 26|10:00~18:00(입장마감 : 17:00)|매주 월요일, 1월 1일, 설날, 추석 당일(월요일이 법정공휴일인 경우 다음 날인 화요일 휴관)|개인 : 36개월 이상~만 65세 미만 5,000원 / 단체 : 20명 이상 3,500원 / * 인솔자는 어린이 7명당 1명 무료 / 무료 : 36개월 미만, 국민기초수급생활자 및 자녀, 한부모가족, 장애인(1급~6급, 1급~3급 동반 보호자 1인 포함 무료), 국가유공자와 배우자 및 자녀, 독립유공자와 배우자 및 자녀와 손자녀, 5.18유공자와 배우자 및 자녀, 특수임무수행자 및 그 유족, 참전유공자, 고엽제후유증 환자, 교육자료 수집을 위한 학교장 협조요청이 있는 교원, 만 65세 이상|보건실; 카페테리아|http://www.goyangcm.or.kr|한국박물관협회||
고창판소리박물관|공립|||전북 고창군 고창읍 동리로 100|동절기 (09:00 ~ 17:00), 하절기 (09:00 ~ 18:00)|매주 월요일, 1월1일, 설날, 추석날|어른 800원||http://www.gochang.go.kr/tour/index.gochang?menuCd=DOM_000000406009000…|한국박물관협회||
고흥분청문화박물관|공립||061-830-5995|전남 고흥군 두원면 분청문화박물관길 99|관람시간 : 09시 ~ 18시 (입장시간 : 09시부터 종료 1시간 전까지)|1월 1일, 설날 당일, 추석 당일매주 월요일(단, 월요일이 공휴일인 경우 그 다음날을 휴관일), 군수가 정하는 휴관일|성인 2,000원 / 청소년·군인 1,500원 / 어린이 1,000원(단체 20인 이상·고흥군민·남해안 남중권 주민 50%)|분청문화공원; 한옥다목적체험관; 한옥창조공방 등|http://buncheong.goheung.go.kr/|한국박물관협회||
과천시추사박물관|공립||02-2150-3650|경기 과천시 추사로 78|09:00~18:00 / 매주 금요일 21:00까지|매주 월요일, 1월 1일, 설·추석 연휴|어른 : 2,000원(단체 : 1,000원) / 초등학생 : 500원(단체 : 300원) / 6세 이하 및 노인 : 무료 / ※단체 20명 이상|아트샵|http://www.chusamuseum.go.kr|한국박물관협회|127.0283500|37.4526250
광주김치박물관|공립||062-613-8223|광주 남구 김치로 60|하절기(03.01~10.31): 09:00~18:00동절기(11.01~02.29): 09:00~17:30|매주 월요일, 1월 1일, 설날 및 추석날 당일|무료|김치체험장; 관광기념품점|http://kimchitown.gwangju.go.kr|한국박물관협회||
광주역사민속박물관|공립||062-613-5337~8|광주 북구 서하로 48-25|09:00~18:00|매주 월요일, 공휴일 다음날, 1월 1일|어린이 : 200원(단체 : 100원) / 청소년, 군인 : 300원(단체 : 200원) / 어른 : 500원(단체 : 400원) / ※단체 20명 이상|아트샵|http://gjfm.gwangju.go.kr|한국박물관협회|126.8884000|35.1841600
국립경주박물관|국립||054-740-7500|경북 경주시 일정로 186|10:00~18:00(일요일 및 공휴일 1시간연장)10:00~21:00(매달 마지막 주 수요일, 3월~12월 매주 토요일)|매년 1월1일, 설날, 추석|무료(상설전시관,어린이박물관, 특별전시)(* 단, 유료 특별전시는 제외)|어린이박물관; 신라미술관; 월지관|http://gyeongju.museum.go.kr|한국박물관협회||
국립경찰박물관|국립||02-3150-3681|서울 종로구 새문안로 41|09:30~17:30|매주 월요일, 1월 1일, 설, 추석연휴|무료||http://www.policemuseum.go.kr|한국박물관협회||
국립고궁박물관|국립||02-3701-7500|서울 종로구 효자로 12|09:00~18:00(입장은 17시까지) / 주말, 공휴일 09:00~19:00|매주 월요일|무료|아트샵; 레스토랑(카페)|http://www.gogung.go.kr|한국박물관협회|126.9749224|37.5766678
국립공주박물관|국립||041-850-6300|충남 공주시 관광단지길 34|10:00~18:00 / 토, 일, 공휴일, 문화가있는날(매월 마지막주 수요일) 19:00까지 / 매주 토요일(4월~10월) / 야간개장 10:00~21:00|매주 월요일(단, 월요일이 공휴일일 경우 공휴일 다음의 첫 번째 평일), 1월 1일, 설날, 추석|무료 (단, 기획전시는 경우에 따라 유료 가능)|아트샵; 매점|http://gongju.museum.go.kr|한국박물관협회||
국립광주박물관|국립||062-570-7000|광주 북구 하서로 110|10:00~18:00 / 주말, 공휴일 10:00~19:00 / 매주 토요일 야간연장 / 3월~10월 10:00~20:00|매년 1월 1일, 설날/추석 당일|무료 (단, 유료 특별전시는 제외)|아트샵; 카페|http://gwangju.museum.go.kr|한국박물관협회||
국립김해박물관|국립||055-320-6800|경남 김해시 가야의길 190|10:00~18:00 / 토, 일, 공휴일 19:00까지 / 4~10월 토요일 21:00까지|매년 1월 1일과 설날, 추석, 매주 월요일|무료|아트샵; 카페|http://gimhae.museum.go.kr|한국박물관협회||
국립나주박물관|국립||061-330-7800|전남 나주시 반남면 고분로 747|화~금요일 10:00~18:00 / 토·일요일, 공휴일 10:00~19:00|1월1일, 설날 및 추석 당일, 매주 월요일|무료 (단, 기획전시는 경우에 따라 유료 가능)|뜨락정원; 카페테리아|http://naju.museum.go.kr|한국박물관협회|126.6589953|34.9148888
국립낙동강생물자원관|국립||054-530-0700|경북 상주시 도남2길 137|09:30 ~17:30|매주 월요일, 1월1일, 설날·추석 전일 및 당일, 자원관 설립일(6.3.)|대인(만19세~64세) : 2,000원 / 청소년(만13세~18세) : 1,000원|전시시청각실|http://nnibr.re.kr|한국박물관협회||
국립대구박물관|국립||053-768-6051~2|대구 수성구 청호로 321|평일10:00~18:00 / 주말 및 공휴일 10:00~19:00 / 매월 마지막 수요일이 포함된 주의 토요일 10:00~21:00|1월 1일, 설날, 추석, 매주 월요일(단, 월요일이 공휴일, 대체휴일일 때에는 공휴일, 대체휴일 다음의 첫 번째 평일)|무료(상설전시 및 기획전시)* 단, 유료 특별 · 기획전시 제외|카페테리아; 문화상품점; 우리문화체험실 아롱다롱방; 생각놀이방·영상체험방 등|http://daegu.museum.go.kr|한국박물관협회||
국립등대박물관|국립||054-284-4857|경북 포항시 남구 호미곶면 해맞이로 150번길 20|09:00~18:00|매주 월요일, 설날, 추석당일 (단, 월요일이 공휴일인 경우 공휴일 다음의 첫번째 평일)|무료||http://www.lighthouse-museum.or.kr|한국박물관협회||
국립민속박물관|국립||02-3704-3114|서울 종로구 삼청로 37|3~5월, 9~10월 09:00~18:00 / 6~8월 09:00~18:30 / 11~2월 09:00~17:00 ※ 매월 마지막 주 수요일(문화가 있는 날) · 금요일 · 토요일 : 09:00 ~ 21:00 (20:00 까지 입장)|매년 1월1일, 설, 추석|무료|아트샵; 카페|http://www.nfm.go.kr|한국박물관협회||
국립부여박물관|국립||041-833-8562|충남 부여군 부여읍 금성로 5|10:00~18:00 / 토요일, 일요일, 공휴일은 1시간 연장 매주 토요일(4월~10월, 오전 10시 ~ 오후 9시) / 매월 마지막 주 토요일(오전 10시 ~ 오후 9시)|매주 월요일, 매년 1월 1일, 설날 및 추석 당일|무료|아트샵; 어린이박물관; 사비마루 공연장|http://buyeo.museum.go.kr|한국박물관협회||
국립산악박물관|국립||033-638-4459|강원 속초시 미시령로 3054|3월 1일 ~ 9월 30일(하절기) : 09:00 ~18:0010월 1일 ~ 2월 29일(동절기) : 09:00 ~17:00|매주 월요일, 1월1일, 설날과 추석 연휴|무료(관람료 포함)|영상실;수유실; 암벽체험실; 고산체험실; 산악교실; 거울연못; 북카페;옥상정원|http://nmm.forest.go.kr|한국박물관협회||
국립소록도병원/한센병박물관|국립||061-840-0692~3|전남 고흥군 도양읍 소록해안길 82|화-일요일 : 09:30 ~ 16:30|매주 월요일, 1월1일, 설날 및 추석 연휴|무료|복합문화센터; 카페|http://www.sorokdo.go.kr/sorokdo/board/sorokdoHtmlView.jsp?menu_cd=030…|한국박물관협회||
국립여성사전시관|국립||031-819-2288,-2299|경기 고양시 덕양구 화중로 104번길 50|매일 오전 09:00 ~ 오후 06:00|일요일, 공휴일 및 설·추석연휴 휴관|무료||http://eherstory.mogef.go.kr|한국박물관협회|126.8340366|37.6358153
국립익산박물관|국립||063-830-0900|전북 익산시 금마면 미륵사지로 362|09:00~18:00|1월1일, 설날·추석 당일, 매주 월요일 ※월요일이 공휴일인 경우 개관하고 다음 평일에 휴관|무료|뮤지엄샵; 세미나실; 아기방; 물품보관함 등|https://iksan.museum.go.kr|한국박물관협회||
국립일제강제동원역사관|국립||051-629-8600|부산 남구 홍곡로 320번길 100|오전 10시 ~ 오후 6시|월요일, 1월 1일, 설날 및 추석 당일(월요일이 공휴일인 경우 다음 평일)|무료|교육실; 멀티미디어; 도서관; 영상실; 수유실; 의료실; 추모탑; 기획전시실|http://museum.ilje.or.kr|한국박물관협회||
국립전주박물관|국립||063-223-5651~2|전북 전주시 완산구 쑥고개길 249|10:00~18:00(토, 일, 공휴일 1시간 연장) / 3월~10월 매주 토요일 야간개장(21:00까지)|1월 1일,  설날, 추석날 (2017년 1월부터 월요일에도 개관합니다)|무료 (특별전시는 유료일 경우도 있음)|뮤지엄샵; 카페|http://jeonju.museum.go.kr|한국박물관협회|127.0897170|35.8013325
국립제주박물관|국립||064-720-8000|제주 제주시 일주동로 17|09:00~18:00|매주 월요일, 매년 1월 1일, 설날, 추석|무료(상설전시실, 어린이체험관, 특별전시) 유료 특별 전시 제외|아트샵; 카페|http://jeju.museum.go.kr|한국박물관협회|126.5488630|33.5134250
국립조세박물관|국립||044-204-4646|세종 국세청로 8-14|09:00~18:00 (마감 한 시간 전 입장)매달 마지막 수요일은 문화가 있는 날로 개장시간이 연장 됩니다.(8시 마감)|월요일, 법정 공휴일|무료|교육실|http://nts.go.kr/museum/|한국박물관협회||
국립중앙과학관|국립||042-601-7894~6|대전 유성구 대덕대로 481|09:30~17:50|매주 월요일, 신정(1. 1./화), 설날(2. 5./화), 추석(9. 13./월) 당일|창의나래관 : 어른, 노인 : 2,000원(단체 : 1,000원) / 청소년, 어린이, 유아 : 1,000원(단체 : 500원) / 자기부상열차관(편도) : 어른, 노인 : 1,000원 / 청소년, 어린이, 유아 : 500원 / 천체관 : 어른, 노인 : 1,000원(단체 : 500원) / 청소년, 어린이, 유아 : 500원(단체 : 200원) / 꿈아띠체험관 : 어른, 노인 : 2,000원 / 유아, 영아 : 1,000원(단체 : 500원) / ※단체 30명 이상|레스토랑; 카페; 수유실; 물품보관; 매점 기념품점; 휴게시설|http://www.science.go.kr|한국박물관협회|127.3751836|36.3754845
국립중앙극장공연예술박물관|국립||02-2280-5804|서울 중구 장충단로 59|화요일 ~ 일요일 : 오전 10시 ~ 오후 6시|매주 월요일, 1월 1일|무료|공연예술자료실|https://www.ntok.go.kr|한국박물관협회|127.0005199|37.5539293
국립중앙박물관|국립||02-2077-9000|서울 용산구 서빙고로 137|월, 화, 목, 금, 일요일, 공휴일 : 10:00 ~ 18:00수, 토요일 : 18:00 ~ 21:00|1월 1일, 설날, 추석상설전시실 정기휴실일 : 매년 4, 11월 첫째 월요일|무료(상설전시관, 어린이박물관, 무료 특별전시)유료(유료 기획전시)|아트샵; 레스토랑; 카페; 어린이박물관; 극장'용';|http://www.museum.go.kr|한국박물관협회|126.9803881|37.5240867
국립진주박물관|국립||055-742-5951|경남 진주시 남강로 626-35|10:00~18:00 / 주말, 공휴일 1시간 연장 / 4~10월 매주 토요일 21:00까지|매주 월요일, 매년 1월 1일, 설·추석 당일|무료 * 국립진주박물관은 진주성 안에 위치하고 있습니다. 진주시민이 아닌 박물관 이용객은 박물관 관람을 위해 진주성 입장요금이 필요합니다. 진주성 입장료는 진주시민은 무료, 그 외 지역의 관람객 입장료는 아래와 같다.성인（개인:2,000원 / 단체: 1,400원)청소년, 군인(개인: 1,000원 / 단체: 600원)초등학생(개인: 600원 / 단체 400원)7세미만 어린이, 65세이상 어른, 장애인복지카드, 국가유공자증 소지자는 무료|아트샵; 카페; 3D 입체영상관|http://jinju.museum.go.kr|한국박물관협회|128.0768992|35.1888089
국립청주박물관|국립||043-229-6300|충북 청주시 상당구 명암로 143|화요일 ~ 금요일 : 오전 10시 ~ 오후 6시 토요일(4월~10월) : 오전 10시 ~ 오후 9시 토요일(1월~3월, 11월~12월) 일요일, 공휴일 : 오전 10시 ~ 오후 7시|매주 월요일, 1월 1일, 설날 및 추석 당일※단, 월요일이 공휴일일 때에는 공휴일 다음의 첫 번째 평일|무료, 관람권을 받은 뒤 입장|매점|http://cheongju.museum.go.kr|한국박물관협회|127.5119730|36.6497326
국립춘천박물관|국립||033-260-1500|강원 춘천시 우석로 70|평일 : 10:00~18:00 / 주말, 공휴일 10:00~19:00 / 문화가 있는 날(매월 마지막주 수요일) : 10:00~21:00|매년 1월 1일, 설날 및 추석 당일, 매주 월요일|무료|카페테리아; 기념품 판매점; 문화놀이터; 어린이문화사랑방|http://chuncheon.museum.go.kr|한국박물관협회|127.7538801|37.8639007
국립태권도박물관|국립||063-320-0114|전북 무주군 설천면 무설로 1482 태권도원 내|※ 하절기 (3월 ~ 10월) 화~금 : 10시 ~ 18시 / 주말,공휴일 10시 ~19시※ 동절기 (11월 ~ 2월) 화~금 : 10시 ~ 17시 / 주말,공휴일 10시 ~ 18시|정기휴관 : 매주 월요일 (단, 월요일이 공휴일인 경우 다음날 휴관) / 1월1일, 설.추석 전일 및 당일|태권도원 입장 시 무료|의무실; 수유실; 갤러리카페|https://museum.tkdwon.kr|한국박물관협회|127.7754010|36.0091380
국립한글박물관|국립||02-2124-6200|서울 용산구 서빙고로 139|월~일요일 : 오전 10시~오후 6시토요일, 문화가 있는 날 (매 달 마지막 수요일) : 오전10시~오후9시|새해 첫날(1.1.), 설날 당일, 추석 당일|무료|한글도서관; 한글놀이터; 한글배움터; 별관|http://www.hangeul.go.kr|한국박물관협회|126.9809191|37.5211823
국립해양문화재연구소|국립||061-270-2000|전남 목포시 남농로 136|09:00~18:00(3월~10월 중 주말 및 공휴일 19:00까지)|매주 월요일|무료|아트샵|http://www.seamuse.go.kr|한국박물관협회|126.4220755|34.7917050
국립해양박물관|국립||051-309-1900|부산 영도구 해양로301번길 45|평일, 일요일 : 09:00~18:00 / 토요일 : 09:00~21:00|매주 월요일(월요일이 공휴일인 경우 익일 휴관) 설날(전날, 다음날 포함), 추석(전날, 다음날 포함)이 다른 공휴일과 겹치거나 - 어린이날이 토요일 또는 다른 공휴일과 겹칠 경우 그 날 다음의 첫 번째 비공휴일을 대체 공휴일로 함|무료(단, 4D영상관, 유료특별전시 제외)|해양도서관; 어린이박물관; 4D영상관; 뮤지엄샵; 푸드코트; 야외광장 등|https://www.knmm.or.kr/|한국박물관협회|129.0802743|35.0785431
국립해양생물자원관/씨큐리움|국립||041-950-0600|충남 서천군 장항읍  장산로101번길 75|3월~10월 : 09:30~18:00 / 11월~2월 : 09:30~17:00 / * 관람종료 1시간 전까지 입장가능 / * 토요일, 공휴일(일요일 제외) 1시간 연장 운영|1월 1일, 설날, 추석, 매주 월요일(월요일이 공휴일인 경우 그 다음 평일)|성인 : 3,000원 / 청소년 2,000원 / 어린이 : 1,000원 65세 이상(신분증 지참), 장애인(인솔자 1인 포함), 국가유공자 및 기초수급대상자, 5세 미만 유아 : 무료 * 서천군민 50% 할인 / * 단체(20인 이상) 500원 할인 / * 4D영상실 : 1,000원|4D영상실; 카페테리아; 기념품점|http://www.mabik.re.kr|한국박물관협회||
군산근대역사박물관|공립||063-454-7870|전북 군산시 해망로 240|09:00~18:00(입장은 폐관 30분 전까지 가능)※ 동절기(11월~2월) : 09:00~17:00※ 토요일 3시간 연장 야간운영|1월 1일|통합권(4개 시설)성인 3,000원 / 청소년 2,000원 / 어린이 1,000원- 단체 할인, 각 시설별 입장권 가능 - 무료입장 : 국가유공자, 장애인, 경로(65세 이상), 영유아(만6세 미만)|근대미술관; 근대건축관; 진포해양테마공원; 장미갤러리; 장미공연장; 미즈상사|http://museum.gunsan.go.kr|한국박물관협회||
금산역사문화박물관|공립||041-750-2386|충남 금산군 금산읍 금산로 1575|09:00~18:00|매주 월요일, 1월 1일|무료|기획전시실; 어린이체험실|http://geumsan.go.kr/museum/|한국박물관협회||
기지시줄다리기박물관|공립||041-350-4929|충남 당신시 송악읍 안틀모시길 11|10:00~18:00|매주 월요일, 공휴일 다음날, 설·추석 당일|무료||http://gijisijuldaligi.dangjin.go.kr|한국박물관협회|126.6947579|36.8962319
김중업건축박물관|공립||031-687-0909|경기 안양시 만안구 예술공원로 103번길 4|09:00~18:00|매주 월요일(월요일이 공휴일인 경우 익일 휴관), 설·추석 당일|무료|아트샵; 레스토랑; 카페|http://www.ayac.or.kr/museum|한국박물관협회|126.9182578|37.4184149
김천세계도자기박물관|공립||054-420-6726|경북 김천시 대항면 직지사길 118|09:00~18:00|매주 월요일, 1월 1일, 설·추석 연휴|일반 : 1,000원(단체 : 700원) / 초·중·고등학생 : 500원(단체 : 300원) / ※단체 20명 이상||http://www.gimcheon.go.kr/mini/museum|한국박물관협회|128.0111963|36.1167813
김천시립박물관|공립||054-421-1510|경북 김천시 대항면 직지사길 130|09:00~18:00|매주 월요일(월요일이 공휴일인 경우 익일 휴관), 1월 1일, 설날·추석 당일|성인 1,000 / 청소년 및 군인 500원|강당; 세미나실; 휴게실|https://www.gc.go.kr/museum|한국박물관협회||
남도향토음식박물관|공립||062-410-6642|광주 북구 설죽로 477|09:00~18:00|매주 월요일, 공휴일|무료|아트샵|http://bukgu.gwangju.kr/namdofood|한국박물관협회|126.8983625|35.2019096
남양주시립박물관|공립||031-590-8600|경기 남양주시 와부읍 팔당로 121|10:00~18:00 ※ 입장마감: 17:30|매주 월요일, 1월 1일, 설․추석 당일|무료||http://nyj.go.kr/culture/1740|한국박물관협회|127.2443979|37.5463740
남원향토박물관|공립||063-620-5797|전북 남원시 양림길 14-9|동절기 09:00~18:00 / 하절기 09:00~18:00|매주 월요일|무료|춘향테마파크|http://www.nwmuseum.or.kr|한국박물관협회|127.3870909|35.4017971
남해유배문학관|공립||055-860-8888|경남 남해군 남해읍 남해대로 2745|09:00~18:00|매주 월요일, 1월 1일, 설, 추석|어린이 : 1,000원(단체 : 500원) / 청소년, 군인 : 1,500원(단체 : 1,000원) / 일반 : 2,000원(단체 : 1,500원) / ※단체 20명 이상 / ※미취학아동, 65세 이상 : 무료|아트샵; 음료 휴게실|http://yubae.namhae.go.kr|한국박물관협회|127.8991379|34.8319303
대가야박물관|공립||054-950-7103|경북 고령군 고령읍 대가야로 1203|하절기 09:00~18:00 / 동절기 09:00~17:00|매주 월요일|일반 : 2,000원(단체 : 1,800원) / 초·중·고등학생 : 1,500원(단체 : 1,200원) / ※단체 20명 이상||http://www.daegaya.net|한국박물관협회|128.2571806|35.7230946
대구교육박물관|공립||053-231-1790|대구 북구 대동로 1길 40|09:30~18:00 (입장은 관람 종료 1시간 전까지)|1월 1일, 설날, 추석, 월요일|무료||http://www.dge.go.kr/dme/|한국박물관협회||
대구근대역사관|공립||053-606-6430|대구 중구 경상감영길 67|09:00~18:00 / 4월~10월 19:00까지|매주 월요일(월요일이 공휴일인 경우 익일 휴관), 1월 1일, 설·추석 당일|무료||http://artcenter.daegu.go.kr/dmhm/|한국박물관협회|128.5911492|35.8717627
대구섬유박물관|공립||053-980-1004|대구 동구 팔공로 227|평일 9:00~18:00 / 주말·공휴일 9:00 ~ 18:00(※관람권 발급시간 : 관람 종료 1시간 전까지)|1월1일, 설날 및 추석당일, 매주 월요일(※단, 월요일이 공휴일일 경우 공휴일 다음의 첫 번째 평일에 휴관)|무료(※단, 유료 기획전시는 예외)|다목적홀; 세미나실; 섬유정보실; 어린이체험실|http://dtmuseum.org|한국박물관협회|128.6402102|35.9190411
