##NAME|TYPE|SUBNAME|TELNUM|NEWADDR|OT|OFFDAY|COST|FEAT|WEBSITE|SOURCE2|XCOORD|YCOORD@@미술관
대산미술관|사립||055-291-5237|경남 창원시 의창구 대산면 유등로 369 14-8|09:00~18:00|매주 월요일|일반, 어린이 : 1,000원||http://www.daesanart.com|한국박물관협회|128.7441649|35.3449347
동아대학교석당미술관|대학||051-200-8749|부산 서구 구덕로 225 동아대학교부민캠퍼스|화요일~일요일(09:30 ~ 17:00)|개교기념일, 법정공휴일, 월요일|무료|휴게실; 주차장|http://museum.donga.ac.kr|한국박물관협회|129.0193225|35.1047113
리미술관|사립||055-835-2015|경남 사천시 사천읍 읍내로 52 2층, 3층|* 관람시간 : 09:30~18:00(입장시간 : 관람종료 1시간 전까지)|매주 일요일, 월요일|* 관람료 : 대인 4,000원(대학생 포함) 청소년 3,000원 소인 2,000원  - 단 체 30인 이상 : 20% 할인   - 장애인, 국가유공자 : 20% 할인 (관련증 소지자)  - 사천 시민 : 50% 할인 (주민등록증 필수 지참)|전시실; 학예실; 교육실; 다목적전시실|http://sacheonlee-artmuseum.com|한국박물관협회||
모긴미술관|사립||061-781-4600|전남 순천시 황전면 장터길 39|하절기 : 10:00~18:00동절기 : 10:00~17:00|매주 월요일, 1월 1일||전시실; 학예연구실; 자료실; 세미나실; 체험학습실; 창고 ; 숙직실; 수장고; 창고; 화장실|http://mogin.or.kr|한국박물관협회||
모란미술관|사립||031-594-8001~2|경기 남양주시 화도읍 경춘로 2110번길 8|5월~8월 09:30~18:30 / 3월, 10월 17:30 / 4월, 9월 18:00 / 11월~2월 17:00까지|매주 월요일|일반 : 3,000원(단체 2,500원) / 청소년 : 2,000원(단체 : 1,500원) / 어린이 : 1,500원(단체 : 1,000원) / ※단체 20명 이상||http://www.moranmuseum.org|한국박물관협회|127.3243169|37.6505502
모산조형미술관|사립||041-933-8100|충남 보령시 성주면 성주산로 673-24|09:00~18:00|연중무휴|무료|카페|http://www.mosanmuseum.org|한국박물관협회|126.6578241|36.3111571
무등현대미술관|사립||062-223-6677|광주 동구 중심사길 9|하절기 10:00~18:00동절기 10:00~17:30|매주 월요일, 1월 1일, 설ㆍ추석 당일|일반 : 1,000원(단체 : 700원) / 학생 : 500원(단체 : 300원) / ※단체 20명 이상|아트샵|http://mdmoca.co.kr|한국박물관협회|126.9537125|35.1341987
밀알미술관|사립||02-3412-0062|서울 강남구 일원로 90|09:30~17:00|공휴일|무료||http://milalmuseum.or.kr|한국박물관협회|127.0822266|37.4859382
백영수미술관|사립||031-873-4613|경기 의정부시 안말로58번안길 55-1|10시~18시|매주 월요일 ,신정, 구정, 추석|일반:5000, 의정부시민:4000, 학생(초중고)·군인:3000, 미취학·다자녀·예술인카드:2000, 4세 미만:무료||https://blog.naver.com/pysmuseum|한국박물관협회||
보름산미술관|사립||031-985-0005|경기 김포시 고촌읍 수기로 100-78|하절기 10:00~18:00 / 동절기 10:00~17:00 / 일요일은 13:00부터|매주 월요일, 1월 1일, 설·추석 연휴|일반 : 2,000원|카페; 서점 및 작은도서관|http://www.boroomsan.com|한국박물관협회|126.7608751|37.5962761
블루메미술관|사립||031-944-6324|경기 파주시 탄현면 법흥리 헤이리마을길 59-30|화~토요일 11:00~18:00 / 일요일 13:00~18:00|매주 월요일, 1월 1일, 설ㆍ추석 당일|어른 : 3,000원(단체 : 2,000원) / 학생 : 2,000원(단체 : 2,000원) / ※단체 10명 이상|아트샵; 카페|http://www.bmoca.or.kr|한국박물관협회|126.6965935|37.7892759
사비나미술관|사립||02-736-4371,4410|서울 은평구 진관1로 93|10:00~18:30 (17:30 입장마감)|매주 월요일|어린이/청소년 (4세-19세) : 5,000원 / 성인(19세~65세 미만) : 8,000원 / ※단체 20명 이상 : 1,000원 할인 / 경로우대 (65세 이상), 장애우(동반 1인), 국가유공자 : 50%할인(신분증 반드시 지참)||http://www.savinamuseum.com/kor/index.action|한국박물관협회|126.9845743|37.5765746
상원미술관|사립||02-396-3185|서울 종로구 평창31길 27|10:30~17:30|매주 일·월요일, 공휴일|일반(19~64세) : 2,000원(단체 : 1,800원) / 청소년, 어린이(3~18세) : 1,000원(단체 : 900원) / 65세 이상, 3세 미만, 장애인,국가 유공자 등 : 무료 / ※단체 20명 이상||http://www.imageroot.co.kr|한국박물관협회|126.9765813|37.6116822
서호미술관|사립||031-592-1865|경기 남양주시 화도읍 북한강로 1344|하절기 10:00~19:00동절기 10:00~18:00|설·추석 연휴|일반 : 2,000원(단체 : 1,500원) / ※단체 20명 이상|아트샵; 레스토랑; 카페|http://www.seohoart.com|한국박물관협회|127.3514840|37.6327890
석봉도자기미술관|사립||033-638-7711~2|강원 속초시 엑스포로 156|||||http://www.dogong.net|한국박물관협회||
선바위미술관|사립||02-507-8588|경기 과천시 무네미길 34|10:00~17:00|매주 월요일|초등학생 : 2,000원(단체 : 1,000원) / 중·고등학생 : 3,000원(단체 : 2,000원)||http://www.seonbawi.com|한국박물관협회|126.9993546|37.4517446
성곡미술관|사립||02-737-7650|서울 종로구 경희궁길 42|10:00~18:00 매주 월요일||성인, 대학생 : 3,000원(단체 : 2,000원) / 초·중·고등학생, 장애인, 국가유공자 : 2,000원(단체 : 1,000원) / ※단체 20명 이상65세 이상, 7세 미만 : 무료|조각공원 ; 세미나실|http://www.sungkokmuseum.com|한국박물관협회|126.9694964|37.5732338
성암미술관|사립||042-822-7882|대전 유성구 온천동로 19-1||공휴일 휴무 1월 1일, 설연휴|성인 : 4,000원|||한국박물관협회||
소다미술관|사립||070-8915-9127|경기 화성시 효행로707번길 30|화요일-일요일하절기 3-10월 10:00AM – 19:00PM동절기 11-2월 10:00AM – 18:00PM|월요일|유료|아트테이너; 교육실; 카페; 아트샵; 잔디광장|http://museumsoda.org|한국박물관협회||
소마미술관|사립||02-425-1077|서울 송파구 올림픽로 424|10:00~18:00|매주 월요일, 1월 1일, 설·추석 당일, 전시 준비기간|어린이(4~12세) : 1,000원(단체 : 500원) / 청소년(13~18세) : 2,000원(단체 : 1,000원) / 성인(19~64세) : 3,000원(단체 : 1,500원) / ※단체 20명 이상|아트샵; 카페; 세미나실; 예술아카데미; 드로잉센터|http://soma.kspo.or.kr/|한국박물관협회|127.1182342|37.5168777
소전미술관|사립||031-313-1211|경기 시흥시 소래산길 41|하절기(3월~10월) 10:00~17:00 / 동절기(11월~2월) 10:00~16:00|매주 일, 월요일|일반 : 3,000원 / 청소년 : 2,000원 / 초등학생 이하 : 1,000원||http://www.sojeonmuseum.org/|한국박물관협회|126.7854559|37.4519557
수지미술관|사립||063-631-1009|전북 남원시 수지면 물머리로 525|매일 10:00 - 18:00|월요일|성인 :3,000원||http://sujimuseum.com|한국박물관협회||
쉐마미술관|사립||043-221-3269|충북 청주시 청원구 내수로 241|9:30~18:00|매주 월요일|무료||http://www.schemaart.net|한국박물관협회|127.4999780|36.6951080
시안미술관|사립||054-338-9391~3|경북 영천시 화산면 가래실로 364|10:30~18:00|매주 월요일, 명절, 임시휴관일–별도공지|초·중·고등학생 : 2,000원(단체 : 1,500원) / 성인 : 3,000원(단체 : 2,500원) / 미취학 무료(※보호자동반원칙) / ※단체 20명 이상 / ※문화가있는날(마지막주 수요일) : 무료|아트샵; 카페; 캠핑장|http://www.cyanmuseum.org|한국박물관협회|128.8895279|36.0324735
신풍미술관|사립||054-653-9329|경북 예천군 지보면 신풍1리길 50|10:00~17:00|1월 1일, 추석|청소년 및 아동 : 1,000원(단체 : 500원) / 성인 : 2,000원(단체 : 1,000원) / ※단체 20명 이상|게스트하우스 3채|http://sinpungartm.org|한국박물관협회|128.4367823|36.5399319
아모레퍼시픽미술관|사립||02-6040-2345|서울 용산구 한강대로 100|화-일 10:00~18:00(발권은 관람종료 30분전까지 가능)|매주 월요일  / 매년 1월 1일 / 설,추석 연휴|성인 : 12,000원 / 대학(원)생, 학예사 자격취득자 : 8,000원 / 초,중,고등학생 : 7,000원 / 국가유공자, 장애인(보호자 1명 포함) 만 3~7세 미만, 만 65세 이상 : 6,000원 / ICOM 소지자 : 무료||http://apma.amorepacific.com|한국박물관협회||
아천미술관|사립||061-472-9220|전남 영암군 신북면 하정길 12-7|09:30~18:00||무료||http://www.achen.kr/|한국박물관협회|126.7046931|34.8893794
안상철미술관|사립||031-874-0734|경기 양주시 백석읍 권율로 905|화요일~일요일 : 11:00~17:00|매주 월요일 / 명절(설, 추석)|청소년·군인 : 1,000원(단체 : 500원) / 일반 : 3,000원(단체 : 1,000원) / ※단체 20명 이상||http://www.ahnsangchul.co.kr|한국박물관협회|126.9570625|37.7784250
영은미술관|사립||031-761-0137|경기 광주시 청석로 300|하절기 10:00~18:00 / 동절기 10:00~18:30|매주 월요일, 1월 1일, 설·추석 연휴|일반성인(20세이상) : 6,000원(단체 : 5,000원) / 초·중·고등학생 : 4,000원(단체 : 3,000원) / 유아 (4~7세) : 3,000원(단체 : 2,000원) / 장애인 : 무료 , 경기도 광주시민, 경로(65세 이상) : 일반관람료 50% / ※단체 20명 이상|아트샵; 카페|http://www.youngeunmuseum.org|한국박물관협회|127.2687526|37.4125635
예술의전당/한가람디자인미술관|사립||02-580-1705~6|서울 서초구 남부순환로 2406|하절기 11:00~20:00 / 동절기 11:00~19:00|매월 마지막주 월요일|무료(기획전은 유료)|아트샵; 레스토랑; 카페|http://www.sac.or.kr|한국박물관협회|127.0125692|37.4799011
예술의전당/한가람미술관|사립||02-580-1600~1|서울 서초구 남부순환로 2406|하절기 11:00~20:00 / 동절기 11:00~19:00|매월 마지막주 월요일|무료(기획전은 유료)|아트샵; 레스토랑; 카페|http://www.sac.or.kr|한국박물관협회|127.0142551|37.4803295
왈종미술관|사립||064-763–3600|제주 서귀포시 칠십리로 214번길 30|하절기 (04월-08월) : 09:30~18:30 (17:30까지 입장가능)동절기 (09월-03월) : 10:00~18:00 (17:00까지 입장가능)|없음|일반 5000원 / 할인 3000원|커피샵; 아트샵|http://walartmuseum.or.kr|한국박물관협회||
우제길미술관|사립||062-224-6601|광주 동구 의재로 140-6|10:00~18:00|매주 월요일, 공휴일|무료|아트샵; 카페|http://www.wooart.co.kr|한국박물관협회|126.9430401|35.1317899
우종미술관|사립||061-804-1092|전남 보성군 조성면 조성3길 338|10:00~18:00|매주 월, 화요일|성인 : 2,000원(단체 : 1,400원) / 취학아동, 청소년, 군인 : 1,000원 / ※단체 10명 이상|아트샵|http://www.ujongart.com|한국박물관협회|127.2218889|34.8170667
우주미술관|사립||055-855-0612|경남 사천시 정동면 사천강1길 3|연중 매일|매주 월요일 / 1월 1일 / 설날 및 추석|성인 : 5,000원||http://ujumuseum.com|한국박물관협회||
은암미술관|사립||062-226-6677|광주 동구 서석로 85번길 8-12|09:00~18:00|매주 일요일, 공휴일|무료||http://eunam.org|한국박물관협회|126.9206184|35.1500982
의재미술관|사립||062-222-3040|광주 동구 증심사길 155|하절기 09:30~17:30 / 동절기 09:30~17:00|매주 월요일, 1월 1일, 설, 추석|일반 : 2,000원(단체 : 1,000원) / 청소년 : 1,000원(단체 : 500원) / 65세 이상, 미취학 아동 : 무료 / ※단체 20명 이상||http://www.ujam.org|한국박물관협회|126.9674500|35.1293900
이영미술관|사립||031-213-8223|경기 용인시 기흥구 홍덕 4로 63|10:00~18:00 / 동절기 17:00까지|매주 월요일|일반 : 개인 9,000원 / 초·중·고등학생 : 5,000원(단체 : 4,000원) / 어린이 : 3,500원(단체 3,000원) / ※단체 20명 이상|아트샵; 카페; 매점; 야외공원|http://www.icamkorea.org|한국박물관협회|127.0899250|37.2773917
인덕대학교아정미술관|대학||02-950-7331|서울 노원구 초안산로 12 은봉관 1층|10:00~17:00|주말, 공휴일|무료|카페||한국박물관협회|127.0550871|37.6308130
일민미술관|사립||02-2020-2050|서울 종로구 세종대로 152|11:00~19:00|매주 월요일, 설ㆍ추석 당일|어른 : 2,000원(단체 : 1,000원) / 청소년 : 1,000원(단체 : 500원) / ※단체 20명 이상|아트샵; 카페; 기둥서점|http://www.ilmin.org|한국박물관협회||
일현미술관|사립||033-670-8450|강원 양양군 손양면 선사유적로 359|10:00~18:00|매주 월요일|성인 : 2,000원(단체 : 1,500원) / 초 · 중 · 고등학생 : 1,500원(단체 : 1,000원) / ※단체 20명 이상|카페|http://www.ilhyunmusum.or.kr|한국박물관협회|128.6789879|38.0605805
자하미술관|사립||02-395-3222|서울 종로 창의문로 5가길 46|10:00~18:00|매주 월요일|구분없음 1,000원||http://www.zahamuseum.com|한국박물관협회|126.9602740|37.5893582
장수미술관|사립||063-351-3383|전북 장수군 계남면 장안산로 317|매주 화~토 : 10시 - 17시 (점심시간 : 12시 - 13시)|매주 일, 월, 1월 1일, 설날·추석연휴|||http://jsmuseum.kr|한국박물관협회||
장전미술관|사립|구 남진미술관|061-543-0777|전남 진도군 임회면 하미길 39|09:30~18:00||초·중·고등학생 : 1,000원(단체 : 500원) / 성인 : 2,000원(단체 : 1,500원) / ※단체 20명 이상|차; 커피; 음료 무료제공|http://cafe.daum.net/NamjinMuseum|한국박물관협회||
전주미술관|사립||063-283-8887|전북 전주시 완산구 풍남문4길 25-26 성원오피스텔 B1|10:00~18:00|매주 월요일, 1월 1일, 설, 추석|성인 : 3,000원 / 청소년 : 2,000원 / 어린이 : 1,000원 / ※단체 20명 이상 20% 할인|아트샵|http://www.jeonjumuseum.com/|한국박물관협회|127.1540657|35.8170359
주안미술관|사립||062-222-2083|광주 동구 제봉로 197|매일 10:00 - 19:00|설날, 추석 당일 휴무|무료|카페|http://blog.naver.com/juanartmuseum|한국박물관협회||
죽포미술관|사립||031-881-5905|경기 여주군 산북면 고촌길 26-10|10:00~16:00|동절기(1~2월) : 온라인 전시|무료||http://www.jpmuseum.co.kr|한국박물관협회|127.4429808|37.4089730
토탈미술관|사립||02-379-7037|서울 종로구 평창 32길 8|11:00~18:00|매주 월요일, 공휴일|일반 : 3,000원(단체 : 2,000원) / ※단체 20명 이상|아트샵; 카페|http://www.totalmuseum.org|한국박물관협회|126.9756892|37.6121236
포스코미술관|사립||02-3457-1665|서울 강남구 테헤란로 440 포스코센터 B1|월~금요일 10:00~19:00 / 토요일 11:00~16:00|매주 일요일, 공휴일|무료||http://www.poscoartmuseum.org|한국박물관협회|127.0558879|37.5057694
하슬라미술관|사립||033-644-9411|강원 강릉시 강동면 정동진리 율곡로 1441|09:00~18:00|연중무휴|야외미술관 : 6,000원(단체 : 5,000원) / 실내미술관 : 7,000원(단체 : 6,000원) / 통합이용권 : 10,000원(단체 : 9,000원) / ※단체 30명 이상|아트샵; 레스토랑; 카페|http://museumhaslla.com|한국박물관협회|129.0090795|37.7055666
학명미술관|사립||061-433-5578|전남 강진군 성전면 월남3길 78-2|화~토 : 10:00 ~ 18:00일요일 : 09:00 ~ 12:00|월요일|무료|||한국박물관협회||
한국미술관|사립||031-283-6418|경기 용인시 기흥구 마북로 244-2|하절기 10:00~18:00 / 동절기 10:00~17:00|매주 월요일, 설, 추석|일반 : 3,000원(단체 : 2,700원) / 학생 : 2,000원(단체 : 1,800원) / 어린이: 1,000원(단체 : 900원) / ※단체 20명 이상|아트샵; 카페|http://www.hartm.com|한국박물관협회|127.1319013|37.3089777
한미사진미술관|사립||02-418-1315|서울 송파구 위례성대로 14 한미타워 19, 20층|10:00~19:00 / 목요일 10:00~21:00토요일, 공휴일 11:00~18:30|매주 일요일, 설ㆍ추석 연휴|일반 : 6,000원(단체 : 5,000원) / 초·중·고등학생 : 5,000원(단체 : 4,000원) / 사진학과 대학생 : 5,000원 / ※10명 이상, 송파구민 할인||http://photomuseum.or.kr|한국박물관협회|127.1141094|37.5166295
해움미술관|사립||031-252-9194|경기 수원시 팔달구 매산로 133|10:30~17:00|매주 월요일|기획전, 특별전에 한에 관람료 유료|아트샵; 카페|http://www.haeum.kr|한국박물관협회|127.0149492|37.2722296
행촌미술관|사립||061-533-3663|전남 해남군 해남읍 해남로 45|9:00-21:00|연중무휴|무료||http://haengchon.or.kr/|한국박물관협회||
향암미술관|사립||054-787-0001,-8|경북 울진군 온정면 백암온천로 1388|하절기 09:00~18:30 / 동절기 09:30~17:00|매주 월, 목요일|초등학생 : 1,000원(단체 : 500원) / 중·고등학생 : 1,500원(단체 : 1,000원) / 일반 : 2,000원(단체 : 1,500원) / ※단체 20명 이상|레스토랑|http://www.hyangam.co.kr|한국박물관협회|129.3545681|36.7182089
호암미술관|사립||031-320-1801~2|경기 용인시 처인구 포곡읍 에버랜드로 562번지길 38|10:00~18:00|매주 월요일, 1월 1일, 설·추석 연휴|일반(대학생 포함) : 4,000원(단체 : 3,000원) / 청소년 : 3,000원(단체 : 2,000원) / ※단체 20명 이상|아트샵; 카페|http://hoam.samsungfoundation.org|한국박물관협회|127.1916239|37.2945228
환기미술관|사립||02-391-7701|서울 종로구 자하문로 40길 63|10:00~18:00|매주 일요일, 설ㆍ추석 연휴|매 전시마다 관람료 다름|아트샵; 카페; 교육동|http://www.whankimuseum.org|한국박물관협회|126.9661218|37.5940981
