##NAME|SUBNAME|ETCNAME|TELNUM|NEWADDR|SINCE|WEBSITE|SOURCE2@@대형예술센터
남동소래아트홀|||032-460-0560|인천광역시 남동구 아암대로1437번길 32(논현동)|2011년 11월 17일|http://www.namdongarts.kr|한국문화예술회관연합회
아트센터 인천|||032-453-7700|인천 연수구 아트센터대로 222|2018.11.16|http://www.aci.or.kr/|한국문화예술회관연합회
인천 중구문화회관|||032-760-6400|인천광역시 중구 축항대로 296번길 81(신흥동 3가 39-24)|2012년 9월 21일|http://www.icjg.go.kr/artcenter/|한국문화예술회관연합회
인천광역시교육청학생교육문화회관|||032-760-3400|인천광역시 중구 자유공원로 12 (인현동 5)|2004년 10월 7일|http://www.iecs.go.kr|한국문화예술회관연합회
인천문화예술회관|||032-427-8401~5|인천광역시 남동구 예술로 149|1994년 4월 8일|https://art.incheon.go.kr/index.do|한국문화예술회관연합회
인천수봉문화회관|||032-866-2019|인천광역시 남구 수봉안길 78|1982.06.25|http://www.artin.or.kr|한국문화예술회관연합회
강화문예회관|||032-930-7046|인천광역시 강화군 강화읍 고비고개로19번길 12|1991.12.12|http://www.ghss.or.kr/|한국문화예술회관연합회
경기아트센터|||031-230-3200|경기도 수원시 팔달구 효원로 307번길 20|1991년 6월|http://www.ggac.or.kr|한국문화예술회관연합회
고양어울림누리||고양문화재단|1577-7766|경기도 고양시 일산동구 중앙로 1286|2004년  9월 1일|http://www.artgy.or.kr|한국문화예술회관연합회
고양아람누리||고양문화재단|1577-7766|경기도 고양시 일산동구 중앙로 1286|2004년  9월 1일|http://www.artgy.or.kr|한국문화예술회관연합회
광명시민회관||광명문화재단|02-2621-8800|경기도 광명시 시청로 20, 광명시민회관(철산동)|1989.12.28|http://www.gmcf.or.kr|한국문화예술회관연합회
군포문화예술회관||군포문화재단|031-390-3500|경기도 군포시 고산로 599|1998년 5월 7일|http://www.gunpoart.net|한국문화예술회관연합회
김포아트홀||김포문화재단|031-996-1603|경기도 김포시 돌문로 26|김포아트홀 : 2014년 4월 1일통진두레문화센터 : 2008년 3월 1일|https://www.gcf.or.kr|한국문화예술회관연합회
부천시민회관||부천문화재단|032-652-5848|경기도 부천시 원미구 부일로 365(중동)|1987년 12월 1일|http://www.bcf.or.kr|한국문화예술회관연합회
성남아트센터||성남문화재단|031-783-8000|경기도 성남시 분당구 성남대로 808번지|2005년 10월 14일|http://www.snart.or.kr|한국문화예술회관연합회
수원SK아트리움||수원문화재단|031-250-5300|경기도 수원시 장안구 이목로24-25|2014.3.7|http://www.suwonskartrium.or.kr/|한국문화예술회관연합회
안산문화예술의전당||안산문화재단|031-481-4000|경기도 안산시 화랑로 312|2004년 10월 2일|http://www.ansanart.com|한국문화예술회관연합회
안양아트센터||안양문화예술재단|031-687-0500|경기도 안양시 만안구 문예로 36번길 16(안양동)?|안양아트센터: 1989년 12월 5일, 평촌아트홀: 2004년 9월 1일|http://www.ayac.or.kr|한국문화예술회관연합회
평촌아트홀||안양문화예술재단|031-687-0500|경기도 안양시 만안구 문예로 36번길 16(안양동)?|안양아트센터: 1989년 12월 5일, 평촌아트홀: 2004년 9월 1일|http://www.ayac.or.kr|한국문화예술회관연합회
세종국악당||여주세종문화재단|031-881-9682|경기도 여주시 영릉로 125|1991년7월5일|http://www.yjcf.or.kr/main/yjcf|한국문화예술회관연합회
오산문화예술회관||오산문화재단|031-379-9900|경기도 오산시 경기동로 41(오산동)|2004년 4월 23일|http://osan.go.kr/arts/|한국문화예술회관연합회
용인포은아트홀||용인문화재단|031-260-3300|경기도 용인시 수지구 포은대로 499|포은아트홀(2012년), 큰·작은어울마당(2004년), 용인문화재단 마루홀(2005년), 죽전야외음악당(2005년), 처인홀(1989년)|http://www.yicf.or.kr|한국문화예술회관연합회
의정부문화재단|||031-828-5841|경기도 의정부시 의정로1|2001년 4월 6일|http://www.uac.or.kr/|한국문화예술회관연합회
하남문화예술회관||하남문화재단|031-790-7979|경기도 하남시 신평로 125(덕풍동)|2007년 5월 11일|http://www.hnart.or.kr|한국문화예술회관연합회
화성아트홀||화성시문화재단|031-8015-8150|경기도 화성시 태안로 145|2008년 8월|http://art.hcf.or.kr|한국문화예술회관연합회
반석아트홀||화성시문화재단|031-8015-8150|경기도 화성시 태안로 145|2008년 8월|http://art.hcf.or.kr|한국문화예술회관연합회
가평문화예술회관|||031-8078-8076|경기도 가평군 가평읍 문화로 131|1998. 6. 5|http://www.gpfmc.or.kr|한국문화예술회관연합회
과천도시공사|||02-504-7300|경기도 과천시 통영로5|1995년 10월 7일|http://www.gccs.or.kr/dev_home/facilities/status.php|한국문화예술회관연합회
구리문화재단|||031-550-8800|경기도 구리시 아차산로 453|2013년 5월 24일|www.guriart.or.kr|한국문화예술회관연합회
남양주 다산아트홀|||031-590-4387|경기도 남양주시 다산중앙로7|2018.5.18|culture.nyj.go.kr|한국문화예술회관연합회
남한산성아트홀|||031-760-4466|경기도 광주시 회안대로 891|2011년 9월 28일|http://www.nsart.or.kr|한국문화예술회관연합회
동두천시민회관|||031-860-2063|경기도 동두천시 어수로 4(상패동, 시민회관)|1992.05.14|http://www.ddc.go.kr/ddc/contents.do?key=634|한국문화예술회관연합회
안성맞춤아트홀|||031-678-5415|경기도 안성시 발화대길21 안성맞춤아트홀|2017.11.7|http://www.anseong.go.kr/arthall|한국문화예술회관연합회
양주문화예술회관|||031-828-9731|경기도 양주시 광적면 부흥로 618번길 303|1997년 10월 1일|http://www.yjfmc.or.kr|한국문화예술회관연합회
연천수레울아트홀|||031-834-3770|경기도 연천군 연천읍 문화로 150|2011년 4월|http://www.sureul.co.kr|한국문화예술회관연합회
이천아트홀|||031-644-2100|경기도 이천시 부악로 40(중리동 490)|2009년 6월|http://www.artic.or.kr|한국문화예술회관연합회
파주시 운정행복센터|||031-950-1911|경기도 파주시 와석순환로 415|2013.2.14|http://www.pajucf.or.kr|한국문화예술회관연합회
남부문화예술회관||평택시|031-8024-5411|경기도 평택시 중앙로 277|남부문화예술회관 '93.11.02, 북부문화예술회관 '90.12, 서부문화예술회관 '91.10|https://www.pyeongtaek.go.kr/alrimi/contents.do?mId=0203000000|한국문화예술회관연합회
포천반월아트홀|||031-540-6213|경기도 포천시 군내면 청성로 111|2003년 10월 18일|http://www.bwart.net|한국문화예술회관연합회
양평군민회관|||031-770-3776|경기도 양평군 양평읍 마유산로 1|1989.04.30|http://lll.p21.net|한국문화예술회관연합회
영월문화예술회관||영월문화재단|033-375-6353|강원도 영월군 영월읍 단종로 24|1993.4.3|http://www.ywcf.or.kr|한국문화예술회관연합회
치악예술관||원주문화재단|033-763-9114|강원도 원주시 서원대로 331|1993년 12월 31일|http://www.wcf.or.kr|한국문화예술회관연합회
인제하늘내린센터||인제군문화재단|033-460-8900|강원도 인제군 인제읍 비봉로44번길100|2009년 8월 19일|http://www.injeart.or.kr|한국문화예술회관연합회
춘천문화예술회관||춘천시문화재단|033-259-5841|강원도 춘천시 효자상길5번길 13(효자동)|1993년 4월 10일|http://www.ccac.or.kr/|한국문화예술회관연합회
홍천문화예술회관||홍천문화재단|033-435-4350|강원도 홍천군 홍천읍 설악로 1792|1995년 3월 23일|https://www.hccf.or.kr/front/page/039040000/index.do|한국문화예술회관연합회
횡성문화예술회관||횡성문화재단|1522-1099|강원도 횡성군 횡성읍 문예로 75 ,횡성문화예술회관 2층 횡성문화재단|2013.12.18|http://www.hscf.or.kr|한국문화예술회관연합회
강릉단오제전수교육관|||033-660-3940|강원도 강릉시 단오장길 1(노암동)|2004년 2월 19일|http://www.danocenter.kr|한국문화예술회관연합회
강릉아트센터|||033-660-6800|강원도 강릉시 종합운동장길 84|1992년 3월 7일|http://www.gn.go.kr/artscenter/index.do|한국문화예술회관연합회
동해시문화예술회관|||033-539-8369|강원도 동해시 천곡동 809|1995년 3월 2일|http://www.dh.go.kr/pages/sub.htm?nav_code=dh1479356996|한국문화예술회관연합회
삼척시문화예술센터|||033-572-1331|강원도 삼척시 엑스포로 45|1994년 6월 4일|http://www.samcheok.go.kr/specialty/00468/00841.web|한국문화예술회관연합회
속초문화회관|||033-639-2080|강원도 속초시 번영로 155|1990년 10월 10일|http://www.sokcho.go.kr/portal/happysokcho/familysite/culturecenter|한국문화예술회관연합회
양양군문화복지회관|||033-670-2859|강원도 양양군 양양읍 일출로 540|2004.12.23|https://www.yangyang.go.kr/gw/portal|한국문화예술회관연합회
철원군 화강문화센터|||033-450-5519|강원도 철원군 서면 약수로3|2010.06.18|http://www.cwg.go.kr|한국문화예술회관연합회
태백문화예술회관|||033-550-2781|강원도 태백시 고원로 203|2003년 7월 25일|http://www.taebaek.go.kr/www/selectBbsNttList.do?bbsNo=48&key=493|한국문화예술회관연합회
평창문화예술회관|||033-330-2546|강원도 평창군 평창읍 문화예술길 51|1999.10.05|http://www.happy700.or.kr|한국문화예술회관연합회
화천문화예술회관|||033-440-2573|강원도 화천군 화천읍 상승로 91번지|1996.12.1|http://www.ihc.go.kr|한국문화예술회관연합회
고성군문화복지센터|||033-680-3366|강원도 고성군 거진읍 자산천로 240|2005.12.08||한국문화예술회관연합회
양구문화복지센터|||033-480-2241|강원도 양구읍 비봉로 73번길 52|2000.11.06||한국문화예술회관연합회
원주백운아트홀|||033-737-3820|강원도 원주시 사청로 1(무실동)|2007.11.21|http://baekunart.wonju.go.kr|한국문화예술회관연합회
정선문화예술회관|||033-560-2567|강원도 정선군 정선읍 본양3길17|1993.10.09||한국문화예술회관연합회
대전예술가의집||대전문화재단|042-480-1085|대전광역시 중구 중앙로 32|2015.3.27|http://dah.dcaf.or.kr|한국문화예술회관연합회
관저문예회관|||042-288-2790|대전 서구 관저동로105번길 20|2012.9.1|www.seogu.go.kr/art/contents/dms/main.jsp|한국문화예술회관연합회
대덕문예회관|||042-608-6496|대전광역시 대덕구 대전로 1348(읍내동)|2000년 12월 27일|http://www.daedeok.go.kr|한국문화예술회관연합회
대전시립연정국악원|||042-270-8514|대전광역시 서구 둔산대로 181|2015.6.17|www.daejeon.go.kr/kmusic|한국문화예술회관연합회
대전예술의전당|||042-270-8333|대전광역시 서구 둔산대로 135|2003년 10월 1일|http://www.djac.or.kr|한국문화예술회관연합회
단양문화예술회관|||043-420-2557|충청북도 단양읍 중앙1로 32|1986년4월15일|https://www.dy21.net|한국문화예술회관연합회
옥천문화예술회관|||043-730-3403|충청북도 옥천군 옥천읍 문정1길 32|2008년 5월 16일|http://www.ocac.go.kr|한국문화예술회관연합회
음성문화예술회관|||043-871-5944|충청북도 음성군 음성읍 예술로102|2008년 9월 27일|http://www.esart.go.kr|한국문화예술회관연합회
제천시문화회관|||043-641-5517|충청북도 제천시 의림대로 6길 32|1985.2.1|http://www.jecheon.go.kr/www/contents.do?key=479|한국문화예술회관연합회
증평문화회관|||043-835-4114|충청북도 증평군 증평읍 삼보로 28|1992.11.7||한국문화예술회관연합회
진천화랑관|||043-539-7680|충청북도 진천군 진천읍 문화로69-4|2003년 6월 21일|http://www.jincheon.go.kr|한국문화예술회관연합회
청주예술의전당|||043-201-2306|충청북도 청주시 서원구 흥덕로 69|1995년 4월|http://www.cheongju.go.kr/ac/index.do|한국문화예술회관연합회
충주시문화회관|||043-850-3912|충청북도 충주시 중앙로 128(성내동)|1985.10.9|https://www.chungju.go.kr/culture/|한국문화예술회관연합회
충청북도교육문화원|||043-229-2600|충청북도 청주시 청원구 공항로 287번길 56|2007년 8월 1일|https://www.cbec.go.kr|한국문화예술회관연합회
충청북도중원교육문화원|||043-848-2268|충청북도 충주시 호암대로 50|2010년 3월 1일|http://www.jwec.go.kr/|한국문화예술회관연합회
괴산문화예술회관|||043-830-2686|충청북도 괴산군 괴산읍 동부리 751-10|1989.04.13||한국문화예술회관연합회
보은문화예술회관|||043-540-3372|충청북도 보은군 보은읍 뱃돌로 54|1994.10.05.||한국문화예술회관연합회
영동 난계국악당|||043-740-5949|충청북도 영동군 영동읍 성안길 11|1987.04.08||한국문화예술회관연합회
청주아트홀|||043-210-2353|충청북도 청주시 서원구  예체로 118-1|1979.05.01|www.cheongju.go.kr|한국문화예술회관연합회
당진문예의전당||당진문화재단|041-350-2901~4|충청남도 당진시 무수동2길 25-21|2005년 5월 30일|http://www.dangjinart.kr/|한국문화예술회관연합회
천안예술의전당||천안문화재단|1566-0155|충청남도 천안시 동남구 성남면 종합휴양지로 185|2012년 9월 3일|http://www.cnac.or.kr|한국문화예술회관연합회
계룡문화예술의전당|||042-840-3707|충청남도 계룡시 문화로 31|2011년 06월 17일|http://ac.gyeryong.go.kr|한국문화예술회관연합회
공주문예회관|||041-840-2180|충청남도 공주시 고마나루길5|1990년 10월 26일|http://acc.gongju.go.kr|한국문화예술회관연합회
금산다락원|||041-750-4424|충청남도 금산군 금산읍 금산로 1559 금산다락원|2004년 10월 29일|http://www.geumsan.go.kr/daragwon|한국문화예술회관연합회
논산문화예술회관|||041-746-5950|충청남도 논산시 시민로 270|1985년 8월 10일|http://arthall.nonsan.go.kr/|한국문화예술회관연합회
보령문화예술회관|||041-930-3510|충청남도 보령시 성주산로 101|2002년 5월 9일|http://art.brcn.go.kr|한국문화예술회관연합회
서산시문화회관|||041-661-8030|충청남도 서산시 문화로 54|1990년 1월 4일|http://www.seosan.go.kr/culture/index.do|한국문화예술회관연합회
서천군문예의전당|||041-950-4227|충청남도 서천군 서천로 14번길6-11|1989년 1월 1일|http://www.seocheon.go.kr/public/sub02_04_01.do|한국문화예술회관연합회
아산시 평생학습문화센터|||041-537-3902|충청남도 아산시 남부로92|1992년 5월 8일|http://life.asan.go.kr|한국문화예술회관연합회
예산군문예회관|||041-339-8212|충청남도 예산군 예산읍 아리랑로 185-14|1993년 10월|http://www.yesan.go.kr/public/sub03_02.do|한국문화예술회관연합회
청양문화예술회관|||041-940-2730|충청남도 청양군 청양읍 문화예술로 178|2006년 10월 25일|http://www.cheongyang.go.kr/|한국문화예술회관연합회
충청남도교육청학생교육문화원|||041-904-6845|충청남도 천안시 동남구 옛농고 1길 41|1997년 6월 17일|http://www.cnsec.or.kr|한국문화예술회관연합회
충청남도문화예술회관|||041-635-2413|충청남도 예산군 삽교읍 도청대로 600|2013.01.01|http://art.chungnam.net/|한국문화예술회관연합회
태안군문화예술회관|||041-670-2258|충청남도 태안군 태안읍 백화로 200|2001년 9월 21일|http://www.taean.go.kr/tour/sub04_03_01.do|한국문화예술회관연합회
홍성군 홍주문화회관|||041-630-9063|충청남도 홍성군 홍성읍 내포로 164|1988년 1월 1일|http://art.hongseong.go.kr/|한국문화예술회관연합회
부여 국악의전당|||041-830-2927|충청남도 부여군 규암면 백제문로 388|2005.02.16|www.buyeo.go.kr|한국문화예술회관연합회
천안 성환문화회관|||041-521-3823|충청남도 천안시 서북구 성환읍 성진로 15|1995.10.21|http://women.cheonan.go.kr|한국문화예술회관연합회
천안 신부문화회관|||041-521-3744|충청남도 천안시 동남구 신부2길 12|1987.12.03|http://women.cheonan.go.kr|한국문화예술회관연합회
세종시문화예술회관|||044-301-3521|세종특별자치시 조치원읍 문예회관길 22|2000년 10월 4일|http://www.sejong.go.kr/artcenter/sub01_01.do|한국문화예술회관연합회
웃는얼굴아트센터||달서문화재단|053-584-8715|대구광역시 달서구 문화회관길160(장기동)|2004년 10월 14일|http://www.dscf.or.kr|한국문화예술회관연합회
달성문화재단|||053-659-4211|대구광역시 달성군 대실역북로2길 188|2011년 7월 15일|http://www.dsart.or.kr|한국문화예술회관연합회
아양아트센터||대구동구문화재단|053-230-3303|대구광역시 동구 효동로 2길 24|2004년 5월 4일|http://www.ayangarts.or.kr|한국문화예술회관연합회
대구오페라하우스|||053-666-6000|대구광역시 북구 호암로15(칠성동2가)|2003년 8월 7일|http://www.daeguoperahouse.org|한국문화예술회관연합회
수성아트피아||수성문화재단|053-668-1800|대구광역시 무학로 180(지산동)|2007년 5월 1일|http://www.ssartpia.kr|한국문화예술회관연합회
어울아트센터||행복북구문화재단|053-320-5120|대구광역시 북구 구암로 47(관음동)|1999년 10월 9일|www.hbcf.or.kr|한국문화예술회관연합회
대구문화예술회관|||053-606-6131|대구광역시 달서구 공원순환로 201|1990년 5월 21일|http://artcenter.daegu.go.kr|한국문화예술회관연합회
대구서구문화회관|||053-663-3081|대구광역시 서구 당산로403|1998년 3월 5일|http://culture.dgs.go.kr/|한국문화예술회관연합회
대구콘서트하우스|||053-250-1400|대구광역시 중구 태평로 141|2013.11.29|http://concerthouse.daegu.go.kr|한국문화예술회관연합회
대구학생문화센터|||053-231-1332|대구광역시 달서구 용산로181(용산동)|2003.5.13|http://www.dccs.go.kr|한국문화예술회관연합회
대덕문화전당|||053-664-3131|대구시 남구 앞산순환로 478|1998년 3월 7일|http://nam.daegu.kr/culturalcenter/index.do|한국문화예술회관연합회
봉산문화회관|||053-661-3500|대구광역시 중구 봉산문화길 77(봉산동)|2004년 10월 5일|http://www.bongsanart.org|한국문화예술회관연합회
경주예술의전당||경주문화재단|054-779-6092|경상북도 경주시 알천북로 1(황성동,988)|2010년 11월 06일|http://www.gjartcenter.kr|한국문화예술회관연합회
예주문화예술회관||영덕문화관광재단|054-730-7771|경상북도 영덕군 영해면 318만세길 36|2004년 6월 9일|http://art.yd.go.kr|한국문화예술회관연합회
포항문화예술회관||포항문화재단|054-289-7999|경상북도 포항시 남구 희망대로 850|1995년 5월 26일|http://www.phcf.or.kr|한국문화예술회관연합회
경산시민회관|||053-804-7243|경상북도 경산시 계양로 28|1996.4.26|http://www.gyeongsan.go.kr/special/civic/index.do|한국문화예술회관연합회
고령군 대가야문화누리|||054-950-7018|경상북도 고령군 대가야읍 왕릉로 30|2015.9.16|http://art.goryeong.go.kr/|한국문화예술회관연합회
구미시문화예술회관|||054-480-4560|경상북도 구미시 송정대로 89|1989년 10월 16일|http://www.gumi.go.kr/arts/main.do|한국문화예술회관연합회
군위 삼국유사교육문화회관|||054-380-7212|경상북도 군위군 군위읍 군청로 158|2007년 9월 5일|http://gunwiart.go.kr|한국문화예술회관연합회
김천시문화예술회관|||054-420-7824|경상북도 김천시 운동장길3|2000년 4월 15일|http://www.gcart.go.kr|한국문화예술회관연합회
문경문화예술회관|||054-550-8944|경상북도 문경시 신흥로 85|1993년 9월 2일|http://mgculture.gbmg.go.kr|한국문화예술회관연합회
상주문화회관|||054-537-6215|경상북도 상주시 상산로 235|1990.11.7|http://www.sangju.go.kr/culture/index.jsp|한국문화예술회관연합회
성주문화예술회관|||054-933-6912|경상북도 성주군 성주읍 성산9길 45|2003년 5월 26일|http://www.scac.go.kr|한국문화예술회관연합회
안동문화예술의전당|||054-840-3600|경상북도 안동시 축제장길66(안흥동373-4)|2010년 9월 17일|http://www.andong.go.kr/arts/main.do|한국문화예술회관연합회
천마아트센터||영남대학교|053-810-1523|경상북도 경산시 대학로 280 영남대학교 천마아트센터 (대동 214-1)|2009년 4월 28일|http://www.cmac.ac.kr|한국문화예술회관연합회
영주문화예술회관|||054-639-5951|경상북도 영주시 가흥로 257(가흥동)|2012년 5월 4일|http://art.yeongju.go.kr|한국문화예술회관연합회
영천시민회관|||054-330-6454|경상북도 영천시 시청로 17|1989년 10월 12일|http://ycac.yc.go.kr|한국문화예술회관연합회
예천군문화회관|||054-650-8252|경상북도 예천군 예천읍 충효료 209-15|1995.06.05|http://ycg.kr/open.content/ko/organization/facility.guidance/cultural.hall|한국문화예술회관연합회
울릉한마음회관|||054-790-6563|경상북도 울릉군 울릉읍 울릉순환로286|2008년 5월 28일|http://hanmaeum.ulleung.go.kr|한국문화예술회관연합회
울진문화예술회관|||054-789-5453~5|경상북도 울진군 후포삼율로 194-14|2007년 12월 26일|http://www.uljin.go.kr/art/|한국문화예술회관연합회
의성문화체육회관|||054-830-6945|경상북도 의성군 의성읍 충효로 88|2000년 4월 20일|http://www.usc.go.kr|한국문화예술회관연합회
청송문화예술회관|||054-870-6564|경상북도 청송군 청송읍 금월로 244-30|2013.7.1|http://www.cs.go.kr|한국문화예술회관연합회
칠곡군교육문화회관|||054-979-5105|경상북도 칠곡군 왜관읍 관문로1길 32|2000년 5월 4일|http://public.chilgok.go.kr|한국문화예술회관연합회
김천시립문화회관|||054-439-9487|경상북도 김천시 김천로 200|1965.11.25  (2015.11.20)|www.gcart.go.kr|한국문화예술회관연합회
안동시민회관|||054-840-3650|경상북도 안동시 퇴계로 115번지(명륜동 344)|1993.02.06|http://www.andongart.go.kr|한국문화예술회관연합회
영양문화체육센터|||054-680-6452|경상북도 영양군 영양읍 군민회관길 50|1997.05.29.|www.yyg.go.kr|한국문화예술회관연합회
영주시민회관|||054-634-3124|경상북도 영주시 선비로 213(영주동)|1984.04.02|http://www.영주시민회관.kr/|한국문화예술회관연합회
포항 대잠홀|||054-280-9384|경상북도 포항시 남구 시청로 1|2007.02.07|http://www.phsisul.org|한국문화예술회관연합회
포항 중앙아트홀|||054-280-9380|경상북도 포항시 북구 서동로 83|2010.09.27|http://www.phsisul.org|한국문화예술회관연합회
부산문화회관||부산문화회관|051-607-6000|부산광역시 남구 유엔평화로76번길1|1988년 9월 3일|http://www.bscc.or.kr/main/|한국문화예술회관연합회
부산시민회관||부산문화회관|051-607-6000|부산광역시 남구 유엔평화로76번길1|1988년 9월 3일|http://www.bscc.or.kr/main/|한국문화예술회관연합회
영화의전당|||051-780-6000|부산광역시 해운대구 수영강변대로 120|2011년 9월 29일|http://www.dureraum.org|한국문화예술회관연합회
금정문화회관|||051-519-5651|부산광역시 금정구 체육공원로 7|2000년 5월 19일|http://art.geumjeong.go.kr/|한국문화예술회관연합회
동래문화회관|||051-550-6611|부산광역시 동래구 문화로 80|1999년 10월|http://www.dongnae.go.kr/culture|한국문화예술회관연합회
부산광역시학생예술문화회관|||051-3668-114|부산광역시 북구 낙동북로 737-1|2013.09.01|http://www.bacs.go.kr|한국문화예술회관연합회
부산민주공원 공연장|||051-790-7408|부산광역시 중구 민주공원길 19|1999.10.16|http://www.demopark.or.kr|한국문화예술회관연합회
북구문화빙상센터|||051-309-4084|부산광역시 북구 금곡대로 46번길 50|2005년 7월 13일|http://culture-ice.bsbukgu.go.kr|한국문화예술회관연합회
영도문화예술회관|||051-419-5571|부산광역시 영도구 함지로 79번길 6(동삼동)|2009년 10월 19일|http://www.yeongdo.go.kr/culture.web|한국문화예술회관연합회
을숙도문화회관|||051-220-5801|부산광역시 사하구 낙동남로1233번길25|2002년 10월 5일|http://www.saha.go.kr/eulsukdo/main.do|한국문화예술회관연합회
